Gene_ID	Count
Pcer_024116-RA	       1
Pcer_024119-RA	       1
Pcer_024121-RA	       2
Pcer_024123-RA	       4
Pcer_024128-RA	       4
Pcer_024144-RA	       1
Pcer_097267-RA	       1
Pcer_024188-RA	       1
Pcer_097276-RA	       1
Pcer_024201-RA	       1
Pcer_097284-RA	       1
Pcer_024249-RA	       1
Pcer_024251-RA	       6
Pcer_097289-RA	       2
Pcer_024256-RA	       2
Pcer_097291-RA	       1
Pcer_097293-RA	       1
Pcer_097294-RA	       4
Pcer_097300-RA	       2
Pcer_097557-RA	       1
Pcer_024313-RA	       6
Pcer_097304-RA	       1
Pcer_024320-RA	       1
Pcer_024325-RA	       2
Pcer_024331-RA	      11
Pcer_097313-RA	       1
Pcer_097323-RA	       1
Pcer_024353-RA	       1
Pcer_097337-RA	       1
Pcer_097338-RA	       2
Pcer_024377-RA	       1
Pcer_097342-RA	       3
Pcer_097343-RA	       1
Pcer_097347-RA	       2
Pcer_097349-RA	       1
Pcer_024401-RA	       1
Pcer_097351-RA	       9
Pcer_024406-RA	       1
Pcer_097558-RA	       1
Pcer_024410-RA	       4
Pcer_024419-RA	       6
Pcer_024421-RA	       3
Pcer_024425-RA	      10
Pcer_024429-RA	       1
Pcer_024433-RA	       1
Pcer_024434-RA	       2
Pcer_097356-RA	       2
Pcer_024437-RA	       1
Pcer_024439-RA	       3
Pcer_024449-RA	       4
Pcer_024451-RA	       1
Pcer_097371-RA	       1
Pcer_024465-RA	       1
Pcer_097375-RA	       1
Pcer_097376-RA	       1
Pcer_097379-RA	       5
Pcer_097387-RA	       1
Pcer_024498-RA	       1
Pcer_024499-RA	       1
Pcer_097391-RA	       1
Pcer_097392-RB	       1
Pcer_097392-RA	       2
Pcer_024553-RA	       1
Pcer_024564-RA	       1
Pcer_097413-RA	       2
Pcer_097414-RA	       1
Pcer_097419-RA	       1
Pcer_024606-RA	       9
Pcer_024607-RA	       2
Pcer_024612-RA	       2
Pcer_024632-RA	       2
Pcer_024634-RA	       1
Pcer_024635-RA	       1
Pcer_024636-RA	       8
Pcer_097441-RA	       1
Pcer_097442-RA	       1
Pcer_024677-RA	       2
Pcer_024680-RA	       1
Pcer_097451-RA	       1
Pcer_024686-RA	       1
Pcer_024703-RA	       1
Pcer_024704-RA	       1
Pcer_097467-RA	       1
Pcer_024717-RA	       1
Pcer_097468-RA	       1
Pcer_097473-RA	       1
Pcer_024770-RA	       2
Pcer_024777-RA	       1
Pcer_024804-RA	       1
Pcer_097494-RA	       1
Pcer_097496-RA	       1
Pcer_097498-RA	       1
Pcer_097507-RA	       1
Pcer_024819-RA	       1
Pcer_024820-RA	       1
Pcer_024821-RA	       2
Pcer_097530-RA	       4
Pcer_024866-RA	       1
Pcer_097540-RA	       2
Pcer_097543-RA	       1
Pcer_024883-RA	       1
Pcer_097553-RA	       4
Pcer_024924-RA	       2
Pcer_024930-RA	       2
