Gene_ID	Count
Pcer_024101-RA	       1
Pcer_024102-RA	       1
Pcer_024107-RA	       1
Pcer_024109-RA	       1
Pcer_024110-RA	       1
Pcer_024111-RA	       1
Pcer_024112-RA	       3
Pcer_024113-RA	       2
Pcer_024115-RA	      73
Pcer_024116-RA	       4
Pcer_024119-RA	      30
Pcer_024120-RA	       5
Pcer_024121-RA	      41
Pcer_024124-RA	      14
Pcer_024123-RA	       4
Pcer_024126-RA	       5
Pcer_024133-RA	       9
Pcer_024134-RA	       9
Pcer_024140-RA	       6
Pcer_024142-RA	       6
Pcer_024144-RA	       4
Pcer_024148-RA	       2
Pcer_024149-RA	       3
Pcer_024150-RA	      10
Pcer_024151-RA	       6
Pcer_097257-RA	       1
Pcer_024154-RA	       2
Pcer_097258-RA	       1
Pcer_097260-RA	      15
Pcer_097261-RA	       5
Pcer_024159-RA	       1
Pcer_024160-RA	      17
Pcer_024162-RA	       7
Pcer_024164-RA	       2
Pcer_097266-RA	       7
Pcer_097267-RA	       7
Pcer_024166-RA	      10
Pcer_024168-RA	       1
Pcer_097268-RA	       2
Pcer_024169-RA	      12
Pcer_024171-RA	      21
Pcer_024173-RA	       4
Pcer_024174-RA	       2
Pcer_024177-RA	       2
Pcer_097272-RA	       3
Pcer_097273-RA	       2
Pcer_024181-RA	       2
Pcer_024183-RA	       1
Pcer_024186-RA	      12
Pcer_024187-RA	       1
Pcer_024185-RA	       2
Pcer_024188-RA	       1
Pcer_024189-RA	      24
Pcer_024190-RA	       4
Pcer_024192-RA	       7
Pcer_024194-RA	       5
Pcer_024195-RA	       2
Pcer_024196-RA	      19
Pcer_024199-RA	       6
Pcer_024200-RA	       7
Pcer_024202-RA	       9
Pcer_024203-RA	       3
Pcer_024205-RA	      21
Pcer_024206-RA	       6
Pcer_097278-RA	       2
Pcer_097279-RA	       3
Pcer_024212-RA	       1
Pcer_024216-RA	       3
Pcer_024221-RA	       7
Pcer_024223-RA	       6
Pcer_097282-RA	       7
Pcer_024227-RA	       8
Pcer_024226-RA	       6
Pcer_024228-RA	      11
Pcer_024229-RA	      26
Pcer_024231-RA	       2
Pcer_024230-RA	       4
Pcer_024232-RA	       2
Pcer_024234-RA	       4
Pcer_097285-RA	       2
Pcer_024235-RA	       2
Pcer_024236-RA	       1
Pcer_024237-RA	      21
Pcer_097286-RA	      30
Pcer_024239-RA	      19
Pcer_097287-RA	       1
Pcer_024242-RA	       4
Pcer_024243-RA	       1
Pcer_024244-RA	      18
Pcer_024245-RA	      15
Pcer_024246-RA	      10
Pcer_097288-RA	       8
Pcer_024247-RA	      30
Pcer_024248-RA	      14
Pcer_024249-RA	       3
Pcer_024251-RA	      31
Pcer_097289-RA	      11
Pcer_024256-RA	       1
Pcer_024255-RA	      32
Pcer_024257-RA	      16
Pcer_097291-RA	      14
Pcer_024261-RA	      12
Pcer_024262-RA	      13
Pcer_097292-RA	       1
Pcer_024264-RA	       4
Pcer_024265-RA	       4
Pcer_024266-RA	       3
Pcer_024267-RA	       4
Pcer_024268-RA	       2
Pcer_097293-RA	       1
