Gene_ID	Count
Pcer_024122-RA	       1
Pcer_024141-RA	       1
Pcer_024278-RA	       2
Pcer_097344-RA	       1
Pcer_024412-RA	       1
Pcer_024416-RA	       1
Pcer_097362-RA	       1
Pcer_024489-RA	       1
Pcer_024571-RA	       1
Pcer_024599-RA	       1
Pcer_024638-RA	       1
Pcer_024657-RA	       2
Pcer_024660-RA	       1
Pcer_024665-RA	       1
Pcer_024680-RA	       1
Pcer_097455-RA	       1
Pcer_024702-RA	       1
Pcer_024791-RA	       2
Pcer_024820-RA	       1
Pcer_097515-RA	       1
Pcer_097523-RA	       1
Pcer_024853-RA	       1
