Gene_ID	Count
Pcer_024115-RA	       1
Pcer_024122-RA	       7
Pcer_024123-RA	       1
Pcer_024128-RA	       4
Pcer_024149-RA	       1
Pcer_097256-RA	       1
Pcer_024154-RA	       1
Pcer_024166-RA	       1
Pcer_097268-RA	       3
Pcer_024171-RA	       1
Pcer_024183-RA	       1
Pcer_024195-RA	       1
Pcer_097275-RA	       1
Pcer_024198-RA	       2
Pcer_024220-RA	       2
Pcer_024237-RA	       1
Pcer_097286-RA	       1
Pcer_024246-RA	       2
Pcer_024247-RA	       4
Pcer_024250-RA	       1
Pcer_024255-RA	       1
Pcer_024256-RA	       1
Pcer_097291-RA	       2
Pcer_024262-RA	       3
Pcer_024269-RA	       1
Pcer_024279-RA	       2
Pcer_024283-RA	       2
Pcer_024287-RA	       1
Pcer_024291-RA	       1
Pcer_024294-RA	       1
Pcer_097298-RA	       1
Pcer_024299-RA	       1
Pcer_024300-RA	       1
Pcer_097557-RA	       3
Pcer_024322-RA	       2
Pcer_024325-RA	       1
Pcer_024326-RA	       2
Pcer_024328-RA	       2
Pcer_024339-RA	       2
Pcer_024340-RA	       1
Pcer_097324-RA	       1
Pcer_024363-RA	       1
Pcer_024369-RA	       2
Pcer_097344-RA	       1
Pcer_024382-RA	       2
Pcer_024384-RA	       1
Pcer_024386-RA	       2
Pcer_024388-RA	       1
Pcer_024389-RA	       1
Pcer_024395-RA	       1
Pcer_024403-RA	       2
Pcer_024404-RA	       3
Pcer_024406-RA	       2
Pcer_097558-RA	       1
Pcer_097353-RA	       2
Pcer_024412-RA	       2
Pcer_024414-RA	       6
Pcer_024416-RA	       1
Pcer_024418-RA	       1
Pcer_024426-RA	       1
Pcer_024427-RA	       1
Pcer_024432-RA	       1
Pcer_024433-RA	       2
Pcer_024435-RA	       1
Pcer_024443-RA	       1
Pcer_024444-RA	       1
Pcer_024445-RA	       1
Pcer_024452-RA	       1
Pcer_097362-RA	       2
Pcer_024460-RA	       1
Pcer_097372-RA	       1
Pcer_024463-RA	       1
Pcer_097377-RA	       4
Pcer_097380-RA	       1
Pcer_024474-RA	       1
Pcer_097384-RA	       2
Pcer_097387-RA	       2
Pcer_024493-RA	       1
Pcer_097390-RA	       2
Pcer_024501-RA	       2
Pcer_024502-RA	       1
Pcer_024504-RA	       1
Pcer_024505-RA	       6
Pcer_024506-RA	       1
Pcer_024508-RA	       1
Pcer_024509-RA	       1
Pcer_097391-RA	       2
Pcer_024510-RA	       3
Pcer_024525-RA	       1
Pcer_097399-RA	       1
Pcer_097401-RA	       1
Pcer_024537-RA	       1
Pcer_024554-RA	       1
Pcer_024562-RA	       1
Pcer_024563-RA	       1
Pcer_024565-RA	       3
Pcer_024568-RA	       1
Pcer_024569-RA	       1
Pcer_024571-RA	       1
Pcer_024572-RA	       2
Pcer_024573-RA	       4
Pcer_024575-RA	       2
Pcer_024589-RA	       1
Pcer_024597-RA	       1
Pcer_024607-RA	       1
Pcer_024616-RA	       3
Pcer_024623-RA	       1
Pcer_097432-RA	       1
Pcer_024629-RA	       1
Pcer_097433-RA	       4
Pcer_097434-RA	       1
Pcer_024638-RA	       1
Pcer_097435-RA	       6
Pcer_024649-RA	       3
Pcer_024656-RA	       2
Pcer_024657-RA	       1
Pcer_024660-RA	       3
Pcer_097443-RA	       2
Pcer_024670-RA	       2
Pcer_097448-RA	       1
Pcer_097451-RA	       1
Pcer_024686-RA	       1
Pcer_097455-RA	       2
Pcer_097457-RA	       1
Pcer_097461-RA	       1
Pcer_024756-RA	       1
Pcer_024786-RA	       1
Pcer_024813-RA	       2
Pcer_097503-RA	       1
Pcer_024823-RA	       1
Pcer_097510-RA	       1
Pcer_097512-RA	       1
Pcer_097515-RA	       1
Pcer_097523-RA	       1
Pcer_024893-RA	       1
Pcer_024896-RA	       1
Pcer_024909-RA	       1
