27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_001131	0.657814691677125	0.854575767254231	0.401226647360552	0.743902268852501	0.662846588533781	0.543601345775834	0.514167072983658	0.611855865148565	0.00195172637971958	0	0.0135031342871159	0.0163369886596083	0.000745393935424201	0.015547250125736	0.00111543336091626	0.00764200823675708	0.00289322584860324	0.00054403616139806	0.00264156487786633	0.00385194752351946	0	0.0691284714165606	0.00459339089756737	0.011340476195778	0.00391009139195943	0.0100472119506982	0.00548315368795273	0	0.0212986019755218	0.000857214040415109	0.0107851396859913	1	0.850161574427125	0.774076200596781	0.940779007553825	0.713240589635414	0.74298545660256	0.78351891375473	0.902551307003908	0.00621425233866899	0.00568804647854747	0.00175022716333603	0.000621197134537278	0.00166367329533337	0.0114252646624845	0.0198944604681828
Pcer_001132	0.681735710062672	0.803353513564421	0.535257895680898	0.767811230606951	0.501804447776688	0.617423061563219	0.542809875034028	0.98306711351523	0.00726792745044964	0.0330312617415002	0.0247527594497376	0	0.0057380152909159	0.0127804976490278	0.0131814840693519	0.0331076626984368	0.00813206971549723	0.0193035908530259	0.000990198120558043	0.0117888006979443	0.0244572461472754	0.0120376967984744	0.021663723909534	0.0122161498343346	0.0113315505217861	0.00186137761176117	0.0142222244859406	0.00326677711364475	0.0238609317459849	0.00854514222333882	0.0042789732634207	0.904717958380442	0.810064534997824	0.983006894419602	1	0.897151587848847	0.958772638386102	0.791886316472672	0.620931092050656	0.00594702355798081	0.0119075490204243	0.0341022236005245	0.0265512075393323	0.00821675351472467	0.00833067493635221	0.0136412624505545
Pcer_001133	0.742047415599136	0.832595950112115	0.586564801847916	0.607915656057943	0.55568970613209	0.464013112180721	0.583401922810991	0.717214835214332	0.00839884007531031	0.00707616230952156	0.0158751384437009	0.00549503223720053	0.00890383778897761	0.091924776559736	0.00109340691067723	0.0036744260736129	0.0125051683294132	0.0247276036724443	0.00212810303417766	0.0942066986254831	0.00250443522446245	0.0526155434843839	0.0215858866014413	0.00418690758219326	0.00250895656842587	0.00342857411700463	0.0145065161266518	0.01151672329618	0.0029351189402117	0.00713793349482606	0	0.750254122515934	0.954910637777615	0.791791342706729	0.867343956304011	0.901951156135189	1	0.865183105157024	0.74085125695022	0.0023805330364768	0.00668071899556582	0.0123330523807823	0.0169168927549622	0.00584661696683322	0.00520970460176532	0.0184172368646702
Pcer_001340	1	0.927896832855657	0.98008629783714	0.861043344251201	0.820315635553455	0.844986204770142	0.85053846514476	0.968691324431777	0.922069569384639	0.886327498691406	0.617996709146055	0.733886707427718	0.703388029956459	0.629571751412273	0.731619591876497	0.594229938951017	0.87560300838719	0.704818404861539	0.768993051915968	0.911209965657733	0.579477078768023	0.677275243163377	0.718788157381454	0.855733171429175	0.69269064365401	0.708495499929087	0.73203950558474	0.789779108969227	0.673173493554237	0.689760337979314	0.670770415341418	0.644367535398161	0.805044502531411	0.729797305254576	0.694233596584458	0.76056967701888	0.70114798900959	0.665119147819482	0.592906529764881	0.21774753516507	0.44297046888604	0.0309955118934267	0	0.240576214025946	0.312488958820074	0.119079373172679
Pcer_002056	0.767105873717505	0.729226436044675	0.831300420519177	0.870310752274088	0.481360421738451	0.786768447245968	0.791598669254926	0.920964201166542	0.538731392262118	0.440513572528536	0.69703206955189	0.0242801801617642	0.70770514900823	0.697260456131189	0.385891631182767	0.0623863263478948	0.986102233292714	0.0295691732101311	1	0.0365010448238211	0	0.92358555465061	0.683341927553465	0.774694145416905	0.367564526407349	0.519183707893155	0.523849035162061	0.0110850489639076	0.194610447943685	0.764745696336319	0.0329968690444256	0.844284177942054	0.927040231537811	0.949203538346011	0.831127645815657	0.966298185504116	0.479000922012338	0.888651169807063	0.828463291425381	0.75649391741687	0.823702449350584	0.0321306522813896	0.29542781759618	0.0284763415531016	0.769930348453694	0.654266961825872
Pcer_002285	0.990407496398229	0.733054000447896	0.468653792456903	0.441108069561272	0.464398501878532	0.643604080904957	0.459994419770492	0.660843538571532	0	0.05158469154839	0.035096493537225	0.20456464552923	0.123678417117922	0.394538014192289	0.250371109301269	0.109182209751517	0.351307696457249	0.438163784837203	0.407223538766151	0.416978164339053	0.321770950680399	0.2981643390134	0.295439540627875	0.403161817149197	0.125398511342401	0.0891202201247121	0	0.126649609142349	0.0263656818924245	0.291509458109514	0.225452388683917	0.877001476134306	1	0	0.592760327732721	0.408892363444548	0.443668962120612	0.643163699308606	0.498850650399553	0.592770166312253	0.767883449956688	0.26173009059596	0.360751477649208	0.386932321127865	0.380449451183403	0.381424313270405
Pcer_003028	0.190431976035865	0.411606383941176	0.206271896775725	0.963293303607506	0.844580374895808	0.617148489518753	0.572068100948116	1	0.0653620131462848	0.146640810508898	0.294281792456653	0.331464181281776	0.255345211839316	0.20728092384233	0.245585055165173	0.320622423136763	0	0.266311772714835	0.171321416748458	0.157374057258415	0.271140403967263	0.21413582206996	0.164848766588591	0.259685940014455	0.109461934945302	0.100734438814057	0.541200325293362	0.450996280480866	0.59164505980435	0.248503158272136	0.191191907314386	0	0.0867730284720905	0.746141546123908	0.386456061678549	0.056431530208086	0.226920043252623	0.446017347930255	0.479963963506504	0	0.0483780238359016	0.0745028758052148	0.0731265475027887	0.203050038450629	0.0724841796535623	0.0503538452108353
Pcer_003985	0.889376782369608	0.70095812260341	0.777074696550851	0.907662705459666	1	0.843980607788781	0.993800210749715	0.872766554167467	0.91873722912954	0.575986325733631	0.643819069358379	0.333626050696242	0.698286239776071	0.444386183265231	0.995144517759037	0.574546175141506	0.468784767453801	0.884031150368798	0.807251850297951	0.297560961383014	0.70521589508639	0.552091607935218	0.806956571866985	0.667144192963081	0.523499117777812	0.359787269965672	0.0841830036537243	0.592446886330755	0.887786681244828	0.656178996927909	0.63236243047793	0.861234388038577	0.375824313576797	0.768567655406772	0.639965954198294	0.509919688569156	0.590612103456263	0.498958938643753	0.501747647001963	0.631914331036138	0.679212244689843	0.34355731084652	0	0.3322824066038	0.518366697532916	0.446026829092036
Pcer_005097	0.826243297086652	0.866433389254798	0.838966452738698	0.945243400934577	0.887029059345405	0.756863534482459	0.72263609647936	0.840310706559564	0.871638763453901	0.876736409922803	0.867057092497143	1	0.915648743341315	0.891895990320296	0.890071367241346	0.784737593066226	0.590458628954606	0.637198928391763	0.594974677180831	0.661634215903462	0.644768191826681	0.576908961196255	0.677354010553835	0.519260921909701	0.688841844179054	0.72451270866718	0.798800964604181	0.864827838118295	0.701985492080888	0.73714547644764	0.729377444010858	0.801982529911217	0.739659119902335	0.69887362561996	0.73945764885435	0.767676638801866	0.609919744648369	0.666802717365605	0.722384566688736	0.0166412487390144	0.0217030213123462	0	0.00737726144474255	0.0271059061474159	0.0211864628466595	0.0380370702614793
Pcer_023773	0.458796864970745	0.332843811835172	0.115723198557237	0.596583138311015	0.684142075202343	0.284694166035574	0.394055300612871	0.466548499086038	0.200894464895692	0.142955326221877	0.467782577000666	0.267011306802236	0.34916036874761	0.14533239788679	0.106133513405092	0.315211167607486	0.196588154475428	0.149834807239786	0	0.400527095475133	0.511578474044598	0.522247682207562	0.185161833962933	0.274304770858753	0.37974657745493	0.240612051433615	0.33612771737283	0.597489258866185	0.0340434978485108	0.133028961499731	0.190197597589674	0.555641361267961	0.395114119022451	0.5767473432988	0.818852937732559	1	0.554749618260433	0.716464608134823	0.863972281079408	0.0334001318865874	0.206592928047294	0.555930095659725	0.54709259336933	0.245937157552307	0.277036782503001	0.0492360656089531
