27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_000021	0.143302383846719	0.243816300923344	0.277584379663373	0.994480855568991	0.553677683829136	0.552830908140761	0.484351730532579	0.48143226793473	0.121946348832507	0.192182236342429	0.218683891580489	0.447791272792932	1	0.611919219594648	0.500210473760336	0.54167376184894	0.0460091982615826	0.027590744390572	0.093012269558215	0.223700199362447	0.718872198719935	0.397568025873335	0.491085544757751	0.362949314216639	0.118862744672641	0.115422998887391	0.441921542901786	0.442315507865851	0.362401797929649	0.460596014870898	0.453569957195029	0	0.191520270018247	0.169839272565392	0.485871034401617	0.590719243824179	0.44108511363996	0.336943115285171	0.280868485433176	0.156000489661069	0.190019427801721	0.798465286443708	0.971357978716653	0.563956069379617	0.585668423351104	0.560039523982913
Pcer_000286	0.697903749726773	0.408634023384737	0.509018375747697	1	0.491095279037964	0.352424656341562	0.0791372066610456	0.23120834706505	0.122178333085745	0.138955365286163	0.271595499910436	0.483281640638753	0.238956366769235	0.250755160691891	0.276647169389156	0.20578579146145	0.36937717251203	0.608239999650074	0.237856951675154	0.531732140673141	0.428343254373895	0.0970307151197125	0.156501639302523	0.523414166285135	0.273806409077172	0.0033429798211082	0.552979851916285	0.80647424271702	0.019383188073576	0.229551568418071	0.0234930643969451	0.403205458947074	0.366249656192673	0.153169049976669	0.0161047372461507	0.393237670502997	0.150766976755515	0	0.0780996766471761	0.20716450449147	0.462244177062384	0.754392084320523	0.475448615268562	0.0115716269330868	0.485333715620362	0.514664896618715
Pcer_000311	0.289548102672297	0.135218142578094	0.0686476965410528	0.318497979243524	0.594874503203709	0	0.114997110225002	0.221775215818023	0.240354089316828	0.496543303728244	0.66046709265478	0.208577810268079	0.719283700494036	0.219562835692539	0.279071450984277	0.608342622311428	0.38662726081033	0.284154984568755	0.437281964929454	0.193005026135865	0.599729500180136	0.682185039098397	0.49064869546107	0.345477602085707	0.214625653902031	0.316983396847105	0.114465245526136	0.00323904546694574	0.401648013415857	0.176159262205935	0.181691808616818	0.622755904211723	0.693950387026502	0.580795731878906	0.852757952980176	0.684998061502545	0.220896053485916	0.251370126930347	0.11191742560991	0.5807659654806	0.802377192532405	1	0.723435820599327	0.36693372925951	0.423767563080925	0.638822243193333
Pcer_000325	0.0977453666113419	0.533247169460247	0.184341243356305	1	0.950520640896949	0.169423817914535	0.161211136453199	0.168193578568259	0.237121053969656	0.251689527951975	0.247012781505917	0.444142254208193	0.985632108202648	0.241921574417242	0.210180819122422	0.192581101702865	0.113335075347788	0.0782601185720147	0.242381790745712	0.210830419702566	0.629174164481277	0.16919442127924	0.187745927745989	0.168755574453283	0	0.0879637073397506	0.371469979641747	0.372092361615528	0.0278682946218362	0.0760918848488911	0.0526379031829874	0.294354952665887	0.256122403126957	0.30075308309196	0.593221701997481	0.592564928361749	0.115949389331773	0.0679233144241774	0.133569012100662	0.168179205167192	0.0412046478136498	0.667162530615375	0.836803224524186	0.0126386032906233	0.0201297285387344	0.0596634812990093
Pcer_000473	0.288712311246213	0.459449907744894	0.295744740842212	0.667246998392731	0.583188637778314	0.269862895315234	0.164070525114876	0.248767681849752	0.411556447274388	0.347550388820195	0.20180344465494	0.630046847517196	0.717708329093603	0.250860537968839	0.296408141443252	0	0.303394861397436	0.0942851662869854	0.465106562047503	0.51127781192508	0.691793938013077	0.441018231932098	0.518735784917588	0.278075893661348	0.60628500956154	0.935684224683633	0.371731082592527	0.727778741896128	0.318430402796966	0.419531900663466	0.294101943047192	0.250681329745941	0.231630586507544	0.451098761979788	0.663051604403969	1	0.30881840276401	0.320356722486856	0.511612408653602	0.498333142688914	0.415707177594727	0.826769803587987	0.787656800060482	0.287474857454679	0.274779689288199	0.105951499722956
Pcer_000493	0	0.101195272955539	0.0409230316991286	0.324116170940352	0.396189581887506	0.556959276343614	0.450490814642664	0.41400271337207	0.375043455330156	0.391138484354387	0.176095610083283	0.746338767438719	0.491482047326785	0.510157456671784	0.622402202730282	0.496709876088312	0.358236387695064	0.396046552485594	0.354964303169282	0.881458727786101	0.716993220401868	0.565800902684257	0.497769189331962	0.68414906850125	0.79223626647208	0.746471014066951	0.33723556269911	0.822765417345672	0.476995822757907	0.323938093324137	0.424435540402388	0.570127487365056	0.568439219038432	0.505931986822596	0.73503890660287	1	0.571926309774097	0.396511047612145	0.406199039627336	0.323079789395707	0.501839435940437	0.89207403062792	0.785040270505935	0.558893835673159	0.733279383128351	0.604308956696133
Pcer_000933	0.439582536127184	0.693821454545249	0.486985328856335	0.816277670515046	0.757346843469556	0.465816252281238	0.361563225776658	0.564124258175216	0.546467130204598	0.496692185808453	0.383347034421403	0.575943964136709	1	0.145777846604887	0.0886814114989833	0.32422899096913	0.40779950997352	0.646170184507018	0.608340009403029	0.681284899725687	0.874612716080806	0.457995047531964	0.320067921646613	0.656443619471241	0.212823233277768	0.342367261786649	0.693431298241827	0.307890828092565	0.406782316062922	0.202523282668979	0.390177929152835	0	0.518903427840274	0.612566449283816	0.325183401322436	0.43483742637069	0.452605224055533	0.305664742754359	0.119206297728773	0.724497475662169	0.773012616678083	0.437968316131323	0.357400616006448	0.466187110450709	0.429572079311393	0.291862881091929
Pcer_000957	0.00516411014510047	0	0.0550885760959103	0.205186962471641	0.273822440858902	0.147788505638337	0.147116322285129	0.198152889745808	0.334856147215435	0.518656512313346	0.685398800829948	0.453734196603118	0.778741081169666	0.520632585235119	0.659084223325115	0.73062764156535	0.207664684757061	0.123348444806802	0.367108692009329	0.128882607981879	0.678001072375564	0.865723761692904	1	0.667979526235941	0.292377870136287	0.432323477410466	0.112888523545495	0.206372291666414	0.639393690165512	0.339240388270062	0.313727425568438	0.548131369943902	0.706111932467528	0.720398818600284	0.813655112623575	0.761371186055282	0.268639533158651	0.188409474000012	0.123156167664243	0.523860075226302	0.830769555281152	0.93141179369608	0.87384446894275	0.67823036573419	0.709786851423532	0.759928313611257
Pcer_000958	0.00496345427757507	0	0.055210824346368	0.204996072550897	0.273718864976167	0.147617960316658	0.146992667993926	0.197830415119202	0.334825535471369	0.518548083904838	0.685271960095173	0.453672878830531	0.778616644269996	0.520408326698952	0.658955295050065	0.730567035819032	0.207855290963326	0.123344799533874	0.367051326561049	0.128772886858576	0.677833790197452	0.865653328675494	1	0.66790784644305	0.292490075768643	0.432203095487545	0.112891218184615	0.206196713709776	0.639493610216113	0.339370565514541	0.313651303908861	0.548097202033952	0.706111604976064	0.720355320020563	0.81356949473668	0.761441483657702	0.268492777184658	0.188208144117339	0.122848697766764	0.523729259425149	0.830689552096777	0.931392290980524	0.873812683983746	0.678228863343989	0.709757202235961	0.759856563378562
Pcer_001536	0.209687829705117	0.683012654024332	0.554045755900482	0.837926490570297	0.892524475849794	0.81613726880413	0.898232484864356	0.849746393042863	0.433637700105678	0	0.400324048133927	0.525222414558813	0.850650473453522	0.594298791917846	0.729554558171761	0.681328970605298	0.609293995289625	0.668250883091515	0.805105647518429	0.93874399583679	1	0.704622149433573	0.783259815483648	0.464388309745408	0.371632649537328	0.488328738805163	0.0424947403640547	0.466682626087704	0.424718075439232	0.213657470867878	0.406059723022064	0.483801585990794	0.321479909725002	0.384959704801656	0.831540312053453	0.828321318322409	0.337495657983301	0.2375629614552	0.190558417660049	0.340437068983894	0.489183953712731	0.65681056907843	0.548311672451775	0.322254674810066	0.467143423179857	0.516557846901175
Pcer_001576	0.252012604489539	0.500048633117735	0.276425405496957	1	0.849653567398917	0.10289474067762	0.0786236901571025	0.102194613929595	0.185684595429874	0.209196168322005	0.261499054214514	0.187166971618267	0.944329032145116	0.0278589113531822	0.0589708325170064	0.0945665865087792	0.256680184221272	0.24049834459068	0.238364449044375	0.211971727199736	0.383745902051272	0.150065553528588	0.029924119933737	0.0499404440173853	0.159569607115563	0.213751242155478	0.430302215754067	0.211463529839385	0.140531362803869	0.0722796810934392	0.00398573570284649	0.269431305220579	0.340288811757701	0.28675008667104	0.774852918667191	0.495673340695179	0.0690077571811919	0.0435551414764826	0.0947710965327737	0.323759198159718	0.324408329672817	0.545994032895127	0.941723181939706	0	0.0118120778739714	0.10732082279938
