27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_000300	0.863172181059664	0.544736059098616	0.947430478675552	0.930773236058839	0.730174363478499	0.277911294057463	0.551621616047284	0.646659301970807	0.352223192132096	0.328579444637355	0.444390498352835	0.346073202265557	0.352932832950227	0.408014450471202	0.465018068210663	0.206763580871485	0.467513834431787	0.958697530018891	0.897261925216879	0.787160245280009	0.700145637572856	0.634419199527301	0.661862192561685	0.794617309001392	0.659356139766433	0.809843365419323	1	0.815574066108664	0.529305304974292	0.651343889424248	0.558382406848186	0.0531406930315148	0.355893929476534	0.148264481856143	0.0710898276032561	0.155247169176875	0.28328385438612	0.194072642351736	0.310611812514543	0.47474895832362	0.236750420359025	0.360394965732709	0	0.617227721498975	0.609356580944017	0.673395041604416
Pcer_000329	0.858497277879802	0.65912806319537	0.710017083912044	0.595980992453493	0.500516103760797	0.280268730416393	0.523170985070964	0.483057248690608	0.551661243740804	0.718738072319817	0.422615723414938	0.400402875474291	0.433762149457148	0.302742548466556	0.139123309920813	0.266900838760387	0.550775529382716	0.632395926379607	0.475551606879958	0.334711290966003	0.477727936079833	0.122350283076999	0.0563314421466609	0.43259521065257	0.646289848132533	0.767477157348233	1	0.494754356930403	0.579373827853493	0.340399430303944	0.406090521627981	0.616703745648768	0.575029208354888	0.333095607966295	0	0.362625797611098	0.233719040580027	0.3131913247479	0.526978652569636	0.419151464045378	0.191067554139043	0.392638899564056	0.299289805131574	0.0624618885943134	0.264501804449908	0.290053784100084
Pcer_000341	0.699973139022426	0.702780663805537	0.805598521226004	0.703629296966688	0.692747785829447	0.633185488877173	0.430859787536988	0.468787437057493	0.647633707818542	0.766720381291799	0.889941394133801	0.561132993140279	0.761491725083942	0.718262610575051	0.727304897736364	0.651653345567864	0.458356218864496	0.453933385398835	0.510880430629982	0.3904452829838	0.67674341525949	0.655296057101687	0.740938196969964	0.63840158778252	0.552882987351195	0.602178383630166	1	0.412433291606701	0.403934693838424	0.68794496026167	0.668158425467282	0	0.318600453140999	0.222590507266874	0.154080817446882	0.237855851079067	0.10382186983041	0.0332469879948897	0.0303874322673388	0.592353791637593	0.571789697256574	0.532208634416201	0.433533085835904	0.490097199371129	0.435037392882026	0.709593650228897
Pcer_000394	0.60951040185506	0.782189623227127	0.794234567709649	0.822782210177808	0.772766594171115	0.5877295485443	0.538497758726692	0.469342715549854	0.705846958394178	0.717504476270183	0.952470469946991	0.620646117161096	0.973907169378743	0.771172266392526	0.475187485778485	0.654263876321785	0.772179087023234	0.651470052650387	0.911882635421905	0.742245723221478	1	0.427632088300562	0.57542810832117	0.590564158690913	0.582100022283136	0.683768050374484	0.642372903664471	0.429586748774128	0.113930420975031	0.250409848018379	0.243750846958865	0.0381695394930903	0.206319833142015	0.443053837443539	0.10683517390541	0.322697548828062	0.243261990518958	0.049203771041616	0	0.358083648876146	0.506099218770989	0.439757410022649	0.515085580674413	0.312840621372829	0.370143404511592	0.391942822536267
Pcer_000600	0.818171118761237	1	0.827618206947706	0.57993016436877	0.441723204225599	0.267295376521723	0.211072633368766	0.313100075642211	0.447742469245164	0.446988019677866	0.220609114880477	0.337819445962182	0.204117304980156	0.052371425966803	0.204567755225502	0.155626225678033	0.430799294845957	0.452752086851168	0.201114938117606	0.285796126434483	0.163705989772542	0.016603207598635	0.0780149203316059	0.0308787157936266	0.654277436957727	0.604294777435701	0.79823164447086	0.317334307584154	0.194734569825968	0.28400949819586	0.352033671939703	0.206620197806764	0.645204618671679	0.401254328176016	0.363552079829793	0.135905891087212	0.192664038583513	0.323000091460088	0.484354187184172	0.255760292572165	0.227545674331911	0	0.0238437162404238	0.213599962746882	0.138019317884255	0.151175666089513
Pcer_000626	0.69334400730957	0.579185171375614	0.685032130975618	0.830688503566319	0.606067917799023	0.990599926536894	0.969897177370883	1	0.602630062623207	0.589927134446557	0.548372848066197	0.376560331108177	0.188337838840593	0.345789929826387	0.301795184271987	0.808198592415512	0.754644338450497	0.675119692288	0.786950769352963	0.853357850200991	0.834472902859648	0.80982876110764	0.418031740261634	0.563816596259878	0.464870715292627	0.32266558480585	0.440170026035909	0.765366408523463	0.570192473280434	0.333584188919642	0.26615571053861	0	0.157324902860045	0.175507501083096	0.031210827889653	0.149282614006405	0.149675734424791	0.167394770199119	0.241508225775561	0.158180204304389	0.307369225857375	0.0664326087422318	0.0206045795755479	0.247225721625633	0.202192088799362	0.255664272062191
Pcer_000822	0.840549245044477	0.926300194339305	1	0.794268623949508	0.614154734687844	0.348299807998888	0.454872096202428	0.489468692569842	0.385818688020722	0.554252617968669	0.575472215808451	0.39751322798359	0.444295048594106	0.160241078219503	0.167875503998189	0.322165082528401	0.440398848052073	0.367101906735921	0.603346878835868	0.253904794186548	0.475357569061348	0.345081595110909	0.43032563136514	0.396562263581748	0.49445848786265	0.603506801335783	0.842610485313085	0.315088933213494	0.17881283638098	0.0830968279137335	0.0864976104768923	0.137323419711008	0.480122160239534	0.362801460410435	0.273014760303043	0.0363092395671284	0	0.120861282012872	0.0478088972559123	0.645909292446263	0.40462879236798	0.295641199826423	0.337881550836082	0.331791858890967	0.373225569504382	0.202452797965057
Pcer_000869	0.928813947690027	1	0.835641077518922	0.798453230333292	0.360925253155839	0.286847669462192	0.217699516051354	0.34108382290195	0.498328509239526	0.59525827499178	0.755295815621611	0.222433479503722	0.358461178979147	0.151627716262294	0.215512823757971	0.309032487884665	0.477186954208393	0.445075533166624	0.329581872294713	0.320863155031119	0.219510857192095	0.221915450526897	0.0720187894174325	0.292095123801363	0.655059121550605	0.797874267816656	0.986517827426879	0.384680267057922	0.161021969933841	0.29635720338538	0.401600779511696	0.16359109912016	0.433053631597842	0.278126176783457	0.0286856905064406	0	0.262689719866521	0.299432146524137	0.163028483851144	0.418853134256611	0.490787710197943	0.168210050821063	0.0821145708502492	0.158209107057	0.213939563478472	0.284472898459061
Pcer_000994	0.84368849224206	0.684908005464729	0.880657843211386	0.874288869857291	0.855679874023111	0.498157474364902	0.453139481773898	0.543201607860361	0.533598928874833	0.238833831243781	0.603014053822456	0.491954129672538	0.564403756180249	0.264704630572911	0.173680639607332	0.261235577941885	0.329389059314935	0.645969715928081	0.664028234822731	0.690821261620808	1	0.485133648638818	0.644059440361655	0.37188904032011	0.504010428077997	0.326100066657898	0.744502705808366	0.427114754949622	0.164601561371943	0.184307198562779	0.146560011741617	0.0686698297348943	0.146618315783157	0.239848161223029	0.260573361861142	0.295409118727075	0	0.0399881959815491	0.0406123922920053	0.361973449814899	0.367097557875032	0.248313378560915	0.199657899990322	0.118198275113781	0.0299855426657638	0.386617169969656
Pcer_000995	0.890573876617872	0.891786475692175	0.904861976026232	1	0.928220457466218	0.659045258685226	0.726042333569014	0.777357117642079	0.590946478337194	0.514959252723842	0.709027760682313	0.654695951940933	0.749574476432473	0.580362170366064	0.476103150242154	0.626898343429599	0.558364821901406	0.703278338171873	0.702902076775827	0.756262091399131	0.897547980996674	0.550139547693326	0.598563580076706	0.576719755124553	0.595966879283165	0.525261003944868	0.762775390118135	0.823388489681832	0.466435924659564	0.557131095722236	0.521760466070221	0	0.421049573136155	0.358584865745552	0.577283018979108	0.470210978699452	0.324395843219874	0.185420469592625	0.285524753312928	0.37148801658066	0.335115159116672	0.568390625410758	0.341986957994835	0.413610097801959	0.326429259468606	0.653531171387593
