27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_000665	0.441970107816106	0.555466086431106	0.378952349720173	0.722686448633481	0.6724260577503	0.583958537587029	0.734268765729653	0.627477745336459	0.242857130618815	0.356432258090076	0.245761471488398	0.496311035301893	0.486899555992879	0.486386884407429	0.620730958150559	0.31551036370638	0.445139617927836	0.543407199422403	0.586910445309844	0.666296653077946	0.788467382535374	0.792699666600395	0.896137807216883	1	0.57480148293344	0.458539266733588	0.515033829664222	0.590638653393683	0.870475247285329	0.651935988776645	0.588995641093174	0	0.198594403993114	0.0429597978338936	0.419642347842813	0.520581174972443	0.551418750637272	0.527113989858534	0.665466156724254	0.237348671347269	0.415768865008128	0.679260832237516	0.61351203614764	0.543814608910527	0.716621756483566	0.643710136354666
Pcer_000711	0.35384416834667	0.3457329454342	0.230933461990321	0.590867383388315	0.569657588991787	0.711659453945741	0.655207631464573	0.613763542700161	0.0892020588329464	0.0656370419515651	0	0.368208670841798	0.353104135428552	0.50216100003842	0.42768832763869	0.481656343565557	0.708675854434214	0.707484389143076	0.662398619070554	1	0.943705050249865	0.846505738444496	0.849921818491751	0.924825773902744	0.186566081162834	0.294053658781493	0.212344023275021	0.432608434588494	0.446489424011786	0.475548016212897	0.440029084276309	0.412544267093477	0.172524487481621	0.351515007713691	0.357885450080603	0.636573867397636	0.569067055001342	0.521353310606579	0.524408596203249	0.0308510264966826	0.032645746196339	0.337519395414431	0.275286066051669	0.549245687581403	0.432820437042636	0.474735455885163
Pcer_000865	0.173424803697897	0.206277478619292	0.0611938327997155	0.134160163183377	0	0.485206610023031	0.371541885225487	0.379278009054202	0.474785119015898	0.449878216967701	0.310272458200927	0.475195744135174	0.298043954045318	0.626691382834042	0.609484505330946	0.589966839543139	0.617032314120045	0.733883756239615	0.525976358081278	0.776358361303799	0.640711934123103	0.947441486259143	0.884269846511924	1	0.541657707366338	0.495599382332631	0.516696630164106	0.521941423833358	0.73106125253951	0.728460666675398	0.716371479662303	0.482513650259142	0.596827176335065	0.439586440016749	0.316921512754081	0.490904986885646	0.556553521694882	0.576029807796642	0.645679320203143	0.504884176464974	0.305751722714889	0.475608531164583	0.420702569857668	0.680998425545672	0.693935883833108	0.656047568631558
Pcer_000963	0.356836297908758	0.280062697319967	0.450400809181252	0.495527926151521	0.560794183464635	0.476857750527003	0.640089311780225	0.690680803876361	0.359485357367786	0.140034281109776	0.131305070391733	0.256527312348497	0.33605534038932	0.599833649887842	0.608550362578082	0.429313642737249	0.841491377581183	0.719531722697146	0.7303426999387	0.930755448948524	0.85062158138489	0.712341028161168	0.983267006783309	1	0.190900873754728	0.172391332737121	0.130819295002659	0.48802320150473	0.314620264761937	0.332938501320692	0.389791000771702	0.136511943781795	0	0.406488708208255	0.581562239701079	0.529640540796287	0.478077665492707	0.454575282021882	0.458274907040603	0.399061361634113	0.400327457048655	0.390143708728972	0.38146093572728	0.716224805754334	0.553466326220992	0.51118866430058
Pcer_001093	0.544297592106917	0	0.253972546630067	0.71635317844072	0.659531159806718	0.606538314167214	0.676536253209361	0.474495923923709	0.363404869281268	0.473577407601795	0.240523638952636	0.594399766316503	0.460036964464248	0.730929936504421	0.43059828449137	0.471898546121188	0.511819701800626	0.338111802800878	0.398636102701649	0.685441017233478	0.665198888739866	0.287702673567014	0.387342597278819	0.297304270346735	0.681886259443081	0.581456674346499	0.842149153732909	0.873404466636704	0.606464305542864	1	0.811157765398413	0.398901836885654	0.344468882673768	0.350728920026591	0.499024904081988	0.616681571117331	0.437261628572007	0.515719515880465	0.385231630379623	0.285561248853771	0.0604909327641582	0.737393219869874	0.43427817283782	0.812799155184603	0.786812514276024	0.867231118826779
Pcer_001236	0.166777291318627	0.706350330009424	0.391846083935315	0.504450837975567	0.393508823911992	0.672161344157612	0.503293107662981	0.431525870186791	0.340445541227115	0.235432659547019	0.227156223067719	0.745613435018085	0.683793388550374	0.956578225306845	0.953998003300598	0.94840029602181	0.609464219079672	0.493621593782296	0.604079540693651	0.812906063328529	0.834457725957432	0.93185819096784	0.791549823273397	0.832064092998276	0.588263525144183	0.684684280223922	0.586078094172033	1	0.754799532360329	0.73902052520293	0.824368352728069	0	0.232086763771414	0.271811629834404	0.729440957748142	0.735245024675843	0.778079167812432	0.723588293444948	0.819395217371145	0.0295051027732844	0.0131780216068308	0.895159109905894	0.742473013756371	0.622292988926917	0.795627162178716	0.707328133838433
Pcer_002051	0.682297874607219	1	0.688835976041998	0.717211766493603	0.417414668537864	0.829146146368269	0.650576184387637	0.752562157579368	0.223128759873817	0.178196303936103	0.289688115809288	0.191551208262164	0.418532802967548	0.450658119047581	0.776810119091341	0.309648339036485	0.369007184470903	0.516619375564633	0.525260380741184	0.675142109605198	0.938851076839926	0.751454359424274	0.414513540675542	0.79655908577159	0.388905511396882	0.084281647452957	0.649584418527182	0.35520077199988	0.349306949313728	0.659202052182182	0.0489889207296337	0	0.367467655962398	0.280344616929293	0.413245860111686	0.571553905543903	0.383544036056045	0.249766122132763	0.534016055804007	0.515651257436732	0.332242072517736	0.461963700084477	0.37029312316665	0.613023505365485	0.822532428836611	0.818850745450125
Pcer_002074	0.0765091785612911	0.635226026554326	0.379124037188968	0.612159254273411	0.504902519653057	0.597667229575063	0.477005237708591	0.453635142258908	0.163359528962795	0.0379407618536679	0.0723675949421602	0.369139771176415	0.285001630243452	0.467613695570459	0.458690112552156	0.515385057590305	0.459188786628731	0.572175884062366	0.744613445807971	0.939223428989437	0.793037242224265	0.941867493248009	0.969257796949906	1	0.476538786610327	0.453148568593394	0.39808828685198	0.726221568385809	0.841483151895222	0.763280609104014	0.659077486113729	0	0.0647958228585814	0.22013359186295	0.425599141685607	0.412661571493064	0.547442029108039	0.424241189015722	0.504309082010032	0.184142521319438	0.151865754645405	0.727579625320359	0.513400480420585	0.602128311406708	0.61638641535423	0.592818202868877
Pcer_002181	0.0441681179021282	0.294086195159392	0.154866300506569	0.521898376372153	0.489817243142196	0.78284568981259	0.661334112789984	0.612936025287573	0.157655346664625	0.0373012919349156	0.112108078992742	0.618993635053295	0.515146270564337	0.812423633621082	0.807892688996437	0.78437303900238	0.470445480260493	0.39963263826336	0.558258732071705	0.890419753439236	0.889715713275547	0.942186110785052	0.874789140015593	1	0.380968409084259	0.35363227591878	0.420517421408778	0.910217194729973	0.923201098862133	0.887057118331469	0.912848763250742	0	0.186968336179588	0.131834536743483	0.648024520473552	0.838041011732681	0.866627710075813	0.815242213601682	0.838482114600401	0.0926617755950751	0.00702051221696226	0.753919669985891	0.72326438861793	0.795586254187337	0.930482484743779	0.848566948651934
Pcer_002242	0.410984655138418	0	0.190736742107891	0.322145478274706	0.157081441517484	0.445250040614647	0.591485985979782	0.585805589334225	0.151508817775296	0.217334511468448	0.0725228001642108	0.0543474049036413	0.0933340680951197	0.484056155518925	0.433867984936219	0.469681992677161	0.437344011993852	0.57872190475456	0.693138304364873	0.937394077361684	0.772878749948258	0.95379381796622	0.821131763114919	0.836955109297868	0.651199482295517	0.542397540363036	0.62905175059816	0.915600967751278	0.924376854818599	0.827237509677588	0.910744798888321	0.475013181145877	0.544464100995159	0.657493095189462	0.785494816919365	1	0.955948114504935	0.873882035050512	0.850957609134696	0.638648511699674	0.585481617335345	0.954543159921505	0.866828094347302	0.930958595127041	0.91936046764091	0.89429141180853
