27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_000281	0.199112386822964	0.0840354742629172	0	0.346065526698575	0.199414735661992	0.375851568848021	0.203209180294311	0.215797224179059	0.561925177030573	0.393362316481074	0.434849702350325	0.552604702058236	0.516093055935605	0.554745800842611	0.864814146127287	0.681457831496243	0.663813768799999	0.740215917290411	0.743274625691869	0.889558341988034	0.735342309139537	0.977946702955429	0.769736142042238	0.929125039726204	0.467309790324238	0.564125192796848	0.281967925038608	0.608462996342006	0.694366689732989	0.686369215745346	0.583213794726963	0.80794281780158	0.597441861774361	0.782591158034122	0.590209895052686	1	0.797221398203553	0.690963156023932	0.981688634472987	0.383420044662955	0.248529187184098	0.46797079060314	0.389803293304857	0.640193452936105	0.599234196893923	0.729330098390785
Pcer_000625	0.29815750263272	0.55294341334089	0.376030553953712	0.362040789793417	0	0.249155439257583	0.479741357467226	0.506546659593789	0.445694284972273	0.314785813680127	0.708266146577017	0.358009144342798	0.224566755253284	0.406842570135419	0.539846846225543	0.670673325538431	0.81473610920272	0.836677692542618	1	0.679875169735508	0.741073208209421	0.755948527518545	0.875211370724338	0.671807809367329	0.709795210931815	0.632977101394212	0.485268907385773	0.68470540720143	0.417012829301228	0.34184195905415	0.504769670059119	0.734746448234458	0.76847536246339	0.409907524452194	0.460650909046072	0.328062455205274	0.746593128557951	0.64840521218629	0.73173643246961	0.506813405604537	0.357500008742497	0.282727637570412	0.303955361528499	0.177169086993427	0.327728652639103	0.0956327153423127
Pcer_000750	0.0920690805932458	0	0.0549875121791779	0.0936874178448733	0.045047414948302	0.168918209053857	0.163166923240493	0.15260105285449	0.532925195385871	0.615707600230063	0.44335523585932	0.336751967558864	0.465564020252739	0.381045895625863	0.315446621550633	0.392859456015211	0.94472297287652	0.917743571876957	1	0.992030030493064	0.834625335017088	0.98531477454494	0.99883978783074	0.928091336135684	0.506837126258382	0.462348113153795	0.357049720954259	0.587261430570121	0.459317978867664	0.559718686670762	0.48375002336587	0.765453677952088	0.369881922717777	0.577843065719233	0.498303460510674	0.740686279444635	0.270544662983093	0.338202026564897	0.494491969931588	0.506845173255346	0.33029467536113	0.27150871371879	0.478770671215211	0.29234555256424	0.293216282577192	0.146373974771493
Pcer_001345	0.345909603637931	0.245298007434707	0.264930050952952	0.220804097786108	0.415315130968127	0.13110685784092	0.313134967609526	0.483287888726965	0.105017704772747	0.268336349380108	0.298090256360466	0.144276058885732	0.301970358004843	0.187044171702643	0.272558762222715	0.331728067701106	0.81844347717553	0.78925802157336	0.819553701765617	0.775729176860503	0.92460152629269	0.767164983533402	1	0.910217624876488	0.126999506181795	0.244096418146819	0.164188649454602	0	0.40553169505018	0.416610255007811	0.430986577915864	0.407857527682782	0.513406566103075	0.457260523739122	0.664751266957415	0.815718441365544	0.594535908980215	0.801553074053346	0.616079881213637	0.279564570634619	0.43431784429743	0.429492832838095	0.247233364353546	0.570040692248134	0.762478025168175	0.542773069833874
Pcer_001479	0.582125048987195	0.337795735773989	0.649440305735878	0.817334387729007	0.696570479225485	0.698077919685902	0.55738767453995	0.581829615515807	0.220245984668123	0.205490304965451	0.529567625158182	0.329195016943576	0.483939023280299	0.438930115185067	0.811973061721959	0.403790082947089	0.596921594991682	0.461230661797451	0.666488821557608	0.891504978610588	0.787626172068092	0.801140616283001	1	0.898841036609269	0.346180623299541	0.325966980661419	0.600747052959394	0.490152588698803	0.622945574560843	0.42451766372108	0.291834176525513	0.610130778822402	0.507862898246272	0.767667150096115	0.804003602727944	0.522902544667173	0.722885049651168	0.844316426780852	0.683197551493315	0.228193003429607	0.606503537489038	0.234360084737062	0.41384796763767	0.366060586064506	0	0.459627438094181
Pcer_001646	0.6485831903985	0.459994995430958	0.579940391079585	0.903628730349605	0.586818686215522	0.531278158597468	0.502031891791767	0.469371394913765	0.215540469804145	0.560456445119707	0.378216647938247	0.39050702523886	0.588793108239802	0.72938824145712	0.421951560054988	0.31943355486595	0.622429622407281	0.555120777995591	0.795846614493699	0.502117819765825	0.929615083698409	0.794675966489106	0.619257504118071	0.652641889950835	0.329965694838645	0.288139988858574	0.238807830855844	0.283611603854102	0	0.215055393331118	0.315849150796835	0.821403075970066	0.475701445831412	0.529049253757772	0.713451465360772	0.458878125095504	0.587976821455338	0.628663555242193	0.207721355520409	0.533674670318686	0.731234988277072	1	0.799157076843904	0.43847479011488	0.857533473299773	0.539045919983699
Pcer_002463	0.327186778201617	0.165021671805079	0.246289630043744	0.543275159534128	0.448952519147712	0.969236830837979	0.715193780260579	0.558451076614128	0.176355069692656	0.25171774536941	0.1429170197015	0.0797243062061239	0.370321911603649	0.311744063036613	0	0.300049041399869	0.670782724180594	0.60317635895181	0.63878099336074	0.821376005776806	1	0.682380094663286	0.614194685632237	0.776207143486572	0.7887170543415	0.410277850128672	0.583750581470787	0.948786926621568	0.628182210830688	0.176642104233599	0.607106993616686	0.735784424376389	0.664184322254922	0.684618617936075	0.631260522463251	0.545481148866615	0.832613043758173	0.673114112102069	0.528943913262436	0.471191777182089	0.421399062825649	0.501755265651571	0.0882248898492263	0.509850020041624	0.646399006876648	0.532905466114437
Pcer_015972	0.180858683205426	0.139656122543744	0.13856045176079	0.482372828084227	0.444119235950754	0.723499948766384	0.60556365243872	0.609840866877168	0.211536232129865	0.263158889440577	0.200874408430134	0.212133583540577	0.184756700370024	0.181108423389056	0.122036813492381	0.216131620365205	0.345563533795319	0.236013167433543	0.294215530664655	0.597089024757424	0.600590609369825	1	0.906559186099235	0.929648899122203	0.085266824780665	0.114047344305595	0.0669488701760284	0.0761170439168766	0.105905759821829	0.00858187302566274	0	0.385908388731774	0.523178303652102	0.45230663478315	0.627837649014474	0.546980039282882	0.920893660334042	0.921610842378271	0.909596431617276	0.0472543702900628	0.131064523312545	0.258422628843186	0.213468860746343	0.724744774234294	0.552722433167596	0.616779740207861
Pcer_015974	0.672571106016306	0.729417274385694	0.690178015113291	0.770697736257568	0.785334831397851	0.781357659812771	0.872042891905763	0.863002826130307	0.0342616565989454	0.0520135118595161	0	0.125711445661978	0	0.093940496223997	0	0	0.465390767465534	0.617527122235182	0.739108961513561	0.675601847126193	0.808470218075438	0.944246911986919	0.95024314602737	1	0	0.0531145418468195	0	0.0780298287998709	0.109239961845629	0.086035696969787	0.113359411180639	0.598548393343984	0.530099459852279	0.545058795963902	0.528976007484057	0.708551427543535	0.736780767022847	0.715677083573752	0.681780521644826	0.644310634252785	0.396032890070918	0.498455243875098	0.591041016362361	0.686538093364028	0.853534054030346	0.630053326519641
Pcer_015976	0.160463871578872	0.184749955101515	0.15883444528037	0.471359150180791	0.485553077427884	0.716035667948233	0.636813820841646	0.624684821691476	0.0406326556026252	0.113638362959943	0.0679380164024533	0.0205950896450958	0.0734179917127974	0.0617030227157506	0.0406453210079651	0.0578424017547765	0.398042445408107	0.350310972910771	0.388611274242022	0.642637861037886	0.673770393266673	1	0.953732169515133	0.922944785805271	0.0247378050543375	0.0323398280030238	0.000713097373636181	0.00844647900552442	0.0197191971520864	0.016657747504884	0	0.355916926219282	0.426315526771954	0.399622009288078	0.64265335342721	0.55113515063827	0.916142682411724	0.929806445388852	0.930309327307144	0.139728771257915	0.174862400473123	0.325601821016374	0.297301589241287	0.733409730672757	0.58642792088833	0.671820433324608
