27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_000227	0.805149612167662	0.627615340916609	0.728748568272277	0.741048435408337	0.822241179156903	0.59167803791749	0.937787666390334	0.730159015685987	0.632801011849285	0.600194039253906	0.932501234180001	0.608881706972656	0.873296361918327	0.487800800741633	0.574839563361464	0.738077221342758	0.567426126748329	0.465414558668439	0.498579925424098	0.279394032422609	0.449340340408322	0.169882425748413	0.16952493149665	0.164099627052565	0.564084206626538	0.63707255384085	0.472994198606454	0.18603813114543	0.282742885171014	0.362816506758793	0.427420518269203	0.0759987747914695	0.0576872974182047	0.199808834198889	0	0.197822558889779	0.168502568771194	0.27651878206314	0.239199287321974	0.841075024427809	1	0.727295861789287	0.655360132877277	0.510647979902757	0.854511347847289	0.53390868845302
Pcer_000382	0.841208853705568	0.854615009625712	0.812416871341778	1	0.873614178642342	0.779622389012762	0.718826257523887	0.842794249542045	0.501735616964311	0.625966621180872	0.583616936091843	0.52766098324374	0.655448984422696	0.46298431069017	0.53962695582107	0.564275502110986	0.422275972581049	0.558667704933372	0.418320459170483	0.625383435446538	0.559400105186933	0.344332160672022	0.472590462354402	0.363283002672914	0.653583750520632	0.68289206915612	0.812904202418351	0.78360803153559	0.60241842601656	0.770385776968638	0.704785831284398	0.0943960115755446	0.124104291991344	0.0630549073480996	0.122376376836664	0.142509251976039	0.0328949354586476	0.0514024229324611	0	0.929753567887964	0.847298331570241	0.98531838652394	0.964422956650252	0.90038319804019	0.940036219671509	0.827892889313038
Pcer_001053	0.768075763489921	0.985387874211472	1	0.980840907644623	0.751556154752152	0.62452077088869	0.509439103971859	0.641561834741027	0.894009977981819	0.673469069055402	0.921902207930611	0.800434457433374	0.576230929262772	0.976341990799944	0.829823797887825	0.737003781517472	0.718602193715056	0.561044116818204	0.535902604980167	0.0653588542985236	0.315826099609016	0.151808421546558	0.227229131915358	0.282014068545147	0.931336365607458	0.82553426933383	0.972049268055178	0.723214020169641	0.593639200922863	0.766789380057762	0.714366044900596	0	0.316923444068011	0.546474342734352	0.0498021936590524	0.00493057177483187	0.172020515938685	0.478152122562972	0.418301259429147	0.721033475425485	0.599069170118127	0.497921152793151	0.520581901594716	0.495097996678924	0.482542673690062	0.549165442967783
Pcer_001919	0.866871969817215	0.973900646551522	0.828097011232051	0.980281294611483	0.793892140894802	0.966112618248312	0.722130025263984	0.656916892328121	0.559963562287384	0.654666121380921	0.758997923876482	0.701798878250539	0.63681884481672	0.805944308517201	0.729850534609679	0.579144828795592	0.483869070040314	0.693907050509429	0.370090035495912	0.605686846097309	0.575561436349253	0.536945526573132	0.557254211730013	0.447879801091351	0.576999270607008	0.575577557154181	0.952623301953832	1	0.564434537756586	0.883266535148926	0.724737652868384	0.310255234842574	0.682644105090846	0.381722617633942	0.323918741785232	0	0.817232647907399	0.641749257647822	0.603472121571785	0.52488734294503	0.208187146773898	0.490079083017485	0.49048555746834	0.462594444958569	0.43714396132371	0.424340473409044
Pcer_002347	0.687348414203208	0.58277915355556	0.672176505460956	0.381002707814282	0.261021642284261	0.472082453501552	0.60966510028434	0.538461197957623	0.83082693392405	0.571059166815902	0.755210998588669	0.158662163476015	0.272698646119542	0.642288287812762	0.542569399037966	0.630771724977229	0.412247752674276	0.291987133379614	0.157328438931005	0.195524571684023	0.191767082625613	0.329785589616991	0.305067273842867	0.269409473897186	0.493815173190043	0.500651778006994	0.644140681282039	0.383523700383363	0.607353340543309	0.598046356619166	0.490010921745192	0.0540637959717252	0.490047926400011	0.33304707141004	0	0.0245733934333169	0.0522846979654116	0.388726725896562	0.0501508287220998	0.443005609578887	1	0.0249358040840911	0.169348302717401	0.254237553725735	0.317493723605408	0.220309383127257
Pcer_002867	0.810112670978438	0.994070530207707	0.901897037528014	1	0.839811140405287	0.907468876579638	0.815423264351996	0.861658427778027	0.517872129740688	0.361086410992748	0.378350670770286	0.652318609826844	0.591051639176654	0.391730952591971	0.304084100300267	0.409068838105787	0.261069419708057	0.190934640829404	0.454213163352096	0.429087221715235	0.565162045621604	0.509440312852952	0.427611395317906	0.27620724541304	0.426762647092241	0.436456919873793	0.831116056566357	0.577148519396528	0.493878924809927	0.623329588579563	0.624986172683611	0	0.115695349002316	0.147314931684126	0.0782774439509537	0.522267952972798	0.137964187536115	0.230272834984118	0.335447185630789	0.265243432664986	0.226516742054509	0.41797298534442	0.302531455539222	0.370303425587426	0.420466997805702	0.674994103336311
Pcer_003085	0.403359146254267	0.806432603805225	0.699261655879663	0.314688804907348	0.753784027792365	0.902899407832405	0.675299383423207	0.527480011538537	0.677501584285949	0.412895829050182	0.857996080744461	0.91719310765773	0.687320651269548	0.383041715827473	0.606985418492289	0.66281789965983	0.527489075682143	0.410611964696628	0.482103026017666	0.398005285717836	0.508937843231036	0.508679666983669	0.81715561400562	0.435226181524095	0.719221516934532	0.684326776719771	1	0.805582090031543	0.88177142179935	0.498909122125062	0.572182862180629	0.0729249195827119	0.264771135373733	0.393725140925434	0.527689564122386	0.45635488621169	0.547594982719773	0.420351896369619	0	0.680189329208663	0.457674484885679	0.571077511399081	0.299992788841321	0.374286528731395	0.843682166341439	0.856061432166341
Pcer_003125	0.838200999098107	0.713431826384229	0.856785669787273	0.71484046131162	0.855339226589814	0.794516601887608	0.916882724271471	0.846635336392009	0.869310716876532	0.89083692744859	0.939853333974612	0.838823681374916	0.825158177135601	1	0.668578431255967	0.800818687389245	0.656430623589184	0.55961976022363	0.63366873077657	0.780980931001367	0.738722661356019	0.740966199159458	0.889254246790104	0.61450760825642	0.837398450988756	0.69477637966768	0.803821479959551	0.900601359520465	0.626293597920287	0.955982008237351	0.814716474415459	0.545615464856912	0.328539615090849	0.591246769147526	0.441430723977773	0.523520305866166	0.383160242522123	0.372617151626965	0.329749088351319	0.137642052587841	0	0.0874812236848173	0.0886254405602665	0.0666728540092109	0.141009847852385	0.247055870283697
Pcer_003184	0.724610797716105	1	0.616573399120651	0.686502332751393	0.531349902867197	0.713308754229984	0.578732083844802	0.63035733328065	0.503431345511131	0.309503665655079	0.397678538619154	0.632131587313661	0.631551513788493	0.466337634429295	0.299798516023343	0.502590658686039	0.453818552570189	0.283648912270311	0.367996009157413	0.395186078319978	0.356530112384593	0.35444840206676	0.307944237570144	0.272417002715966	0.332785967257598	0.517970001742726	0.739775168072613	0.524703159135245	0.384527635555914	0.636248227894578	0.390775805814278	0.270067874401826	0.333230365514512	0.201255086358118	0.35441047767243	0.567073752301346	0.231302657845445	0.132943542629416	0	0.197303823316534	0.245869101336257	0.494642425117767	0.568263362933558	0.380827106649813	0.075282648846361	0.299684359221663
Pcer_003357	0.697606663901128	0.689168720594924	0.894313039931276	0.710471655881765	0.627952084962433	0.441041101945275	0.47040499687231	0.644835580416301	0.503582202363114	0.607996081777842	0.290672396902161	0.262220315679245	0.212534714341524	0.472748331726476	0.463992321292303	0.441572311823159	0.243733484229654	0.290146410505081	0.139772909263753	0	0.0444911343901658	0.315889940007237	0.323098612036324	0.351954568862536	0.4731408529389	0.459384962641518	1	0.74297727315095	0.79350985753822	0.617494689884951	0.893569169724234	0.0607161083913452	0.481370825041632	0.220787121320728	0.305245735488618	0.0904080091964036	0.132050416264075	0.305378149166012	0.530645925403354	0.0499874025960672	0.142877629638855	0.352188489991817	0.240628485556921	0.529405425554371	0.420135666134936	0.663363585528154
