27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_024686	0.124321088164307	0.0396093172828818	0.0797645557449603	0.183561104884799	0	0.245270116096346	0.175320564141141	0.175379475571596	0.240222880591791	0.26197572889166	0.40489180796612	0.199029852030862	0.340886009522512	0.525017790849581	0.601224170721912	0.673263309853518	0.511179803664218	0.5039849454357	0.560057030444375	0.602996787894728	0.594379398819911	1	0.880352627918485	0.906417143362666	0.390527551009188	0.381312099288285	0.439648579848638	0.3373787043767	0.584236717365009	0.682713805355828	0.637661004111985	0.23249155701406	0.26088629715845	0.201310806352946	0.0569880461276637	0.253628133067916	0.383970019414208	0.364491705069802	0.493383562079231	0.541945305072588	0.47402364546849	0.588478459531576	0.490444485107731	0.690510976197618	0.662192979908494	0.862820422303073
Pcer_001311	0.512425305202154	0.50902483958659	0.660913289682978	0.278037211309725	0.300732985529889	0.69202844704345	0.42297519011717	0.590048923608452	0.356687941447594	0.468449494320644	0.771039099503652	0.219276956644599	0.344916266034752	0.766672773608339	0.639268662833659	0.813868024178003	0.94145773955699	1	0.998782294281821	0.583582868748278	0.704536861394558	0.961348149180016	0.969721610380657	0.957488422798629	0.510194524606551	0.583893864560947	0.529628459617835	0.561422809363802	0.634759392246096	0.46314341230759	0.496359402641049	0.537941299879693	0.59694697502056	0.350974638994026	0.453201395815316	0	0.501287346569859	0.60211966295607	0.385008122298938	0.619866940714738	0.565820442232718	0.325266073585782	0.254734448778032	0.578950034797636	0.507651426365233	0.379682752477728
Pcer_001367	0.0679576262850147	0.0816649156210991	0.024924750092142	0.0786686020708727	0.026548728405427	0.0337914452217838	0.0210533976169788	0.0552811872149215	0.831684438350915	0.818620751475183	0.881748271473206	0.86798676373299	0.894341971780195	0.72945211241415	0.701025387556364	0.728671978557324	0.78319421179893	1	0.73798709656306	0.773639084898552	0.895638907308775	0.822486338766125	0.69606083896579	0.795594897582169	0.90643592687404	0.937691336059301	0.990894966303236	0.880434366231813	0.747888749456017	0.770366673771951	0.773577101489215	0.113738101212661	0.067331209187964	0.0261707414657437	0.0448596938164484	0.1832602173578	0.0124066005776392	0.0256191853283715	0	0.0732377433429154	0.0142797590435767	0.142797691697083	0.200972762762124	0.062974337805036	0.0864317246975149	0.0919515257755455
Pcer_001841	0	0.0756784186644457	0.242653010127207	0.284742427921704	0.203895919382183	0.0749426639202499	0.18035851568205	0.0833737525547879	0.640438585035486	0.56857179096191	0.870317408495462	0.732708173651212	0.786390093741989	0.901781739636399	1	0.63437096856363	0.520599960818264	0.484924520963281	0.407424625628924	0.574198401549937	0.845725250844049	0.456221630180941	0.666622647891313	0.490646971914861	0.820920075520742	0.640338835344369	0.686516914096163	0.7696848434163	0.532812228885308	0.560035203027276	0.834184472839443	0.276962272211528	0.186033530920162	0.0467445574123978	0.276833582629208	0.288672742625355	0.19754853609105	0.185327179194864	0.0640754614268477	0.548066439279078	0.668541282413708	0.655077735817111	0.390323429131364	0.674405301219096	0.570676649706529	0.491043132862107
Pcer_002028	0.253965410009588	0.197503477915357	0.032348313483441	0	0.0462964098905827	0.0730279300414287	0.0393348486095628	0.032759801587435	0.168995824128557	0.299883787780273	0.389011276576801	0.107270936260584	0.226644398575855	0.446354678049804	0.407131675579233	0.0915703834822823	0.22684405739308	0.895039028098801	0.124875735998529	0.311429785609831	0.0790763504615508	1	0.107405990796209	0.500320891273247	0.189456359901861	0.469617806259468	0.123837832531489	0.0374054351987455	0.0589132774017254	0.257021504813459	0.0560691726044926	0.484494849268964	0.474079161084675	0.551897219508472	0.253884348611394	0.240461446554677	0.169550382521306	0.0524949919891446	0.0482033643369347	0.329968089849062	0.225468168199009	0.0908873460130535	0.0551737392904794	0.623263019450071	0.282953206129141	0.232637955333596
Pcer_002410	0.0879963347272369	0.0762288549191415	0.147465529910589	0.09039483247068	0.155744676854698	0.242159768837197	0.184041893180703	0	0.531782083486487	0.510791974785097	0.450859309503828	0.515053594564818	0.534142190969801	0.482164132964008	0.535929980543844	0.580073808275326	1	0.965634202152184	0.922297935832678	0.944066216960527	0.864375204197662	0.982641429418823	0.936888559799685	0.933276482724586	0.755660540925739	0.842154876262787	0.599070727893116	0.760980369062041	0.85690085128004	0.795662238658014	0.735430416623012	0.293404810071697	0.0996552980833102	0.163456591439763	0.165341741490233	0.342043546567712	0.195075428662585	0.120622410282086	0.152645559623362	0.770875270495534	0.709443147687208	0.90116462975842	0.881513360723497	0.848833028771655	0.929586761769269	0.808971675233862
Pcer_004575	0	0.0531579818739424	0.095368272092057	0.237502474394181	0.210952921380601	0.618801648652419	0.47673440899383	0.345110982633798	0.412534307893307	0.220766476505356	0.290516751692507	0.852147464597239	0.712384329880091	0.93182290922848	1	0.895406577204816	0.498683938343641	0.423410432762626	0.487614631125135	0.882127024223612	0.846874726744543	0.877895767045677	0.685920692118327	0.899366059242541	0.502782467082278	0.617593565435112	0.214589259751281	0.571930168923563	0.577442275547138	0.524196838982358	0.563012701255674	0.000639960337284503	0.0312449189212108	0.0541957210019472	0.0311086297202943	0.431609261004911	0.2193902763406	0.210600146562588	0.204881327024266	0.153646696457193	0.184522619906951	0.863017940041955	0.821414623467687	0.688668965922192	0.8520765344861	0.805268169004569
Pcer_005272	0.890383465519562	0.471301518985802	0.722622026454359	0.187358533490581	0.0354834275347936	0.420870873306161	0.506259746544563	0.61974200719188	0.506423337111695	0.824985420959891	0.74773014368657	0.38242577228527	0.299587167543636	0.886865895796825	0.669467743856268	0.848135359216065	0.843504878858862	0.763898175123359	0.59960226183364	0.201622198098859	0.154175935635562	1	0.858532042732194	0.807896317302049	0.725562124372176	0.973084567215933	0.823320260918269	0.319652248520027	0.87162596963654	0.92289764654038	0.83430630863185	0.225000241288234	0.559070272546714	0.529089956574837	0	0.296303503608206	0.0727390409887394	0.3657032649512	0.328277261626988	0.555089710248108	0.523220514498085	0.551856341404156	0.357949238325424	0.790881226639697	0.561867767812596	0.614193238682979
Pcer_017156	0.380382030588778	0.302679893660748	0.345283838201987	0.481679807813934	0.421152326654751	0.548182826611522	0.610264834375883	0.677329110080241	0.346028568039626	0.53754963613683	0.753388241639062	0.485936119408854	0.559176102362843	0.924170887685147	0.766637472514935	0.92271237281228	0.407072251750747	0.795839344840775	0.464919244998205	0.51735464027196	0.400665270304789	0.843131301490088	0.557789002048205	0.879299686512239	0.727258795418386	0.717730623414584	0.922848403796642	0.90518514690117	0.886651963544811	0.784969318444941	0.712630941105353	0.204995289031882	0.748602438632172	0.471178803959566	0.594348185022926	0	0.492212544552107	0.484960138680902	0.458034014474334	0.646256248202529	0.72354787278858	0.653078037126166	0.75481497659993	1	0.941188700687661	0.891254287671184
Pcer_017505	0.0755268105163885	0.0606838343809847	0.282682454733406	0.06744305704865	0.25053156814302	0.183637102411202	0.105639058156046	0.09135634234234	0.3298268248378	0.0410168790251257	0.32725808604215	0.30891438292026	0.271641339298266	0.236493517062709	0.440191914032833	0.236352453322308	0.268933744829779	0.508140762688531	0.211014738945953	0.12785442463322	0.160218086427692	0.557578536004889	0.129554631029912	1	0.125980982350733	0.284447796681589	0.0684915519988659	0.0823601564503345	0.16814297480773	0.151394441042681	0.261921779357377	0	0.105072316501551	0.0283365885656223	0.116652484691718	0.353296720522756	0.206049293206181	0.134197880321285	0.0335836709304042	0.208970359550476	0.296710922378324	0.312120844791664	0.278709278246111	0.209676250592434	0.318507434869057	0.370269519116462
