27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_003060	0.242355917895681	0	0.0836832299702941	0.933461715520616	0.207833634619023	0.0687599932283723	0.92115938995173	0	0.998133441549997	0.976418851080675	0.971783798383223	0.166309452489805	0.28981748351983	0.590056070022946	0.964986781510142	0.250330522196711	0.957711158078527	0	0.137835888863233	0.253126471657693	0.187688750602263	0.882219211623823	0.267565330845267	0.918877676143498	0.167976185705873	0.457308398739851	0.979488294494079	0.125374884890716	0	0.15570480157699	0	0.926292880301566	0	0.287510137678013	0.926919474474927	0.0843342923139893	0.83601906742161	0.275746333059281	0.90282878109682	0.98160864054817	1	0.932655687662263	0	0.915733781470766	0.899608365074602	0
Pcer_003800	0	0	0	0.0313488504398182	0	0	0	0	0	0	0	1	0	0	0	0	0.0147419692876949	0.00309937224487704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0413498952684558	0	0	0	0	0	0	0	0	0.0262895668765594	0	0	0.0243725523396878	0
Pcer_005141	0.142833485646897	0.267217640425845	0.490150395860352	0.105188125816355	0.654499088309462	0.359115689445255	0.0620787992055957	0.0519133258810529	0.363045842071147	0.125950909466846	0.239699357019537	0.313563530061932	0.294866766418918	0.111551171671399	0.343059255069792	0.00816150810836202	0.0486216915004519	0	0.158672997313596	0.0166102817722235	0.158608250968617	0.19459296759262	0.431247598168246	0.349409213892175	0.122830808486291	0.567843869264446	0.298431803513728	1	0.288371056560179	0.306115652265947	0.0393493221966547	0.0460397699634074	0.0173017389219312	0.265985555543074	0.24508087823786	0.349950910079748	0.0429149055994593	0.149436453924381	0.172512796351695	0.0835183364784734	0.401973585389919	0.0268227457163273	0.208233636032381	0.207773836913169	0.155784764707757	0.112295037198462
Pcer_005193	0	0	0	0.923129650034308	0	0	0	0	0	0.821593538995207	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95131306774175	0.883633188431335	0.833286163044891	0	0	0	0.938306323171687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pcer_016662	0	0	0.745978064555054	0	1	0	0	0	0	0	0.587035337285431	0	0	0	0	0	0	0	0	0	0	0.947510309061924	0.213299017094636	0.215511089633419	0.400517359816443	0	0	0	0.974579033425684	0	0	0	0	0	0	0	0	0	0	0.656456533452896	0	0	0	0	0	0
Pcer_016708	0.351651912187665	0	0	0	0.76757544293333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.813279373134276	0	0	0	0	0	0
Pcer_017476	0.734737977671979	0.783409153605748	0.764809545482976	0.809474446575531	0.68858545290267	0.758594089013826	0.729339942207606	0	0.598958873815552	0.868177441156617	0.647551487102946	0.775999465970467	0.893316177398771	0.855679165762756	0.660702547172244	0.847852272610691	0.49581546476456	0.450234685554375	0.584887122214638	0.754031962995391	0.729673918131005	0.555521957691149	0.763995178953051	0.688334073537832	0.786972383854749	0.743810723161256	0.743046790944483	0.809829947139101	0.832995974229156	0.807138366664001	0.824103212515301	0.933410296362907	0.860322163762853	0.99037691403455	0.754829103186899	0	0	0.9398291703306	0.752055617126791	0.678271889502502	0.692190604062843	0.824026525703698	0.819277388212422	0.979649218957959	1	0.842838929436367
Pcer_018085	0.69554108315686	0.768020114307068	0.779972947015328	0.839590690050207	0.780235366629011	0.68773420231246	0.73902959878436	0.690940103000264	0.664693880138633	0.593526464183914	0.76283303250063	0.612013120683509	0.781354999041151	0.696656967337494	0.7055875575265	0.76782110148852	0.897025543300173	0.909770855519535	1	0.825757613616411	0.86406924095236	0.77164235263891	0.685671962548237	0.761977137561022	0.842737116311221	0	0.692259722894087	0.882039001611718	0.693676593314392	0.692055394083662	0.677265711275681	0.78166456811761	0.728835585331436	0.873325326874347	0	0.943610163420974	0.751735713730847	0.79805186267322	0.750508762328655	0.664493076097554	0.800772890765742	0.854070573136243	0.752464184529522	0.696643531137773	0.770731847148618	0.760713252995771
Pcer_018706	0.212122065328864	0.258209822090432	0.352300961331265	1	0.254220571932354	0.325350297832094	0.352601898436016	0.532910602231013	0.12223378790489	0.104578760084819	0.284146874467327	0.14306617553498	0.250625426691034	0.151216316797455	0.262434307648455	0.176587777716267	0.313521711563342	0.285810873711236	0.341326978373882	0.0870125291179055	0.106819290616808	0.261928665237793	0.225711192205732	0.156602352724862	0.182066432467265	0.220241335818312	0.0599809444202277	0.0789130039209809	0.233525134273967	0.372470772733056	0.342401248903267	0.0697355957529652	0.237477633912752	0.0463327304020412	0.496419401584486	0.329047266169098	0.224904362461565	0.330952347769213	0	0.0318305054094866	0.220562732502377	0.133009375036117	0.086539962351633	0.113806436365726	0.261297849716351	0.335533924101759
Pcer_023267	0.123893925700407	0.217744783246763	0.119239891075471	0.423947725736516	0.517415840910592	0.136898327910073	0.256316284704334	0.304390691235792	0.297619201009001	0.390650795932105	0.272201370145376	0.267443252457552	0.561303194855607	0.36133913307566	0.172515877087242	0.179575200612338	0.142914813176298	0.0542543746896081	0.104289873649998	0.198210128006945	0.345200102290518	0.55148675277064	0.254716745756652	0.141778463710884	0.257356847978465	1	0.244236927031286	0.195689427376546	0	0.193864959256662	0.222964408231896	0.326411037255203	0.339810269635356	0.104846521865705	0.33197539843558	0.479297673168013	0.317286701330048	0.16368743461693	0.493488758625227	0.16011386297217	0.34423168270898	0.395902489825311	0.285824719737353	0.651373166558876	0.3278378350842	0.475446173896496
