27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_097451	0.141478358190828	0.152868759582926	0.0168294603228593	0.143292186326621	0.14729304408595	0.155026292677828	0.0506813198629146	0.11547625819642	0.175174749242005	0.411353632297474	0.0750007259225682	0.305169205649171	0.237519056889064	0.220697841017256	0.401110123913912	0.307288711970632	0.754935239832425	0.705364653827359	0.829568585306019	0.893783483027012	1	0.686561537003187	0.837991744579709	0.736473170019188	0.785054666391113	0.77180226363096	0.738034096539106	0.8993033077468	0.679693667683251	0.743507840670158	0.807352511876057	0.176480908658962	0.0211080757229914	0.0343919642224453	0.0758068048910133	0.124511071886383	0.0118263481634288	0.00834300142897126	0	0.622091141661863	0.800659734722036	0.92023144253937	0.756044005746688	0.659797457540978	0.679602551919353	0.589853032914157
Pcer_000050	0.313672157840137	0.581157194939524	0.43471807046244	0.603657781274813	0.148469656916317	0.326271910665223	0.47257823145201	0.150938775243471	0.0675099291239563	0.3054633959905	0.227106735433765	0.0696328088513906	0.476295045572399	0.399487200266519	0.262924515937948	0.66499241146844	0.1813361440289	0.31119675124789	0.477740074758146	0.276074013133108	0.417995364393992	0.774162510898694	0.679399280112588	0.636907063069293	0.61336682355022	0.668569470209565	0.852143120766023	0.846247809913534	0.779831136025302	0.961435142202472	0.734043952753642	0.330180293190797	0.290408272848233	0	0.430831766380833	0.156292864508191	0.470355871529007	0.354627561628339	0.261535095014776	0.563819795154964	0.955550923588849	1	0.733889787031774	0.86148627720747	0.564372092835882	0.782054928902548
Pcer_000252	0.344196942374315	0.139226054252642	0.221374135541505	0.260676678311599	0.119221317510097	0.399489499913785	0.305632804475154	0.280453996941308	0.079484981873284	0.212851948856804	0.114084577812329	0.172052345779338	0.217566738260867	0.0996793308361074	0.194698244471251	0.272160022938601	0.237265432344191	0.98111796343211	0.109509990931633	0.155288728306383	0.834397647527724	0.319746987499729	0.134183094570124	1	0.314590408532337	0.19233042391407	0.195431212883375	0.0519177043696598	0.298440439651802	0.233363636398776	0.327543749216645	0.043181712261694	0.263400523541412	0.0519485139454183	0.125839271383769	0	0.38024581087668	0.376035480613454	0.305716714769027	0.0952046675754193	0.383596042526482	0.14290291840418	0.0980472982606331	0.377287390315866	0.37178228567534	0.407801625148435
Pcer_000253	0.423114171363697	0.187143397537927	0.3584410602419	0.283581615473644	0.114186853562528	0.480989158825053	0.444238460708103	0.438601147199062	0.166600761012657	0.252309350353346	0.144268268631453	0.154442603722601	0.213640457570698	0.104849010619507	0.341049800657974	0.214140603136214	0.193676939771392	0.984821488195841	0.174479039218854	0.164143616049871	0.808044049679459	0.299662839485282	0.163085293249564	1	0.404882760457512	0.310699499881818	0.440724598854646	0.187192352314005	0.442391300168143	0.318176145422962	0.420699526839405	0.108295594923678	0.449298141305856	0.0387944292525489	0.20941927976592	0	0.475059138753953	0.328740494176116	0.322015544146038	0.307127111717254	0.489453530608643	0.37569993907185	0.13136255284026	0.509165526284111	0.541111881181144	0.557348351522649
Pcer_000304	0.649427708813881	0.450970384466949	0.750401062877833	0.405922562092513	0.461909570310819	0.146310760518064	0.138705377278714	0.280011277521756	0.469534663974687	0.144649321377812	0.637279302451928	0.478152617524062	0.435932037872446	0.446856476876729	0.240770626993951	0.276692070516208	0.626743308055659	1	0.895572563648064	0.456335825575824	0.579538270884582	0.538363357612407	0.4692523253661	0.832840866747357	0.785941427987491	0.920177703632707	0.970662550045017	0.82604505145301	0.222020775424534	0.335850194678394	0.472475749455479	0.0480346253242187	0.210147549500941	0.282730667865172	0	0.326566926984778	0.309913674565247	0.191099476012353	0.242669854854775	0.603073271205413	0.380807499886858	0.718740548816464	0.304020320504838	0.221648353825705	0.34182349680279	0.672078215314847
Pcer_000597	0.581018460469953	0.3258356232774	0.49022491725321	0.189065045709665	0.180072912031639	0.423050709987226	0.319433627427783	0.326062092538271	0.516112259848623	0.688862646475795	0.316123021688011	0.311036534194303	0.252652915147182	0.163944795286659	0	0.0510018787810812	1	0.92482794683701	0.896022255571666	0.850725677880156	0.720338916973208	0.947774439422742	0.797882937899453	0.812141622998741	0.592349955113139	0.533416949746962	0.459639572456364	0.238154743703579	0.412024329063489	0.251969710549449	0.388700606633171	0.484499269626248	0.719400076647185	0.326441767109689	0.280634512303314	0.186554464006899	0.249517321493744	0.408309132532388	0.314295626514511	0.435631805739534	0.466054216953331	0.194529265423806	0.246678934056261	0.339579467523917	0.288584940545122	0.280957825743674
Pcer_000992	0.173226392301557	0.027647009488705	0.0141859747891913	0.0859099770398516	0.142272265910304	0.0254906825268122	0.0299420320673273	0	0.0120544475594029	0.000893432953366303	0.0298093924081302	0.039903911916083	0.0480790640106048	0.00201467993880273	0.0350346617181536	0.024283259976435	0.78216371184926	0.952973679838159	0.816222419308023	0.640773939018971	0.782364777677971	1	0.856777436033806	0.927162590460358	0.0109508258191091	0.017694689621414	0.0521315813997174	0.0229799876384329	0.061225630019976	0.012480583448903	0.0324661558715621	0.0201541204768853	0.00343802642886201	0.000927426168760912	0.0617541669921726	0.039652913982327	0.105152316383398	0.0255484436718844	0.00105044090621214	0.0272309951978944	0.0608489473265317	0.0810930301230384	0.0832472158504048	0.0270484767908089	0.0137203759246929	0.0740057845119673
Pcer_001070	0.106627331433196	0.0718997593725973	0.0898797083461388	0.0637969871340101	0.148426120199644	0.188113893641979	0.152924818638826	0.239705619819326	0.0232458010367611	0.05111659746108	0.043577593072357	0.0633921121536089	0.0567311687683115	0.11885151524646	0.0510646571371999	0.0775588479669451	0.909596168546932	1	0.819164651330175	0.970127741209831	0.99003507099572	0.886115158373272	0.88773331579325	0.959606249117324	0.196791305428238	0.0900183411784539	0.161445816366345	0.069846696098625	0.120839299227862	0.0645521696774568	0.0542162420966425	0.0599205685246177	0.104926626516296	0.196014716125291	0.0204688849233233	0.12672015074107	0.0534440762614461	0.0692519207426325	0	0.115172064596598	0.157822120294048	0.00994576077095972	0.0289505275400154	0.23934568304676	0.215904129897154	0.0991962210232266
Pcer_001094	0.0748007201547602	0	0.0180579091730055	0.156378485958737	0.0173267582484165	0.0634250204092923	0.139510211885985	0.0219581547799886	0.177643404615107	0.0244719368112582	0.0321107830931468	0.257103159556529	0.101813513536549	0.339716012488074	0.187181660686062	0.210175849004256	0.659719039785214	0.735603167128753	0.645705627392058	0.768587794808225	0.451011159477984	1	0.642807516627762	0.785134757639746	0.176548805874011	0.152033507190342	0.550772721580271	0.433979297477585	0.490605738725548	0.510357248747118	0.458085644830152	0.116606756180317	0.145655559173009	0.265710107630512	0.062267801158064	0.187101893368854	0.140558242366712	0.295202533389734	0.302343853155396	0.0496425135724617	0.0465187790562739	0.267413758840085	0.181942979755105	0.366199087545739	0.278686048057393	0.366805465533217
Pcer_001655	0.274029977734667	0.221181496570351	0.194268052853761	0.190146124805856	0	0.31973987195797	0.336454191112414	0.485192546475163	0.274863100613501	0.258990826067955	0.309719847820252	0.218664879001833	0.29731595173242	0.409483858786497	0.386589647136494	0.27166085115562	0.65920066234549	0.545756124911807	0.667058244894043	0.453925357848225	0.414986328520743	0.719065502335443	0.618106496658788	0.460252310435249	0.938830696295967	0.980274963064878	0.903537793507294	0.755532221233922	0.916321033768644	0.78295765612285	1	0.495546733626319	0.369023216616997	0.29857458341245	0.41840853476857	0.639837033212661	0.644282539157373	0.621084500474832	0.39354373829438	0.774225907707816	0.495808205732098	0.62555879007991	0.510730828185042	0.610769711297782	0.7981474578114	0.803353335069299
Pcer_002411	0.170884788079452	0.166865719975175	0.162573721257069	0.189288253604247	0.168580655233674	0.23868190288803	0.249317227428179	0	0.497385014892069	0.46401811158497	0.360987189897493	0.496900865419096	0.433508512163057	0.434015981367695	0.420412808102774	0.481778275958503	0.926454005318154	1	0.917166973517763	0.882497437946665	0.886316352438125	0.939407820318684	0.867113955876918	0.886492328516872	0.8000034943974	0.87963662207513	0.795109951589865	0.830778099239388	0.841031017233669	0.904398444128259	0.845181442208539	0.218338532757859	0.152476999943427	0.212294486367393	0.184908975752044	0.227672851851078	0.174831220670592	0.203366957227345	0.25529053060925	0.797545764305882	0.808135793981997	0.855950767739996	0.778448484046278	0.901895083850523	0.921595359183312	0.864288270467062
Pcer_002434	0.207780115206574	0.0651656596594608	0.174208180177651	0.0268486209933961	0.0462690575019273	0.00632259843611004	0.0803733406760718	0.0714225080277046	0.283581695903251	0.15854411049504	0.475020904929978	0.0496904398707228	0.210511711295213	0.314278791262659	0.0582549951151283	0.134159432825447	0.625371466932374	1	0.573801736469591	0.12547579185727	0.166858037444039	0.960906340800513	0.216107171953391	0.274071277868413	0.41339101808657	0.688704374110022	0.338137205029117	0.33187712579515	0.231345970050053	0.197585210536834	0.0964351211019592	0.485517520042326	0.460144596863053	0.305159359453085	0.0630430493783871	0.122578923528176	0.074317660402191	0.0107350856705445	0	0.299730538869623	0.435883163102168	0.0150973467965171	0.0109048160420105	0.448756627444624	0.13052351317852	0.0895269629123816
Pcer_002551	0.42527082597384	0.643960553612211	0.314093587766876	0.764515533240884	0.464616807800001	0.545122860654704	0.642494610921836	0.246824320165376	0.315649463304172	0.278069569315483	0.25505827198412	0.583487488005893	0.722821381098517	0.213984505638568	0.299393120736279	0.500604676879015	0.439650277146761	0.252258583006374	0.517447516888433	0.253255448762015	0.656371775153163	0.618165978013792	0.917125666457915	0.649232400206581	0.51895837530202	0.498430191610156	0.539932367717425	0	0.962797203805706	0.459783326768795	0.669436205708501	1	0.405865582437844	0.745388873263749	0.154593076266771	0.559861999991004	0.426912542279925	0.106030146037473	0.244867986096988	0.450443066947527	0.626786690359347	0.407954698164062	0.326893416680295	0.822109608914229	0.777549435301885	0.597336027999203
Pcer_002577	0.161774374939562	0.10068579973155	0.0900060636644252	0.0670663037498993	0.132812158031895	0.292839780820467	0.239317370210393	0.218097940527872	0.259165669439975	0.295581711419715	0.520447585287447	0.31542017774856	0.311685463910328	0.618362832349511	0.474161803331613	0.394432387607009	0.415277613325008	1	0.373833146468585	0.135860291345931	0.306112183037429	0.278146211699519	0.262485240770163	0.616309291385093	0.292633451041643	0.322018592192695	0.212173208110242	0.0175908179950105	0.273027894657213	0.205965672147242	0.245436492486831	0.0885134327101438	0.272916891097886	0.291406874701687	0.102036637517686	0	0.174471118954022	0.29783268544588	0.359406589178821	0.368801455354618	0.396234263750836	0.0636761744623663	0.189713122279399	0.254598733248676	0.246749332068542	0.114393301559405
Pcer_004511	0.306479595026011	0.298228289731389	0.251596998177769	0.174378770691274	0.238000537092872	0.257497169538751	0.226042065949085	0.39086249124075	0.216103641117648	0.415511411613366	0.20088685422557	0.169677398985122	0.136557679146981	0.431715378466893	0.267244249502844	0.21770046821356	0.42711643916756	0.226796850334293	0.360650964276908	0.401448248715819	0.257492842919462	0.711000947291008	0.386229339404518	0.421436238955463	0.239438502980884	1	0.0625785316722751	0.422541146110873	0.14927177078868	0.210548554718837	0.113998576595766	0.275839630002148	0.174054893998589	0.216714027355167	0.260665055715494	0.0801827648849288	0.235963467997228	0.117916955912944	0	0.281066093624595	0.361854658538682	0.362251273420439	0.308200265902266	0.446324729211986	0.327245801480813	0.332504696306244
Pcer_004853	0.114454852295285	0.081429897178401	0	0.202666142842339	0.113935829077291	0.332910201430138	0.144067219074756	0.198641584890361	0.105225312043129	0.292994126833619	0.0626306775718795	0.226452369408065	0.00792333123170951	0.399991180851554	0.482858434736474	0.208222224817103	0.0777974317503345	0.321000782682082	0.0813426652494654	0.361991870088933	0.480038414777457	0.866086190219394	0.507484236771921	0.556223481540845	0.19806757084339	1	0.191614288190147	0.273111528339242	0.286370654938769	0.360857409011417	0.285589587381494	0.318715287604523	0.0950623314647889	0.218666278936674	0.178414296372889	0.471946200029065	0.307788367228376	0.184333644414657	0.313640968176074	0.179285836699632	0.304739542457872	0.544086866775621	0.365839568592003	0.406321699810411	0.367719127116078	0.550477178003379
