27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_000272	0.847705186281661	0.44560165553701	0.606263153082817	0.221797399122674	0.292637743152648	0.104503651587081	0	0.50725564193819	0.971528483513517	0.646848691744743	1	0.486934975713683	0.277164757756366	0.523360923832046	0.788246268608985	0.627797865486145	0.323424882593428	0.240080657224133	0.51021746730092	0.214506553177939	0.0207551191636171	0.0743322054042994	0.253816253720085	0.370190826332306	0.828278603076348	0.86031720100765	0.868064752173973	0.708966998248071	0.630435634792626	0.455163271543639	0.601037080377833	0.843245091890803	0.873896959744848	0.999375327502159	0.709262980492225	0.847992043195905	0.553298971011567	0.758202147806485	0.433297448640929	0.874670997050275	0.882594043751304	0.563671896534775	0.499162999633951	0.619383651476033	0.720456648413395	0.73914138184451
Pcer_000417	0.0146720201677868	0.0110346515285423	0	0	0	0	0.0103096278933557	0.00649379997424225	0.539867926058973	0.437060557115798	0.548287524848147	0.568039593177601	0.47811999838513	0.595990587836546	0.67190179065983	0.665915195595771	0.00664010443315115	0	0.0151060662707554	0	0	0.0209148510907845	0	0	0.594667048111003	0.397270470873302	0.611376449069668	0.460648134044003	0.44444265097495	0.519603687829388	0.511836930568354	0.426539538620202	0.705538348362974	0.710351483017795	0.64849334540592	0.686377862946969	0.852492939648563	1	0.955178255925678	0.57814929935657	0.472834944366128	0.364703934264974	0.499064040954428	0.506663907784047	0.601897092312668	0.548858938206819
Pcer_000427	0.181724017735975	0.148928452385597	0.119150696718962	0.244943440765639	0.345826176548835	0.538683785977313	0.545763157717617	0.449660274840361	0.624385761149976	0.644902698252318	0.595221938756068	0.698694737541335	0.6946581109498	0.827179712155295	0.901259674247793	0.838815597198691	0.0880548669677888	0.101988861839265	0	0.222273604642432	0.189782960415522	0.264158117711511	0.428931227243837	0.354895893695214	0.43204665164397	0.502219160851061	0.491805991497526	0.448660103552052	0.910071587621027	0.77417527304211	0.748553262021816	0.801443769179033	0.746561198012384	0.639279421288955	0.866167710359309	0.765083524013525	0.954577888702378	1	0.982488279458096	0.42484907793247	0.405759048480703	0.508249221340578	0.519196157693792	0.693742963487374	0.639233926801298	0.685684922630559
Pcer_000678	0.31037545850838	0.309738753804244	0.220406599636867	0.373821562494333	0.220709302083775	0.382387139922778	0.379834573147481	0.386620919482173	0.767244738124389	0.719189178594406	0.609548510358524	0.976990760652586	0.915568047726573	1	0.875112328076799	0.880670021660476	0.0823091172197199	0.0562367689537414	0	0.135477319658149	0.172445131863345	0.184074490232785	0.203769574376205	0.109170573779711	0.619859006916984	0.584899213214053	0.580270710388358	0.774280753736974	0.851411923695228	0.807623462191667	0.894467636919039	0.745750252055325	0.810736906523596	0.635682711345406	0.771094408493686	0.803929836391377	0.955294890254996	0.927338205630829	0.915909454894882	0.664367082237136	0.587733551149624	0.877867112418773	0.817521078039471	0.989325768052945	0.818829829439877	0.842885900900054
Pcer_002018	0.586420510460598	0.338870925394229	0.500083722718555	0.326073651230351	0.303044425261648	0.208963145024317	0.213251530632542	0.195224956084349	0.889493159697464	1	0.909981681563653	0.80322157067111	0.746742465167231	0.317860336502152	0.383269475026135	0.281623192663813	0.683619261307064	0.396430056722234	0.596183700445899	0.270926610763858	0.349026536893928	0	0.356326896231776	0.158339344190217	0.712588941651134	0.87607105747662	0.530445083111248	0.599180144294775	0.619092454229831	0.673397958601584	0.590727683940696	0.787316726337465	0.629873956768026	0.491673016398332	0.798557487109615	0.715517104990635	0.438148972272856	0.32294249681177	0.300796843938441	0.600265206075501	0.502446683570901	0.5680274372417	0.598163660298655	0.503637983822598	0.381356361410564	0.189217059269268
Pcer_002089	0.000581186333843703	0.000691403662138591	0.0338484824819906	0.00224301399521659	0	0.000572707010905039	0.000739909964686352	0.000531250348662553	0.902816508103546	0.755535982365597	0.705616522162051	0.816555732499771	0.813186048743928	0.867297038343207	1	0.862860336592949	0.435042745638327	0.325197311434613	0.415693570561325	0.452552968319815	0.393891453513439	0.35581785471849	0.359385470070177	0.427231088087963	0.41454556858476	0.336746035172431	0.331077736592193	0.531862753429956	0.443007828920248	0.399294200886077	0.459256927436724	0.875320556973347	0.754744649381993	0.87553232704668	0.803094246492359	0.859554282832212	0.838854275542752	0.876331817287383	0.86056344449842	0.908134390810407	0.801414037867082	0.924956136708685	0.968355940485557	0.964020333924279	0.990245264591441	0.969516114188002
Pcer_002903	0.38845091138776	0	0.287133653521558	0.0979938003419134	0.0506957464580152	0.344517775481785	0.427151802621377	0.337549754788693	0.478917444650172	0.535185371668127	0.4110096072138	0.521453283353897	0.358820457976803	0.545262858721401	0.664838187566139	0.665203454888459	0.0429291210347312	0.129552113576545	0.217283954506808	0.0618355623018374	0.103058675957397	0.176740614957346	0.274564367923938	0.133265980537054	0.135069901079912	0.00274830804604244	0.223473085974173	0.116784412510252	0.303741695884405	0.223119058824556	0.319312648282628	0.432813092989543	0.526636300818222	0.736619132264313	0.346435523139286	0.685426906473231	0.745449555940952	0.660182125457158	0.64756074859546	0.478020675194731	0.765559047012441	0.796171741100474	1	0.890996861133741	0.891275886790939	0.912076771105125
Pcer_002959	0.0797127668161319	0.177108035256431	0.0532611752847335	0.0935094541657698	0.0891982452798383	0.190739934644529	0.0753405917179139	0.0630888274543157	0.78434132825726	0.788522256427701	0.836944255415777	0.888932090573985	0.755312387576682	0.828325556582079	0.69611540785325	0.872773503155346	0.0661375586755202	0.0170950582170586	0.104534631822406	0.0704899015764844	0.0593159430394069	0.0551316276750222	0.090110522221478	0	0.0807244408052136	0.331396196288182	0.100504981583014	0.106090277139286	0.0394942363600253	0.140480126057814	0.112678805324897	0.965486965842494	0.870034505797954	0.90220142452432	0.904151179145417	0.964202392964363	0.952605245277145	1	0.792699079022161	0.841418702766741	0.944817398739688	0.821489374355487	0.781618076181616	0.844723948565563	0.85724142946698	0.742309550879555
Pcer_003236	0.0139420564706636	0.0240445845407629	0.0173342607511677	0	0.0329939052135653	0.00153910581839533	0.0450767202393335	0.00249739775243948	0.785470790154813	0.778443797485734	0.738318214628146	0.835857888043165	0.725405255285945	0.797800616396911	0.855054153570695	0.769047846188718	0.394494957304334	0.356657001669811	0.241908746343712	0.40846208024063	0.309668494396853	0.366629610655592	0.30527946291291	0.431559871289416	0.581310389629188	0.578984708663497	0.24427500707679	0.210640930034079	0.39564302180336	0.226202165823535	0.529877171179221	0.750386424340248	0.69935394913194	0.782866747408506	0.721438343567597	0.738682413435685	0.771331485853707	0.849900617714724	0.712610804420164	0.933837228096883	0.908319356713481	1	0.779985154004198	0.856268718972966	0.847035874323561	0.988060815474853
Pcer_003313	0.153473075904944	0.184304026699778	0.00563408919597686	0.287138675616554	0.134968627576411	0.102667454297066	0.0379570083409326	0	0.616006285653694	0.471606821867924	0.448266765473357	0.735248655477832	0.859749010057039	0.35496720905689	0.309876889545876	0.331435558506236	0.172458852758101	0.173735640569777	0.154596104500497	0.187819722696146	0.192217181965272	0.257588016658696	0.161242000605447	0.171586223879869	0.224751986791351	0.117450784309817	0.126645759934606	0.145788856116895	0.283313477117623	0.242372699835926	0.22906255438646	0.644416601864433	0.425027395931788	0.520043097744888	0.230082131140077	0.887149584929108	0.265626818188027	0.348135978303079	0.321592967250523	0.482825102788985	0.42074617880937	0.753834885029439	1	0.61219526040005	0.611501058070154	0.471102199540868
