27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_000089	0.600087471443478	0.573842644858159	0.625812690813795	0.651117919513737	0.603669151571304	0.541757875168949	0.56550515461945	0.56303922208932	0.552018754935385	0.654419024106162	0.611524120513711	0.624934241310936	0.636026709084592	0.726404882422512	0.650576066381417	0.659944396079019	0.0315152431338044	0.0515653176049092	0.0300254596243362	0	0.0547640076747895	0.11695849195757	0.203887407763691	0.166961051766196	0.939133097892781	0.926520807759395	0.932133912891304	0.903922091366123	0.898970858435971	1	0.975930192925652	0.867458639157673	0.815270476522358	0.81587700364079	0.830837786297859	0.849025468598018	0.919616446773448	0.935527135835308	0.854775484300274	0.800201975196927	0.866024098579529	0.937333130494299	0.864360554511632	0.908275927424125	0.939853890559454	0.897838857589588
Pcer_000162	0.542014769215278	0.563896798543457	0.578420847300929	0.873298476580718	0.876047579238007	1	0.978435024884053	0.924603606720587	0.613140058915889	0.537936581509714	0.613788059080439	0.841323712623711	0.788111030523021	0.826581873519499	0.869682537661639	0.869273615725895	0.0506767626774181	0.144375901112797	0	0.114432827106563	0.104094469604457	0.158970921554888	0.0334733419501799	0.0893645891479927	0.606625535993315	0.603070500645769	0.510515678126471	0.874037569354413	0.997530360361952	0.993176566839704	0.911706515342062	0.718087484850175	0.57585182907229	0.800921338412765	0.774671064141429	0.832849708657732	0.862829331148919	0.874874501691573	0.863371235912725	0.742144927037523	0.726828652010745	0.909963763121736	0.83093484055959	0.953213967414346	0.91443711809206	0.925274844507079
Pcer_000163	0.519603571329943	0.567180426613674	0.528120794929808	0.788363107084376	0.822398405835102	0.934636140817087	0.899970094299327	0.887077740449917	0.607962398475654	0.520940413852614	0.595516909285787	0.78027716576032	0.774355317950152	0.82448409048808	0.807016822721566	0.847110941429468	0	0.0508400046976151	0.0580678461089375	0.122388822642668	0.125269583232163	0.0676061148410762	0	0.126152046049038	0.714718372635518	0.724799312580702	0.59615860364129	0.932023672196893	1	0.95151210885674	0.891994481603956	0.673507749019512	0.56704397215145	0.716536148247501	0.72809699294807	0.823996815975897	0.860764255294186	0.836676061850689	0.844645102246279	0.806344697522102	0.781866449615923	0.975026727041878	0.937926473151561	0.96240284583181	0.914961697757966	0.950653265380276
Pcer_000228	0.503006559638983	0.628289589311714	0.523660209945389	0.793797249607125	0.72697659240762	0.514631372769607	0.464409102163212	0.473853387284789	0.571683819273982	0.551863988296717	0.511630376553287	0.733629959828275	0.851555402316024	0.579758148903892	0.511797182257928	0.498933790785463	0	0.00370923453700901	0.00629392341349993	0.0115021314360699	0.0288827678088292	0	0.0317033009949115	0.0751615724932383	0.737632174547868	0.7722002124499	0.888546606394384	0.857168609123843	0.746535522734244	0.698648203182586	0.652097877015575	0.790742228015639	0.752772126857844	0.813245299028113	0.875569054214663	1	0.659492445476715	0.665243711787671	0.589582340422383	0.755447694681281	0.643877534681902	0.872327824431545	0.973434539441276	0.715970577200664	0.697427560647349	0.674270697949669
Pcer_000289	0.962508021202876	0.835517603837662	0.86578614517589	0.852595559015423	0.889081648175716	0.912379383116873	0.877810659803088	0.847467859088555	0.547999013039801	0.623601302334432	0.37374363808609	0.449924896093826	0.41278393287638	0.129752810967851	0.205316697437306	0.208656693525572	0.422109571996314	0.366256573690593	0.399379915066284	0.196629448695989	0.337203509072672	0.109003651628241	0	0.212505719189715	0.962003931709793	0.97687034747125	0.96947014629921	0.824309533730765	1	0.960075696133591	0.923070341640519	0.61027782900823	0.477556468599074	0.478000971379684	0.170227515919254	0.43297797156689	0.24713370920722	0.340361777799332	0.358590212435904	0.951358006277161	0.936336192048332	0.895539759960294	0.946270447130053	0.892602672753744	0.88447241198329	0.842887130553506
Pcer_000335	0.927519111946237	0.122012075333035	0.3532377474869	0.250993839471107	0.09396981998123	0.295118310358225	0.27092953392857	1	0.342380828405499	0.180542421478583	0.213415627501566	0.352974062969333	0.287323241463232	0.376774271424251	0.320072249336212	0.449213561614554	0.113416969439135	0.114156596573246	0.233089943098414	0.0919364908906539	0.360198655760693	0.151959892970334	0.157940671560051	0.422893926302429	0.19845488925763	0.296155969656085	0.125298642346647	0.00803682992654704	0.188366735705984	0.102876197625149	0.293992212204332	0.144837575248054	0.316780606972004	0.933776332808739	0.154278741332427	0.460278722699182	0	0.070225018387968	0.0475611681055956	0.14469984461444	0.332949063575165	0.270770874131367	0.0690758897884043	0.277809282492479	0.154437170428009	0.18793779864493
Pcer_000337	0.492115241313349	0.534710161593833	0.46572330539349	0.56370243577591	0.442449354963792	0.61336418625668	0.623133483671733	0.642924372016975	0.62819305162176	0.651809951684703	0.502888881010445	0.675412643593735	0.515782101137736	0.699968503701452	0.656000723589144	0.671766656720373	0.0269805457470233	0.0388574276321835	0	0.029562147714311	0.10947473819981	0.155484382353402	0.116615877480867	0.163364814795994	0.851965591355713	0.809315217494119	0.859530361055243	0.917402723700723	0.928106372708927	0.960232043562076	0.961305440375046	0.845571058743645	0.837055801500993	0.793367576650307	0.839508879718739	0.922181746893354	1	0.935624456275395	0.992214646823594	0.734551684384191	0.7126370663916	0.824440190283854	0.889230563357478	0.96709930879276	0.917016910076301	0.944840106597798
Pcer_000398	0.444654098784108	0.36804037424112	0.326146044439844	0.476627974193495	0.610136660041632	0.439052541425196	0.534633378299966	0.542345877062162	0.387890552517521	0.428207756313107	0.803619712455941	0.346063063028872	0.679241858470497	0.526755434178523	0.44070809792197	0.683300478140676	0.357376649549849	0.470092272606263	0	0	0.629769931317079	0.793410992275601	0	0.59749622569396	0.482953185588417	0.619903103373263	0.39068468502112	0.795242869644668	0.491812564179427	0.638955325715962	0.570250577454047	0.458716924177371	0.347067633966812	0	0.72406870356608	0.476119306116255	0.57568464874076	0.439291195436051	0.56557353031678	0.543831251005742	0.817397060878457	0.817278741526399	1	0.748787557154332	0.56492800412089	0.832322916888537
Pcer_000476	0.588443873694623	0.687033748910006	0.519185263016955	0.76664156037255	0.605369268135598	0.530691008640333	0.557023225381458	0.40179774076707	0.554669182455384	0.539693867918545	0.56025753485948	0.607252280007736	0.673333272516135	0.496435838770653	0.528422265332194	0.532484586897527	0.0487812109847845	0.0551883171186653	0.0557029995339578	0.0460883410696043	0	0.0574273335217116	0.125986668724063	0.0334875248510973	0.89791444959929	0.863934979579916	0.876701871284381	0.866912445578611	0.803183004903879	0.833900096720315	0.840083960671009	0.893517798778945	0.873455521062163	0.869313469295607	0.88091085035488	0.906169744842724	0.843161696929839	0.815695733487607	0.797493004885111	0.884285942304136	0.822939344299304	0.909596224369714	1	0.838178469266804	0.848811806456073	0.905476229992498
Pcer_000522	0.703053556239552	0.51968028232033	0.606071495928698	0.367776685634238	0.540838444354922	0.42825099438853	0.465377511620225	0.473335599135494	0.645186472700306	0.744629942147953	0.724984509126177	0.737759773627143	0.645825113105229	0.685810156885324	0.530800555647893	0.552917823020513	0.315809710434724	0	0.259083774987413	0.236697997498804	0.0343054015409769	0.0925142665264167	0.234695057798071	0.128794927764959	0.80708929324863	0.814382019505754	0.503215691791528	0.593471184011331	0.405088970208785	0.59827774393261	0.492836715749807	0.951797542923658	0.954871654825023	1	0.876281524765179	0.941510908852752	0.594032444775497	0.633937325539702	0.613115145136058	0.808787427197677	0.780364238778053	0.963274210054478	0.972191134827839	0.651659282960719	0.578791669544309	0.577621917502288
Pcer_000637	0.725073390651382	0.551278950186304	0.484153738291499	0.960314861212895	0.800075190969644	0.713920526205072	0.747853022074065	0.789253234549273	0.00217674703310315	0.00168944372147355	0.00994449348125869	0.0235270545927893	0.0207652516038293	0.00627933944251331	0.0185355783364533	0.0401251276492614	0.00718969308234286	0.00473406017599865	0	0.084679296594626	0.0154291817951798	0.0412697902853162	0.00210781041782098	0.0531389760207243	0.448013001970286	0.485951119051246	0.851728729067056	0.650499742467607	0.741940475627878	0.824742742807152	0.788797792353606	0.133420605472892	0.294882578489967	0.420226266121611	0.420193020239731	0.285333710194503	0.566812330719281	0.566744291581535	0.568735453424101	0.652811424092173	0.460439622865956	0.647135795011549	0.715099485132597	0.829937925380506	0.913699294442196	1
Pcer_000964	0.516501704410535	0.180542690619214	0.0788258655361896	0.451604012356889	0.290585164539402	0.558448424629535	0.614818527061141	0.51478871166347	0.676368818413119	0.515788707413821	0.495670424024861	0.834524554917159	0.365276359863537	0.505890457190625	0.327014286453284	0.443047900384922	0	0.00820081162096402	0.0261750223001981	0.118949513464994	0.0244941886322502	0.256407985096845	0.0557173806134922	0.0203521137003402	0.690437098543036	0.745892103848764	0.774792225418767	0.7321121434647	0.930457930686492	0.974652709983076	0.87481586870653	0.79278445798642	0.119849106023936	0.613233464860707	0.168630296508292	1	0.559959355763028	0.555550044526027	0.574673925836601	0.193485707890276	0.100791032085262	0.30148979680836	0.250830122689662	0.635769940491564	0.533493825082001	0.599844644345731
Pcer_000988	0.348543446833939	0.252645571472212	0.321405838663833	0.345986206393914	0.436938814507362	0.579891006402143	0.548310579045833	0.47707699460702	0.682692241051524	0.64038948064708	0.765344661464689	0.714019514549369	0.727702255192575	0.944999475661656	1	0.977543566016877	0.0902486850982292	0.110106883418243	0.179700440389138	0	0.0773385706362438	0.151894550333373	0.155259418103534	0.133640990913657	0.686366332703759	0.586234173551751	0.59937570886773	0.508965640149296	0.692766858189521	0.798969903653022	0.774171786280685	0.55348851120275	0.412466737892244	0.513708591586711	0.573418970059847	0.628790115519142	0.756951938506862	0.70459517218131	0.755166517800844	0.490185348762932	0.45523134061082	0.746534765535669	0.530733068375761	0.658127320074616	0.735260994398169	0.869361516936402
