27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_000132	0.510616902589485	0.442344322566104	0.505264417711349	0.433067108565366	0.314587457474282	0.380392836585215	0.406997402112067	0.518951598623819	0.462957795172891	0.402663665541999	0.419732179953856	0.353378777961345	0.275136374769931	0.404113317682252	0.331198959628938	0.377727912108671	1	0.961197431015099	0.87308656422752	0.760833357202897	0.673927165051456	0.800982100922109	0.829386686029345	0.90575569070459	0.330934719116356	0.16995370223043	0.410592995474377	0.352576320714596	0.277327078300759	0.15568314867188	0.205424358741295	0.0751081443109457	0.285595116398974	0.311110540934324	0.15319847005383	0.0584929260078287	0.0738638140470228	0	0.0834377646154161	0.357615287593969	0.394325331100754	0.107628798242655	0.134024090597505	0.266073415052043	0.308024323298156	0.352047982424575
Pcer_000156	0.529691042628838	0.525024902458645	0.518317051135748	0.750550489707089	0.544399744605107	0.49469960595003	0.482946038254982	0.425786665099945	0.358654572359315	0.617477832698349	0.312850115573106	0.405609472686298	0.576740713789136	0.294676712644211	0.472997869542377	0.156867707997088	0.792992601820169	0.888367143717193	0.803684951804866	0.803423111173113	1	0.573468780389372	0.860194072725664	0.786632155395933	0.253714133421296	0.171393928382189	0.261807622765188	0.184209597936339	0.0630274573800076	0.158392193816254	0.274960708649942	0.178259051694093	0.0661982673436424	0.183093051732618	0.270715242315052	0.197900811131071	0.222229403085606	0.409013127750863	0.0154499653405299	0	0.284394361774057	0.296446375538801	0.126439639723929	0.27197069952451	0.221860733272727	0.169280573665581
Pcer_000783	0.807565374200516	0.670346496134428	0.788012477322506	1	0.874378619676087	0.667180179310267	0.736840930014982	0.711057632896868	0.379730013254406	0.610675311449557	0.556632863486198	0.478798955831308	0.452117230282748	0.776977562830525	0.659644480613628	0.917127699371598	0.353808922748785	0.437480345283851	0.196713517423922	0.38165338606455	0.485502882177998	0.687935422887525	0.719888646581146	0.529734839084631	0.259496849139984	0.28588771899284	0.440887571866548	0.369349779600569	0.454887985231208	0.463302253566922	0.550256991435509	0.0275753546182906	0.537827008129739	0.417279625743185	0.968567294263085	0.225150413771442	0.315650244146449	0.341795571635626	0.25730473999015	0	0.341443740091038	0.510389471169656	0.313978696219325	0.5118278106978	0.62773560925137	0.738917304588145
Pcer_001104	0.497452296882219	0.46660116029026	0.461937523654128	0.60185072335674	0.474324622931881	0.363939954284767	0.283448523395216	0.508682636332943	0.383209904509222	0.55515234082041	0.312091516279557	0.368174132916305	0.475554411433553	0.325080244253828	0.601172001766775	0.542597332489647	0.849161542692979	0.90397067312175	1	0.959038353848318	0.570155626955587	0.513483489689741	0.56437189626522	0.57398648673257	0.00914098548439855	0.0155343252497525	0.00273958856528738	0.0181727199820558	0.00296213060160264	0.0186217006967206	0	0.0296340432442308	0.00693577693360172	0.00903102145764144	0.00934632863035754	0.0163760368491255	0.00661902571654084	0	0	0.0124782588722897	0.0225847609217546	0.00700868614695845	0.002503297379997	0.0207046351786318	0.00690869380282302	0.033586867056366
Pcer_001184	0.645024823496531	0.635628127031411	0.482185578501737	0.569478094612964	0.683537807599746	0.294806415607087	0.410547607085109	0.333852565413136	0.571616144630194	0.367542285459758	0.569243154423384	0.42441117606106	0.569706210808721	0.327098431432601	0.399531263262963	0.399658374174721	0.809471405271237	0.828823099997964	0.917751790069211	0.894828746549948	1	0.664921293760476	0.391660634353092	0.602190595595188	0.259891992696107	0.205636882198141	0.200008107289822	0.504389750811247	0	0.108906592261195	0.16526575841989	0.276806945602784	0.273418798044289	0.375727408182305	0.372004040472026	0.549178384716519	0.404409043143821	0.419524324572605	0.408960339364366	0.364978657984172	0.487062668607822	0.510055570477354	0.511666217128177	0.174805141330611	0.0453845543499809	0.171958029187093
Pcer_001503	0.561784446658538	0.552052235080972	0.478041563840523	0.695727561439012	0.648622675005352	0.764772995104706	0.759019789509724	0.75718891462033	0.259471670619366	0.264260670231028	0.274335948862354	0.486807078736957	0.432617643198991	0.494105593847926	0.459415015978419	0.486345174524871	0.786320439790572	0.675384979596195	0.662216110705239	0.829163998338901	0.906006274151259	0.979473874069556	0.797495397608408	0.868059055351492	0.811017391951143	0.661287737430056	0.609806404128656	0.79972782218196	0.851815031130674	0.744676725413915	0.86307893182777	0.0759839299755613	0.12836536803274	0.0068151330829225	0.0862827101378085	0.119731434575949	0	0.0085906589523741	0.0421108002871763	0.582800759339203	0.571625197411065	1	0.894954057383443	0.87794585590327	0.712234131072558	0.914208500392142
Pcer_003519	0.255628749388409	0.611450172447252	0.44683524343306	0.593378445407795	0.518712468396446	0.65466561368214	0.572404597659019	0.634623363996047	0.399662037525806	0.221308236844527	0.380564756688794	0.385644774620779	0.483232118131248	0.621621172732615	0.455217644315057	0.640588078391864	0.444426694252719	0.273122441459994	0.493982840915808	0.658320093912487	0.726955827264405	0.706855235620974	0.57576433036996	0.431833684386495	0.271764024976005	0.195430509435434	0.0284566811616177	0.321916917429969	0.220733537760752	0.113524300666162	0.356955736700744	0.0463985232369566	0.11251502399061	0.0329020244338743	0.0355178174830455	0	0.0785099949463378	0.0587219148804312	0.0135276847223369	0.399774695687586	0.445332315655657	0.412649237885585	0.831938168257274	0.393481617021781	0.436164884933527	1
Pcer_004429	0.102226546221139	0.111408109462451	0.141079073137577	0.216566171170314	0.143827442170886	0.156590738548245	0.179166397759249	0.202268623710808	0.870818247506595	0.851760147166396	0.865269264887972	0.924511984706152	0.906373639810774	0.956018865374668	0.909797203382396	0.913574187355692	0.0201174632985585	0.040451108249798	0	0.0257301479415531	0.0889684035321847	0.0376226996437652	0.0185269550823238	0.0529468616007418	0.0369870201860859	0.0300832744083193	0.0727844393802116	0.0275805146946802	0.0537470292904939	0.0488301200445329	0.0846241158374993	0.00411934923327607	0.0174857041396534	0.0660962340425733	0.146518362236552	0.187047359816151	0.144002006889792	0.10010614445976	0.107456089438865	0.916735064937118	0.908879152903958	0.93932851281181	0.939748980830431	1	0.988569860158586	0.899140848716021
Pcer_004431	0.111850928567407	0.127956917953393	0.013545449482587	0.0909889609824782	0.174580827294359	0.316702094067872	0.380703025558229	0.366318598207682	0.82360371604129	0.860198166353106	0.834221775867838	0.884059745927863	0.866737253655882	0.9460877754671	0.83819905708288	0.963136780634834	0.370821153215947	0.410000157303832	0.225683087419012	0.413443651001078	0.306045347176018	0.593000294367265	0.489067579663256	0.536701708752435	0.139143808570394	0.10552386028371	0	0.187221207216167	0.339568322628235	0.346454748677197	0.239996723252014	0.40095863042678	0.388107198443109	0.208504781335854	0.195082676514402	0.649030358943902	0.54988111938906	0.448596991256846	0.761417041686414	0.729076592836654	0.659337622409115	0.958727539730924	0.857423019370656	0.918172913383196	0.858324824385526	1
Pcer_004466	0.300172030041608	0.188468859373085	0.240551360627491	0.128040714095322	0.220256106663687	0.344010519059197	0.245463981889044	0.297413464569833	0.612794193076124	0.546388120887423	0.445022729608949	0.62361527844582	0.615585956811495	0.703645424437492	0.647714280237434	0.73656319348322	0.244669811967842	0.15083593988636	0.0758353284208882	0.216880941117373	0.242813663053787	0.385475383360183	0.287577842266611	0.386846790278657	0.277591420161536	0.248518066616921	0.307381788735316	0.223819324061023	0.332034550345149	0.444857538354928	0.421339469364147	0.0345920594594929	0.165745107652376	0.0769996105161625	0	0.0649759767346773	0.319810669921718	0.226708678903721	0.217713875844172	0.602211915502923	0.664701774170372	0.708919103185414	0.597341098575555	0.833021304827095	0.895060588995856	1
