27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_002004	0.296404657541702	0.0866982442527866	0.189155870005248	0	0.0830934280030498	0.22906374831406	0.33137511531637	0.300227568514831	0.447341838237879	0.412185560428324	0.529419729425482	0.344040126146644	0.400856750978517	0.574762708488616	0.510235820558446	0.674177291630534	0.53861243938785	0.502868168083617	0.605018199649264	0.495518871931515	0.611940553649841	0.702713546241852	0.758717109474821	0.631604749706809	0.605471003960882	0.566683776514978	0.610450761654436	0.590902349623927	0.690527026015721	0.764358634199943	0.782531602918213	0.680288644317464	0.691424792374511	0.755331139037029	0.679840079814843	0.577030463703204	1	0.985141616564432	0.97169376860531	0.719187438959935	0.77950734021009	0.469419577120759	0.480655403468843	0.771942756242197	0.788699350512411	0.784525870250613
Pcer_002090	0	0.00493153967342721	0	0.0109181872646873	0	0	0	0.00046662672080238	0.786947079463204	0.70950641080517	0.704031889881996	0.763309014688437	0.773915811649993	0.749891085420891	0.809600407958269	0.800316373604836	0.624794308134617	0.607039225898705	0.597573460349943	0.658233153112824	0.66954412905274	0.700459853501076	0.628796222276415	0.662140994178059	0.594564299544272	0.579493635923064	0.721597832448379	0.731124768673821	0.766980568740378	0.735201822500266	0.600776134672336	0.767050874306226	0.7231854373239	0.711960927739395	0.661834418117731	0.740462620913517	0.777662877537725	0.761588488382992	0.706058437781586	0.949711172568184	0.906472329820632	0.985300686070406	0.942626953725393	0.915567321734904	1	0.99130711809808
Pcer_003234	0.221818315123866	0.300088557846729	0.385253035661319	0.237113024346374	0	0.150258752064446	0.241474182202985	0.209568144650155	0.715540721305913	0.579362680272089	0.445469972392699	0.570935594218865	0.203804124006753	0.731020726035424	0.673629397244784	0.708009087362054	0.846060069542995	0.76864599163029	0.784440049030582	0.647993999213884	0.341193494149848	0.500414998334906	0.692619943691081	0.78986761377602	0.604831276955725	0.399105429834361	0.367078098222844	0.672605796570139	0.71506010381433	0.585941292108346	0.757070097033086	1	0.911259883972021	0.69525219337231	0.952181791854133	0.682635317544099	0.905740941798733	0.841183918785551	0.890008108844294	0.892132087885161	0.765571207650863	0.663506905172785	0.490381570289799	0.792335620561146	0.750916271781707	0.857015802273154
Pcer_003325	0.0672068069215792	0.0361107421036562	0.100474479873722	0.297980256886329	0.120042593748724	0.02075218633882	0.030332328782298	0	0.695017401845082	0.601709251173699	0.846825477470523	0.593068575772359	0.740072032033711	0.704476211293346	0.741558874421964	0.724446407461206	0.912710606536071	0.832012198856578	0.992519565999851	0.72451923375515	0.687584721095359	0.48607163716329	0.571413448151673	0.464101982297265	0.869135358969415	0.956433343108479	0.727534887365603	0.916511143041456	0.618221298294776	0.623189964078063	0.533976839795123	0.546786164359965	0.572042044738913	0.653463686015202	0.790260780089803	0.728587162665285	0.581229838182162	0.584905766205528	0.535432719860675	0.954610390807539	1	0.957103228586781	0.900878601259046	0.687966342675925	0.589713098296144	0.453387409701816
Pcer_003363	0.24284327486343	0.221657556144057	0.130967792114971	0.0433538889979027	0.207568777519174	0.145299829217531	0	0.118742435107617	0.795278425720736	0.83070245971181	0.746317627304113	0.758952337300452	0.658246020552326	0.489201748486523	0.553053039042205	0.482430965877548	0.659138616815555	0.56337931285576	0.677561812589438	0.401342038740321	0.383151435709521	0.367509216264989	0.423283545430173	0.423970141416045	0.720240367430549	0.720554075297503	0.534750297663397	0.585735484870292	0.592427223861546	0.513592252163119	0.554900759591067	0.953786669652043	1	0.983138528293528	0.791095500389941	0.763907579590888	0.51470914201877	0.652925176608629	0.57742542333403	0.831043940081564	0.781844142654963	0.680433545974272	0.592492504275498	0.613264539886034	0.683435043657241	0.48591533808936
Pcer_003471	0.0961176969305765	0.0989624270121586	0	0.22324843136677	0.194391313994056	0.0478191658980223	0.112400535443879	0.115303331437951	0.732639437647078	0.732413694739081	0.666133874592433	0.803594531989082	0.795712910229631	0.517313805867055	0.50667601015969	0.559798637165672	0.762810345803364	0.775602180147791	0.843289400789678	0.781815757645699	0.887857216178507	0.722160810420659	0.760505596831159	0.728085626713599	0.802110855374179	0.774143350028024	0.630641322734303	0.703761338223602	0.705888933984551	0.711632916371317	0.662518831888113	0.754166095329691	0.768256227313817	0.86773648638723	0.749182971325927	1	0.572785658965979	0.599194672467996	0.606509299195566	0.750455196970489	0.725970788223436	0.978112228313268	0.869990482646393	0.648261796853338	0.792133334692045	0.763007699411204
Pcer_003628	0.105953990019608	0.237996348644743	0.209349157450877	0	0.0503067693164029	0.198287285540993	0.156423690881404	0.136239187367209	0.899169147058981	0.825975824505954	0.624265544146833	0.818630455833447	0.770622152417712	0.933997712407532	0.918894784671711	0.873670052011693	0.628331312632168	0.588852613288754	0.552889307679374	0.711470319707692	0.652959614141545	0.735623980472193	0.800092824561601	0.813944153500052	0.541927138500259	0.612356527434385	0.601090485483737	0.659468100398156	0.798351298017647	0.712568461391818	0.782857765990485	0.828668975480587	0.900652039847846	0.630184426130994	0.713754472760169	0.810856198813046	0.930424161974156	1	0.85390716679371	0.666409582672857	0.719260170419622	0.790088073690439	0.808859080012205	0.918209639047526	0.823608521445776	0.928780236035606
Pcer_003940	0.0457566247999086	0.0343398975226764	0.0939916809062047	0.0154895223118065	0.0770102866124302	0.0392475915090544	0	0.0331305467753196	0.923319351452878	0.799429627134947	0.749761970014864	1	0.836353901278268	0.927469082996904	0.981601393161912	0.79128026121947	0.847935687934612	0.910444028540025	0.864864442102007	0.868690240365589	0.825123993536307	0.838925661200906	0.75355808593901	0.877350795893322	0.886191301411917	0.865556401390041	0.936010056630865	0.920069378666047	0.835592493363868	0.932018899539062	0.94974383861281	0.819705459092872	0.858147952728517	0.806553105725013	0.801480085137877	0.824013477537228	0.846304981318939	0.894246586989145	0.796036243956025	0.903559280428576	0.719070774442031	0.90287577175551	0.705104109894472	0.823368353900361	0.904136566284035	0.834735278075029
Pcer_004266	0.0014828211949372	0.00191094811528358	0	0.00841637512763779	0.00297086481954632	0	0	0	0.747551685018833	0.766407996150381	0.784473028673387	0.504655252203135	0.446023172205594	0.432875295552941	0.49010098419447	0.371871122527034	0.560358452454237	0.389568264238132	0.505906109296497	0.291415163522676	0.410265499218929	0.487876312790079	0.298275685411981	0.511170413980849	0.6136240546245	0.60615027210555	0.389124507120859	0.39829349869976	0.610156291465205	0.564817199392163	0.654256225013775	1	0.860403606574391	0.674408981973042	0.7422060932324	0.693838339638389	0.570993539791395	0.68051653378526	0.599232672958298	0.669297667307276	0.688829300447949	0.747914217499282	0.788871143531839	0.422213148631886	0.559192573162639	0.439757353945446
Pcer_016526	0.328698515412289	0.307925914676653	0.363862566392286	0.495179129600299	0.30640175889825	0	0.048300610507101	0.431090560294905	0.639642900766751	0.634872048799464	0.57427483761921	0.745444877087736	0.654494120977145	0.888801925699689	0.984806225454077	0.75497325412238	0.46482305268141	0.552687791074848	0.503826164770684	0.644496883804213	0.697037906868987	0.957662379846255	0.90805468909307	0.919633264004292	0.530279491367639	0.445230713906821	0.558998829387877	0.686019053357318	0.73020785179589	0.99713363491639	0.948876518234899	0.477575989421617	0.67724416765173	0.735317382426608	0.663306960982159	0.623609913856229	0.833816628490398	0.820831054809412	0.897575250258778	0.825935582269217	0.557086291236529	0.732017656504377	0.87755332518714	1	0.971070617392495	0.950378231887106
Pcer_016613	0.0236173544767841	0.0145183820832314	0.0559560802175217	0.0442577866187278	0.040421548700169	0.0735865331766209	0	0.0483543470512725	0.617054039032899	0.569406518958611	0.609491634739969	0.549350961402002	0.328832558912624	0.702308002092137	0.708765290279606	0.750366292570137	0.790751562699134	0.779043618786778	0.648491723526601	0.733319544099819	0.637920548425038	0.844826215693605	0.804055902817151	0.814094030695065	0.559526149686984	0.596480924244053	0.501965593830844	0.558028414263215	0.680756141038027	0.637272408585354	0.505237669593208	0.930268794837506	0.915579759342304	0.983144252928668	0.894993050409817	0.94811862199275	1	0.990958339616567	0.976307882722814	0.590937882372361	0.464882132609284	0.660347600149868	0.589896063001665	0.668564424990958	0.624618605585293	0.585835625499167
Pcer_016648	0.147464364321419	0.00512443351487906	0.254434738882619	0.0885234216492949	0.13844507164687	0	0.0364234861671967	0.199335959056555	0.791069957417899	0.915582882869972	1	0.789097632489114	0.65998331761011	0.704622153210356	0.772767459804042	0.676145066933957	0.38018728874089	0.400604161811602	0.431836877934066	0.484806799003107	0.363178233225129	0.478705096979917	0.448020412080646	0.383506588607555	0.805757951683799	0.844575946745733	0.876495780145513	0.845335784705267	0.674008908247598	0.739083730075366	0.752007278066723	0.61018762443273	0.715183256018966	0.623522227910173	0.721481718767193	0.553281227434291	0.654405048341921	0.593581313400469	0.70481838866953	0.662656596411494	0.814085858520495	0.610183032857249	0.424969775757804	0.623976842068714	0.564690856078351	0.570077722407093
