27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_001244	0.884780124737869	1	0.923282721156855	0.882662653974532	0.815091033803169	0.989305636635065	0.896537192320609	0.959149902273661	0.598010479860286	0.51061505257619	0.657076900152463	0.661707683404693	0.667950300258293	0.767155731595542	0.865374666958003	0.635374828571556	0.732141930883299	0.671776013162269	0.765191457358226	0.795322235671074	0.853258167617742	0.821172471168781	0.919575603959487	0.876790378982087	0.0846122323270552	0	0.158281959119996	0.243600030927324	0.144456490989182	0.286709114474015	0.0282137789651553	0.610641699311896	0.590456422926584	0.664830716472362	0.424689630955244	0.568073823324854	0.765563796841166	0.787547937143102	0.680431078240173	0.0743623280841675	0.120448519317993	0.242707804439283	0.22991031659233	0.062396756385052	0.117519288273325	0.262282218777348
Pcer_015988	0.618783403384692	0.55972394506823	0.607500050649272	0.698834513361461	0.622293962399596	0.659849173297258	0.609238877445422	0.683276885458551	0.558542853579908	0.681359656195145	0.786271863916393	0.666154241916619	0.784246186191352	0.787274038135962	0.60763562541227	0.733466319403366	0.666036377644231	0.727688573568435	0.87170810863615	0.745021085034046	0.889929688771892	0.942878371657853	1	0.645192381270275	0.0984595138583434	0.245336383896291	0.165483843391831	0.0374511341160887	0	0.053974254182782	0.181415256830176	0.711174994460506	0.695995530331922	0.702524815366015	0.803435373148517	0.925268035905824	0.808308679649463	0.887989738704109	0.7070597441491	0.410323875755282	0.566337268259788	0.357506499080417	0.365435211648153	0.289164259514096	0.381438377896504	0.354706200358714
Pcer_016098	0	0.282689818469362	0.573565427348396	0.714031109551747	0.795865540240827	0.576075334598713	0.556861942636185	0.369127706513197	0.385305665433342	0.351626551999814	0.767452083136731	0.702178916762145	0.920243717987493	0.829225425028832	0.792074712220127	0.74577202646762	0.593019240101237	0.727327232104564	0.665714634232059	0.974291563380089	0.56810311350608	0.226984338754537	0.468772051937274	0.908112832379396	0.412740457228918	0.388038809219049	0.053557772576309	0.193758950862239	0.152719626319034	0.223905051207775	0.17631476657972	0.56827916347666	0.554889442536556	0.813112964893084	0.681250410773338	0.941305121526488	0.521800843512083	0.148512643189393	0.409485160474188	0.261091434741632	0.733895862451181	1	0.396617544848647	0.23074234103453	0.676226796455864	0.71772269776099
Pcer_023515	0.161349495096801	0.175861274925125	0.201583030375663	0.275607218697993	0.170421412497537	0.399620525838385	0.228785995498582	0.253097998407364	0.680529870748927	0.757846642223754	0.778170981926757	0.740305346077434	0.838772477643668	1	0.993413342918931	0.930760415519688	0.156442262435022	0.102234942644775	0.15277464052893	0.317861444324896	0.264037156037775	0.239174578134384	0.230147358229343	0.203393415739235	0.306869761439184	0.265891121948882	0.353801781164274	0.341185958138524	0.220378123880975	0.389229706360226	0.332685280611574	0.61521670812802	0.485416371091339	0.574064101357753	0.413125348394413	0.660184530547609	0.585432736569777	0.660981783025783	0.69257371787882	0.172889117805826	0.147651912820527	0.0928058938576088	0.141829193532501	0.0424075900947444	0.0345260949932485	0
Pcer_024599	0.605454389745493	0.390588758031903	0.301138989101292	0.568677985582723	0.403635953932031	0.616745541210647	0.872072628808879	0.885602545877554	0.769363895850458	0.49268227028816	0.645666566120399	0.552046658093641	0.670403941290034	0.639191062089347	0.901758530194011	1	0.338981497943986	0.772517839837528	0.67195889626943	0.464621285843129	0.482515666849333	0.75237933925312	0.465677524641518	0.483537229270633	0.383254961723173	0.394470244606054	0.326878744013048	0.594154347704127	0.438782031594027	0.447122642977773	0.359950186306836	0.825927023199725	0.754148979878377	0.816659493001424	0.793120349138889	0.816736735500293	0.794760996109003	0.707704253234688	0.842525157844773	0.257798841594048	0.262379169134551	0.19833634853957	0	0.328190873384036	0.424606436559499	0.310321269419971
Pcer_024637	0.191683604665247	0.416803171947705	0.260018879081519	0.406932828523021	0.365699300294758	0.22471014213294	0.294170551772804	0.518869636519904	0.581257326201246	0.54341235186037	0.33057137125547	0.464276943256186	0.694442655365142	0.435616152029812	0.487332609797789	0.504989886588996	0.314629336859753	0.207725136224008	0.392604888593815	0.344094714358943	0.332008525021591	0.485109095214377	0.286821849342856	0	0.258587485409624	0.412292101329546	0.223074869405026	0.258066556190354	0.459767637589567	0.310842824751993	0.192657378863631	0.939255253147719	0.635311430737336	0.863519317151887	0.601859953052251	1	0.718323031790794	0.593033454098324	0.49361024114129	0.2505264728172	0.182272655559007	0.345178786900307	0.309577197928434	0.148928165419748	0.0150240965962962	0.0472240169701249
Pcer_025490	0.758601083635031	0.469959910569697	0.475050586961407	0.5420199574323	0.863907890376318	0.237585975078419	0.0211943889306202	0.539804556340923	0.436756055191021	0.683694256352026	1	0.737606737683237	0.793918840545496	0.338395598373302	0.653379620052864	0.572273743590768	0.497202865755831	0.191756277410236	0.272104483354268	0.698233954596927	0.620954328734658	0.260976511415779	0.53697098318264	0.193046547668238	0.0946779720370045	0.184677531336106	0.359889633281256	0.288539638932447	0.0298698243970304	0.0756540326930116	0.208443737307414	0.365863968626727	0.384657088319418	0.647860304898916	0.756388554913015	0.878505698868457	0.299034576262807	0.634492819890416	0.275909756191471	0.153282048111652	0.390097564052267	0.33806922931339	0.116475398813565	0.120272322253119	0	0.0606919155695099
Pcer_037480	0.265455007567879	0.0467207899030797	0.112762608065754	0.283314481483408	0.237525653946572	0.232498029329133	0.330153514539339	0.332176966722062	0.755232972649761	0.795191820149814	0.451526761345087	0.78706503402555	0.69246095779662	0.335466286372925	0.407281732415112	0.318179921331831	0.314614683727165	0.310350513865803	0.442879899438278	0.317136449550733	0.1752075576834	0.294830647737817	0.226577098112601	0	0.320630747436453	0.501046300072158	0.308361000493502	0.344318604433057	0.243221703399178	0.359142411453617	0.355972776470487	1	0.609094969634807	0.742045956842808	0.551590411579423	0.966738791494643	0.469441774375501	0.624242991274536	0.684373315095595	0.210736349407186	0.197207894198194	0.298028966446637	0.344930724453012	0.197603599009586	0.134747484383916	0.344810602192895
Pcer_038530	0.459908712349894	0.213279536597149	0.106933565189742	0.31989937023011	0.26113327467004	0	0.394367610386752	0.132972821046167	0.747426519342374	0.662589709852918	0.805338803890798	0.38941803934537	0.670273405788788	0.325189725207385	0.381919029795339	0.31180030491848	0.284142457485509	0.172660110353858	0.0689964754628912	0.220829573162743	0.39483646654704	0.51004670735084	0.430180966677518	0.169099870176411	0.146300412940003	0.597411582276336	0.395815887223513	0.187460292698647	0.0891446686146243	0.238089928064859	0.323260988729183	1	0.489676870230457	0.930176068808014	0.71980633389573	0.766253959528034	0.424215978092343	0.434138423322731	0.649703763304382	0.284602626373664	0.456229832237511	0.603651435879376	0.441032519109977	0.321392863729273	0.322238952910894	0.259471087332708
Pcer_038549	0.0976665632808802	0.506742087302182	0.335117213007192	0.35547798729563	0.373178214915137	0.290630076672277	0.308275376033442	0.248852538162519	0.752284584374021	0.72048271452019	0.812606894973848	1	0.80991435539772	0.598832810389695	0.539469930965497	0.70286546808776	0.698434923548858	0.53153297225524	0.763106751801157	0.416917366423244	0.284380161978266	0.277080283567207	0.0915566408810012	0.365584567983006	0.525569701589307	0.74451825263339	0	0.482345432269829	0.355344947822088	0.208414486537405	0.247881951016937	0.6226107721525	0.636885898257868	0.772638011307976	0.806487975893657	0.803519636582091	0.390039085656546	0.489274724145018	0.441866856037271	0.633697758498732	0.61850602312951	0.815377833100156	0.627571930829833	0.298258562806296	0.32503966836547	0.292355953378606
