27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_000083	0.928927135000282	0.795593897118444	0.657048419200173	0.83761168297051	0.436229178553745	0.14681220806837	0.120770532695686	0.151994569662448	0.206421733740087	0.0690447750434635	0.230490055826266	0.348891897190382	0.0968322685389718	0.213536294887538	0.0419196069402226	0.100134739644814	0.237160883839147	0.20218826281694	0.227246182599673	0.0790075435076479	0.191259597964666	0.264142688258629	0.298175282803864	0.204949665386524	0.053941974941916	0.045943970657091	0.270557202127385	0.0425079929965814	0.000199365938243019	0.11460530401164	0.078533359584886	0.0327105338631834	0.126237637334944	0.202663401106762	1	0.0444554724440596	0.0139760930450462	0.044448770950751	0.0530238803356764	0.0671739728300424	0.101122635563335	0.0667900230988154	0.0764625231131441	0.00481576300000985	0	0.099281384035848
Pcer_000101	0.250505911335875	0.60981783264218	0.610562750844288	0.439745412684324	0.300366006217682	0.00795814362053819	0.0187873912576372	0.221381271867431	0.651412864524539	0.719770753117532	0.563880934471148	0.3470023020966	0.366882661457902	0.193090622888875	0.132640058713973	0.1813412825838	0.705021770497584	0.622026779157608	0.62695818466954	0.163590321155821	0.205607184637732	0	0.178327797839322	0.141880338842659	0.397754846362874	0.465309683500332	0.453136798721386	0.263051575865538	0.276590646987963	0.237143441831169	0.321798214745806	0.962487568761657	1	0.274697976484939	0.810363009886193	0.363757004056912	0.0560677847855902	0.0559266716387936	0.0862575567799178	0.613561799520624	0.567670847797159	0.346079023898983	0.43716294007981	0.278171977799995	0.270658519103995	0.336859056889543
Pcer_000155	0.791459494306839	0.726694746142861	0.781792064730672	0.64949369098921	0.664470468078684	0.300944611793255	0.304403304117553	0.296254023723598	0.476402044457751	0.540664200202158	0.62729247879032	0.193466412263121	0.100356563446003	0.0619399578150845	0	0.0838757975569123	0.948991043655772	0.794244255775294	0.977277517665087	0.653493466692266	0.689469852346429	0.566528672405889	0.417778819019339	0.363664393034994	0.735056665792535	0.757772810307036	0.69464814909615	0.566258473536095	0.364225824045791	0.359262214417889	0.291080365013085	0.399367980810299	0.39585930326369	0.451095034122401	0.457642074666965	0.207770564462168	0.169422709130995	0.127815970484564	0.129835668615132	0.924469561856015	1	0.538266927017273	0.631291068553953	0.239107712560409	0.305646371905135	0.149508683171059
Pcer_000199	0.303179733871346	0.12103980676938	0.275344236024989	0.0113349556520765	0.058567143196042	0.053695423279812	0	0	0.510122142836974	0.404637607985994	0.405069403027359	0.212647151727808	0.310317943000928	0.0136120015215945	0	0.236066980307772	0.284610189045855	0.337026890067256	0.332918118327954	0.520073618792035	0.373120390438898	0.161569049573068	0.0812279100817585	0.0678101640453232	0.306075359497578	0.279209876211134	0.347742287517922	0.00866482935698429	0	0.0530595155128916	0.00242331670769112	0.465570131768249	0.520324663887696	0.672448289201219	0.54893680658698	0.651677462814038	0.138254465399938	0.0710452508369184	0.212142320040933	0.328031944320182	1	0.253951357019791	0.0362850256630885	0.035016396914971	0.165672559910582	0.0510805989196066
Pcer_000200	0.390606805390914	0.307717331804242	0.312457162343721	0.0860742719827835	0.134432306253117	0.0332235788074792	0.0903553744504534	0	0.53596869349722	0.528646841481724	0.520106150196249	0.127573537330662	0.380210972729958	0.0508588264733498	0	0.239317594897576	0.493812240319297	0.44605670324048	0.499704848682624	0.702286727366157	0.571601074121846	0.338451274952951	0.229037434128487	0.188740433254078	0.424684178511035	0.564492316448691	0.287112656054311	0.0866092818426759	0.0372593837920887	0	0.082419893005625	0.414959971617208	0.648636416397024	0.743407452902568	0.688003008891721	0.671986904738736	0.176220450939215	0.112589650012032	0.0681051209073279	0.39962477740346	1	0.266075750362764	0.200889584352564	0.177038453423966	0.110796982707523	0.244292339173089
Pcer_000621	0.219920395433748	0.33202825539875	0.167433748482402	0.0608716139743892	0.0323489768653452	0.244794119545292	0.340114233972948	0.24375041968274	0.0457830252271632	0.125557699949658	0.113603194498318	0.0334396422903892	0.0913201197395591	0.118400282928201	0.107266193069605	0.212878442999328	0.822943301420966	0.754729049207	1	0.172408991607162	0.148429253895531	0.18107582342985	0.325160298842538	0.28300894301278	0.118751359503939	0.100198622776245	0.0522474457876758	0.0711092539832166	0.124531699895732	0.111536526669048	0.0983340199752898	0.100511010525872	0.0900250889090708	0.127849101565875	0.0137632157991316	0.165434418283981	0.143410337150523	0.0662856758015811	0	0.210197197331194	0.760537183346689	0.0293717248169421	0.0547025969410041	0.0810219520021371	0.0914302078454633	0.0870448669043475
Pcer_000662	0.44348498040217	0.48029321661412	0.479606618042945	0.328734561088365	0.56931425794857	0.31675002777979	0.208570130610724	0.233124184746805	0.483514620931285	0.344529903810641	0.667896307923904	0.404430242026825	0.511154612716106	0.192670585446707	0.231099923417453	0.246850619722357	0.35982793903112	0.492823780038634	0.415208584179697	0.205611862944397	0.33454405180305	0.0541218853352813	0.101501222727868	0	0.46450606213567	0.555058343899604	0.310816689050959	0.500044364513735	0.234344653778441	0.117224623012054	0.078898293901161	1	0.877107785142825	0.883346612049539	0.898524266217449	0.951270445301114	0.579748127227583	0.564784698708731	0.514513872856833	0.703135965656903	0.748909265994521	0.67681193988299	0.735512375476609	0.356918595381695	0.331659722673534	0.271254649271985
Pcer_000691	0.519848765144013	0.594873580657243	0.621835618530456	0.704918930661909	0.837814969359104	0.278936048970182	0.43039579796027	0.460750176799817	0.629035689179245	0.452006143898548	0.701380962568568	0.490236653985162	0.583049965009639	0.1694648517876	0.0919825591478137	0.150165928690434	0.765627671212027	0.725033005077756	0.705983354467968	0.488416426987301	0.574590233794982	0.228455867070104	0.397466892498394	0.216734104512187	0.48353658469501	0.433570336766157	0.339156451257483	0.410064937856177	0.107530644226526	0.0437214092112502	0	0.819606005873109	0.862300171687093	0.972407217222822	1	0.691108901462605	0.32468997133597	0.471187918961482	0.392465237112346	0.603272673678705	0.760126985539247	0.509126763781875	0.376224153002627	0.284272171190459	0.233936874566794	0.140375479896457
Pcer_000736	0.226907402612648	0.364388603405572	0.241422692003059	0.288048267627847	0.130131038068703	0.244017360172219	0	0.135134567041372	0.951335471479657	1	0.891204713484457	0.485424416768443	0.44870046018403	0.265409022634871	0.232969299015993	0.364790838247028	0.899637424823632	0.97171880667733	0.969931007765971	0.592148303822235	0.574296577571378	0.561148252209083	0.408609237560398	0.482843791882665	0.691223961802976	0.711844266950162	0.828892892169076	0.572465541578157	0.32798598651846	0.384725105225836	0.329282350796048	0.9452603813462	0.950816720392103	0.657237350422338	0.710382301309092	0.285129143458041	0.11232757785165	0.177845190277796	0.211799532407162	0.720964346882934	0.727948573949044	0.399583549317785	0.321333393200566	0.131465898223194	0.133424078867135	0.0739096522645102
Pcer_000740	0.495351747986334	0.722090229200064	0.530515618267774	0.532104272027181	0.611930220120177	0.328619501995274	0.41493815748864	0.265376890147057	0.81926668648501	0.395701351392613	0.652077247486978	0.417111486079757	0.46998237553666	0.200217087182213	0.328969520467971	0.256234716889965	0.820362053820838	0.929809507581617	0.935341573177018	1	0.599256264796413	0.427074901068448	0.491542377968599	0.268922804723299	0.680654858252969	0.889377368280348	0.452844228371839	0.621142339844904	0.175209733681254	0.285964230415724	0.182811659036059	0.592926258312091	0.571465500060145	0.684148102064035	0.869287922452145	0.830839541554674	0.0549746283159711	0.0103253222541612	0	0.699128300436394	0.771449695852387	0.460190489181394	0.321809938091742	0.0702923039173306	0.226201203061678	0.168071354513738
Pcer_000741	0.518071558909499	0.651410235546833	0.449417771725416	0.516934338614172	0.570908731861831	0.224091570506534	0.220989681981849	0.0935394475378298	0.693447652817079	0.348870905209059	0.45274371294255	0.331684580544701	0.47069172512363	0	0.125607995773315	0.127659477683423	0.692590611368893	0.700293519417758	0.662042966645294	0.774437701964533	0.277618076659952	0.238069573553573	0.0782081165460998	0.046641116405649	0.73745658210947	0.871154825389074	0.244164245855151	0.73566822225298	0.0605683226576749	0.195802509333049	0.0133859504534089	0.679732063131384	0.578956052390367	0.668119573444423	1	0.959464726442628	0.154206043035468	0.136854409377486	0.0542705444830889	0.693917750858677	0.7618113920885	0.429348003830846	0.368794188978353	0.07306229302958	0.10794444252624	0.0614114237129595
Pcer_000743	0.183360266987487	0.392987522342127	0.341093660604765	0.304342015467544	0.379859484093492	0.344000466842976	0.284805890372397	0.246759199064594	0.735883071428126	0.411451701783578	0.539490161265995	0.334981485420359	0.413002876847824	0.0147085535053939	0.107606526383552	0.0698090203552013	0.223544166472896	0.306831674738635	0.481933107717749	0.836338472169562	0.361783340393269	0.468836276017684	0.379922390807093	0.333423379186638	0.556101908729794	0.801747187067179	0.152323350240271	0.669067874035613	0.180832548792781	0.446169789645274	0.128363817655564	0.508897388437416	0.39354907425338	0.717547821214125	0.720317280049714	1	0.0359368715004997	0	0.137749287673645	0.755004084558535	0.691200998195606	0.278678247221387	0.298745890897929	0.100592962164194	0.336697543489137	0.234026851517219
Pcer_000767	0.511038306330731	0.199824886221089	0.232264320539827	0.474854245431094	0.322991402845791	0.168748448503013	0.24177434813346	0.29351693602472	0.173143665700359	0.278909948088228	0.283365401557215	0.158700622567476	0.422511578927462	0	0.138687478578717	0.20249584726069	0.958292387847368	0.908163074670887	1	0.588960374213475	0.445335370649074	0.405083974227601	0.369421866267394	0.473482846703282	0.556499256013583	0.402455257323823	0.224694538548354	0.0748495653615766	0.274981272230107	0.0965783683856467	0.0624760290080544	0.469940672428584	0.40868475125883	0.928721158684912	0.0789129310820508	0.332665860769877	0.084246084643063	0.199293248502082	0.180132133615412	0.335945130433232	0.337953871586314	0.0676714003504299	0.0367987831412261	0.104011601210414	0.129057354366562	0.141812361754718
Pcer_000927	0.202922194948548	0.548094068094403	0.139586974808893	0.212817256998262	0.100831787025866	0.230929979251106	0.187790272135179	0.109192087481296	0.520250769403431	0.270461018702881	0.376456374080806	0.303957574258986	0.343448476535839	0.181991482247757	0.348569689126822	0.309759464787806	0.718682994579072	0.758564210902023	0.837733665905869	1	0.717394147120094	0.418558334074717	0.411479441986068	0.536318570820654	0.314511313265831	0.528187325062371	0.0869501899148706	0.373461821433703	0.0440579445568886	0.0947249662124815	0.120705399098331	0.535698440098895	0.486822127235453	0.455787391610791	0.859289183637577	0.859899648037086	0.22715604774838	0.177811637688837	0.323249053002373	0.425399764547165	0.414261604009733	0.487723681035318	0.211537418346549	0.0241509008011387	0.108801078049936	0
Pcer_001019	0.620887554306821	0.771368756742695	0.780154931175639	0.410537733886139	0.482317315399926	0.198558004769202	0.57802461307554	0.457304028550989	0.551322614634406	0.337383672387973	0.927989792027276	0.0884435674406901	0.524137259179472	0.352233314132875	0.227453055824981	0.300274992907631	0.739653155312276	0.840884956867385	1	0.0631866319190024	0.140214793897653	0.107601952771695	0.0257115030247158	0	0.278785162200642	0.222778900458862	0.271603346270908	0.26525089157813	0.18898742798029	0.0795230825937178	0.118435265562902	0.0998759230304438	0.467779330103707	0.195494852181444	0.60549488295273	0.355657592750015	0.319665593368005	0.28466633351097	0.182667465382943	0.620497537904019	0.73348785155798	0.571415081785752	0.538593681985258	0.375117493262385	0.118881618337965	0.0899521826807357
Pcer_001026	0.490541394321858	0.713694050646117	0.563894415869951	0.621113436497315	0.668041892844886	0.159982048532191	0.258082765816262	0.316992582543811	0.72568044789478	0.722047200228542	1	0.632701230254407	0.836700074005477	0.309559916643717	0.41551857826931	0.303465701566665	0.522537852024882	0.554298882505619	0.624172491505995	0.427367966826278	0.659490038745203	0.0459928259568892	0.108921648782661	0.162682762399759	0.841371112440264	0.959157518787933	0.712390977139094	0.659724636967068	0.183313325409142	0.28311869071372	0.188561347067105	0.775657864408447	0.698783495665134	0.848410527470753	0.771679781566418	0.846576531719477	0.230589740505264	0.494839411943572	0.429001546437153	0.548259806463296	0.597681181614481	0.518087201062775	0.596729633383625	0.168272812571496	0.296573425128703	0
Pcer_001233	0.0639980046338465	0	0.0606211032471824	0.0099680198124369	0.0513213871919437	0.0536168344853929	0.0374031518736607	0.00993529466573313	0.0748054502776843	0.0751707797810154	0.0521755393447651	0.110342525931373	0.0502105817658529	0.000445556424519565	0.143765969440604	0.0798536111179155	0.974660780476114	0.950248704283175	1	0.363089062464896	0.500621141195333	0.00340889341014158	0.100372639417384	0.0423327736762705	0.11722988481755	0.0787411321707578	0.118618371226317	0.0586175516683683	0.000820068660555743	0.0768379376261858	0.0351621235606358	0.214733053410005	0.04833169825875	0.0610956866216976	0.0569857584125014	0.0980341465526093	0.104929131153145	0.092484434730817	0.0543714736961018	0.0640554317410333	0.0855971874025257	0.0729705585162897	0.0523619729150137	0.0348296313440671	0.0512723003534517	0.0342715485706196
Pcer_001327	0.222109861012534	0.604053110620362	0.307792095592724	0.288081860371272	0.212205329010867	0.0756123373840624	0.19798379777701	0.17364508749391	0.569420803565785	0.238283623367443	0.278195418709742	0.655946577889001	0.493467931816951	0.3136627701663	0.213326867735998	0.38341695123035	0.195082119460324	0.235946531788565	0.264175760924722	1	0.102255287474372	0.0829472512450475	0	0.159901537335985	0.638710836884769	0.855717037141524	0.378863965648636	0.715823273322669	0.306215409244998	0.374840116213598	0.35863876896129	0.535557675896503	0.411166802992687	0.652136368128672	0.611880873913873	0.684871857939481	0.22359999612035	0.230168965972697	0.413203760503494	0.427219789887047	0.749506836662752	0.683434854804245	0.650161986959724	0.31930514389861	0.472777291695426	0.56156973622408
Pcer_001530	0.141570986418772	0.416369578662537	0.304702970061829	0.556464027275661	0.485278353555171	0.415869890942395	0.315507056738896	0.486438672547464	0.382949546697321	0	0.198441927144963	0.341273133260585	0.581776340273328	0.208779490053963	0.298807947011768	0.310045477011668	0.654699329368463	0.70595278263296	0.793964081892993	0.866894914175386	0.879291449131316	0.566678995850383	0.590006350260191	0.50700666825673	0.38389380399647	0.456087074127293	0.00858091638465133	0.310184614307948	0.277203360439724	0.0814467175256855	0.076921524953602	0.599099801391241	0.62963378912157	0.599079634663667	1	0.888380129777517	0.490387132745122	0.491723224350354	0.491970965867456	0.284693737425218	0.386150048831175	0.371823603691744	0.226591297730193	0.0416749081639199	0.11144811261638	0.106332246577041
Pcer_001763	0.48058865803917	0.437780930431737	0.449466882404895	0.395579421714587	0.536670238804804	0.194901538180361	0.300099904248593	0.247961080675363	0.35297831108552	0.146316309499848	0.303206998627753	0.221904059677214	0.301476926530905	0.0573155713397056	0.246520452340444	0.185283871859136	0.877709900665702	0.840476351383132	0.977698403060809	0.747637299893156	0.696182147430203	0.325882198290141	0.460411309542323	0.365585474745662	0.62016694068045	0.654751521325786	0.408511311595123	0.541439942846593	0.253289403373884	0.272309097435236	0.187455093525018	0.463280564936542	0.28694485557823	0.330820269174439	0.393315080917728	0.382512622620995	0.137649035973592	0	0.158644510220792	0.841489902653884	1	0.529728794575461	0.49517263633806	0.279090359284705	0.366138239002404	0.308166390045361
Pcer_001898	0.422050770860363	0.90722528461308	0.348990568674511	0.431751497608528	0.212846467540792	0.488264940440516	0.421743392092414	0.447203853303783	0.293008758723663	0.281182660432521	0.452085792631099	0.0244265004053243	0.302537834750735	0.0637894166922797	0.0293925455969127	0.0577427500748338	0.863165737311432	0.735400256283866	1	0.0650859997710591	0.0999883755921157	0.150210899113049	0.251074709793072	0.294400033344732	0.12313626814539	0.343900143226025	0.056641876099379	0	0.460289443830975	0.474617633865136	0.533605755411201	0.648662057882092	0.565259413330003	0.646798344111906	0.328524153875835	0.769899339162664	0.115480450499721	0.245380847215355	0.096231726966668	0.337933711042279	0.76894746607632	0.124840563759195	0.00330151173398229	0.387914002403813	0.393946431273011	0.390852956089386
Pcer_001900	0.292510170299334	0.846195623743769	0.152505315403341	0.285894259586278	0.0903132121373631	0.333637450022491	0.22914672591864	0.237795665521284	0.208708019768906	0.0659553939402439	0.322461139228768	0.020463860970682	0.109095140846023	0.0333336927906971	0.00700995033875885	0	0.895928517741422	0.604165323180631	1	0.23419025180829	0.125275675076669	0.173054577859358	0.18050927424318	0.186465205142314	0.193361113092253	0.34520005002192	0.0647588249111464	0.0761345113453242	0.269561876799762	0.225491593919978	0.344835665746058	0.586509158207779	0.401692520142082	0.409977106053109	0.185388222794424	0.67410763403038	0.0129760978422257	0.214855523538324	0.019258590783236	0.216701059403679	0.56934742293909	0.0903158152141774	0.126376548828652	0.247013569015442	0.195348271740351	0.173646789751794
Pcer_001908	0.570184619623778	0.680173054593368	0.656806838626725	0.655377034121154	0.747822335031201	0.145265966735857	0.257312377902057	0.187357434124471	0.682325862396693	0.674927056252686	0.65127018679396	0.187563735655336	0.68713321985409	0.175212450973524	0.167115660403126	0.129739827409122	0.646700298133938	0.423470175453434	0.813379532220756	0.377884968166202	0.246391347945037	0.200432070799196	0.199545549822098	0.0356105450749932	0.418984323368939	0.584153140024132	0.391067948869753	0.227861880193714	0.0770015003826586	0	0.0840779433977205	0.841809561857744	0.792726605469444	0.86945456886327	0.477644864730141	0.58494155649784	0.124123035582073	0.285660564931262	0.258738601570891	0.437915346525305	1	0.0702982809292721	0.116970018571751	0.0666143683000784	0.0681115618825901	0.22091243073934
