27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_000061	0.0164837842714011	0.12963520688649	0.145189485512334	0.37901838016575	0.266888928571779	0.456919001216031	0.361393827164815	0.445390476270132	0.353116996564921	0.204266282019005	0	0.415208114342699	0.229374441902941	0.542367920428392	0.459579154829383	0.410061126105426	0.241738165559965	0.201642532633678	0.209089161976289	0.190144399982091	0.317677131485961	0.491014289451085	0.433864333513137	0.399307976421587	0.755862564247684	0.746882323299096	0.641409242302994	0.834931153584813	1	0.847915293004956	0.793952549667068	0.324742929039168	0.178656542668289	0.057056204144607	0.301016109634258	0.436199417807697	0.461731267004318	0.498108704756848	0.561293446756496	0.650891481514019	0.570341724117381	0.799720784497959	0.857900449059986	0.87186888928895	0.852831271433161	0.90677736151949
Pcer_000114	0.54646294142301	0.43818229138688	0.364475405016458	0.361768193056099	0.0613359850377243	0.520056341478307	0.375986598037481	0.374044187719081	0.574254448421869	0.509426090708768	0.513993256816268	0.462800233701995	0.287556916813468	0.387554500561515	0.346805681618272	0.406975290509436	0.217992012787117	0.474126923004012	0	0.168956782284822	0.174352319227796	0.302904035696528	0.0596188371832664	0.320345327631792	0.832409979938296	0.794567334524919	0.931101443410059	0.981479076615835	0.790202552984056	0.817887838166086	0.917226881951123	0.314418699300143	0.588393305651444	0.489672348926218	0.208779810723544	0.407371492578829	0.642273666408481	0.607488918370497	0.504363982250689	0.760798467744105	0.840761495060684	0.794997759489282	0.851187309817358	0.769683306340657	0.913435173497863	1
Pcer_000312	0.313669373394892	0.36815875492507	0.358946229758461	0.403313245163353	0.335952324711859	0.368507903146674	0.296186522936605	0.258621495840491	0.182591508176027	0	0.159296190671467	0.194624737456335	0.27878594513255	0.261912407383838	0.211062065188726	0.176161435287044	0.192917468261432	0.241181149339316	0.363592355357927	0.205184118360979	0.366420004864743	0.332230358094401	0.486274487120717	0.283766270433744	0.909058826233618	0.849538774821569	0.831810809909215	0.645153532846157	0.943878755054398	0.902638301395067	1	0.0333426952214063	0.117805717396863	0.393476176261566	0.0450181103828959	0.487002768927834	0.286735000972093	0.397055743466351	0.310955147838081	0.718596752308283	0.191642201266253	0.495972002812802	0.591134421044123	0.614384474643545	0.733357301119478	0.619989423554351
Pcer_000402	0.342736955396055	0.410438226536519	0.102583002746196	0.299755759608341	0.11702651982273	0.519134797976572	0.390974654590081	0.488651920949362	0.285151171345427	0.256818201145502	0.279294297408295	0.296674298724597	0.229900363181239	0.514913213641626	0.627916521420667	0.539630051919414	0	0.0324362643633706	0.0167333221265855	0.0514564486235847	0.0699075221862419	0.298080510084205	0.221585052394766	0.123217879442437	0.609302980913157	0.652105020645533	0.73786129397018	0.730700078566273	0.893162532521153	0.940749998598325	1	0.382857202686639	0.396637061317845	0.418550869541834	0.13820741840227	0.450918634012593	0.663293168684004	0.747550359915787	0.81882971226607	0.35904727472486	0.254122125432051	0.511669775964144	0.437596026467438	0.804215157433477	0.690684971664904	0.837946745230483
Pcer_001391	0.489990350550183	0.424660545883869	0.456283911525932	0.613353292529183	0.50277075472257	0.601812140323718	0.597905908162695	0.499202068637537	0.890532548459811	0.899769246757185	0.824029508616018	1	0.985415235619827	0.866042118987882	0.908265559413536	0.938503483184002	0.0481453244629039	0.0966487815930591	0.021831953784488	0	0.14263920691761	0.275239505754016	0.219755227801704	0.13307583759841	0.888772195740135	0.874021070747941	0.960776020602779	0.995413546292403	0.829714333963393	0.904092337695378	0.902440296004771	0.445623791688276	0.457132488136234	0.396972634398339	0.453102311803167	0.569893775734681	0.458752561854584	0.41829907989814	0.489295365038564	0.843918649140807	0.83253876533867	0.99435593947243	0.960858642939702	0.892034570416883	0.848304074288384	0.882938992255548
Pcer_001404	0.0391896585710546	0.0473439974579492	0	0.0765874922382889	0.104302642796617	0.0932307532246543	0.120532857811863	0.0846093904636521	0.652668046451182	0.737873906036057	0.633747258915429	0.645887208488372	0.827756140992201	0.805715702773311	0.838402095319247	0.716534811766968	0.285251173658242	0.316370799373216	0.291502850792128	0.312599073103334	0.377291599780886	0.377528003336333	0.38998830728676	0.402048421636057	0.692069010302624	1	0.725632778493791	0.737778732167216	0.807365895445352	0.780531525514399	0.792119196412936	0.391483647918765	0.351050191664347	0.307599252490957	0.282255591776439	0.448752771109969	0.494086254960771	0.458813950384499	0.367081847731189	0.454949777270921	0.401746104175519	0.641042777557205	0.644703676029611	0.779596056885121	0.727654778183297	0.724157900688375
Pcer_001407	0.261854941130944	0.0994358016288325	0.125254584094568	0.18113884634853	0.158366425565665	0.0774131309316772	0.0941219241510171	0.0952717799376957	0.840385381948776	0.748090007317148	0.746225406891569	0.643725820282061	0.685111712570205	0.562577445647126	0.796417265786496	0.487356164359343	0.0500431159345636	0.0819808481692553	0.0301130074644597	0.0806800173410524	0.0297519255785349	0.0301864089861565	0	0.00510468974004772	0.996756257855139	1	0.734735332617517	0.596327538470355	0.658412252655172	0.888865024165237	0.597769774255394	0.216006262060351	0.125459973112658	0.139480135712328	0.0212431145283885	0.201469620591651	0.0354274294146659	0.05767390431026	0.0917782988092002	0.648186730324635	0.436715087559508	0.516641315310862	0.48393921251199	0.580951599477747	0.793720029079683	0.72794735024856
Pcer_001410	0.00612298478590041	0.0100793206619618	0.02111061778439	0.0145578037913646	0.0165160950812928	0.02191615457106	0	0.0159356482219238	0.931199757441147	0.938976655382706	0.787206964142669	0.923342869330202	0.929358192805179	0.941520481557169	1	0.924819690553895	0.0750176398012471	0.12351643687778	0.10947512694792	0.0806448232937138	0.140438424558965	0.0737642867379004	0.140899314614496	0.092438198001448	0.791652666141805	0.836403010888151	0.803088933668667	0.780287004103999	0.849799946694595	0.862053128075509	0.853358676412164	0.0762754835216751	0.101858695449242	0.0995869289597849	0.142157720718131	0.137894594993162	0.0878908131056415	0.0752289552345988	0.0931066957337287	0.677754650493339	0.665530634485388	0.843370035994055	0.820179555618351	0.846334880714517	0.848077049071104	0.864981804144117
Pcer_001411	0	0	0	0.000837769389219137	0	0.0217648086866222	0.00482369377019538	0	0.882101982034407	0.872605750088211	0.571815921016507	0.932262789578088	0.871193971321977	1	0.988149615595858	0.900035836874577	0	0	0	0	0.011862241086292	0.00026954848721338	0	0.00354558220626624	0.738239312970815	0.683162755249551	0.550593733229677	0.652636083896462	0.852083828418403	0.775847861788118	0.707186399859449	0.000850265664844219	0	0	0	0	0.00711736362235414	0	0.000165897961967707	0.553694565817318	0.477858848023215	0.797314813744135	0.919056392463924	0.80387266673868	0.793015735878903	0.924759364538222
Pcer_001415	0.0638195538508256	0.0843559425320129	0.0617686796921881	0.076082872389607	0.0965492056622941	0.190943081700541	0.136638798966877	0.114115319036277	0.835767671079692	0.707151594735188	0.482318680211125	0.797392452776552	0.732484023116972	0.945900384642472	1	0.926550675110842	0.106604460693703	0.116585705671319	0	0.122973032370432	0.171650377383141	0.161427635350366	0.140286294179721	0.123070169267509	0.561238670204858	0.582191205021473	0.358576146065456	0.617180785781451	0.798282154051426	0.680439767756543	0.762454926555055	0.14598792937954	0.204653483990102	0.0943889830841189	0.111328504496974	0.306187124322703	0.252860888676063	0.223867225792881	0.303574074156475	0.502979812706446	0.466601453702193	0.78111238439091	0.80287045101836	0.853163434080546	0.765385438341737	0.88520065530246
