27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_000257	0.244289968604012	0.0976589945428469	0	0.0989300707266753	0.225649066920086	0.253876793117275	0.345270609409807	0.212292506874781	0.151265642318034	0.122408164129258	0.454219386693207	0.352855355755648	0.532607585436621	0.320442531840661	0.404377390153748	0.650462683498581	0.367302118968012	0.213851049767535	0.482676345085307	0.392948254157874	0.38543880775508	0.441890383418805	0.602730706246721	0.399060878737462	0.72427991743789	0.543247385399093	0.571076558714326	0.707464479456119	0.664562997505774	0.701847201144237	0.741594443052227	0.722409228782792	0.686246938416528	0.840402175156848	0.833494279482359	0.950605101864731	0.88830410137372	1	0.96362757899039	0.507574561699346	0.567873066820482	0.515103844768646	0.712525811161648	0.702237714272974	0.895744285837655	0.572706537368983
Pcer_001600	0.115638562403996	0.354408246479359	0.453150998018565	0.586599462231102	0.269891537734225	0.504795768978243	0.866178111409925	0.479478350530888	0	0.071923169576728	0.250441922371711	0.0347402139926471	0.0738552254291915	0.14715519421907	0.319326980728176	0.26055696425404	0.568223213957836	0.378140119080371	0.578771187057521	0.785840900217325	0.707640869655448	0.79341351968182	1	0.834772788758187	0.428762752050081	0.379613855603141	0.2191286756024	0.347111078639122	0.509279964418673	0.321820081818297	0.579242145303978	0.54369113821266	0.316644535811153	0.380211326052553	0.472019455200236	0.662731955308776	0.473088944926215	0.423032406768303	0.378356190291815	0.637560598736994	0.325524202729696	0.553802048183282	0.327019495082251	0.613782985121011	0.646112302823601	0.64767845479907
Pcer_001688	0.241512445098868	0.153147287159843	0.149095127580387	0.224572111586832	0.265250588963565	0.152354404148213	0.257407401455275	0.294637624442034	0.0719911788299686	0.0112204328651721	0.229800640884324	0.0329694306150934	0.160864072827157	0.289777385177452	0.0341419937471044	0.0908063694157075	0.797147812688289	0.743127882979584	0.714367595132323	0.866788851772325	0.538144047559027	0.561155581500976	0.742829162282621	0.700064428568821	0.0777150227344923	0.198756424938447	0	0.121055541421442	0.245115123631639	0.132587594578333	0.0542996134564429	1	0.936296044525277	0.693367847874435	0.876248860546144	0.7115852367611	0.990511995358151	0.907438043290767	0.76434226713746	0.81036618243613	0.806374960996162	0.62199892148218	0.657309194232725	0.614349541099853	0.629048821974312	0.77015697698674
Pcer_001823	0.419755520655008	0.387947845895338	0.397123268878406	0.358323416100494	0.437249196039517	0.165335799841102	0.271593256486575	0.20251871000853	0.339019733903316	0.328856903648152	0.333100581678332	0.338930249225095	0.355855778864777	0	0.0571236917856497	0.0948223041171751	0.959070989035492	0.876144367314206	0.956717814643647	0.876836764181138	0.856534666274645	0.78698286305008	0.776962282305144	0.771138149906367	0.821565668239076	0.770709523852263	0.794717536742807	0.877135969907333	0.803908956104451	0.788413474572705	0.747530614942354	0.828765246756435	0.880224055816416	0.908423726172696	0.916910275876453	0.887010616687352	0.879764165466657	0.886863129360279	0.897893278790542	0.96260357677751	0.997350660238193	0.977322236343246	1	0.862190795110246	0.84465542411691	0.81184206043118
Pcer_001902	0.387150707185648	0.283885400332131	0.118203699647445	0.299794729094465	0.439290931712561	0.510578598051054	0.41275008078755	0.491376297103704	0.1449843415811	0.255794390364885	0	0.0321152258715514	0.284202854260552	0.348900701989399	0.0458450979518534	0.117454261697875	0.852059351490914	0.665992695940519	0.750851420290682	0.700617769217447	0.662004994908026	0.809566183278284	0.659162248015244	0.74556116333481	0.917813284578806	0.92076057876448	0.754282921486147	0.868421696412484	0.941593401699077	1	0.887777081573666	0.682448407217913	0.493634763542407	0.530898274089523	0.330844097285617	0.590265739876369	0.644404899942966	0.673934162471938	0.470897833053749	0.528305933599153	0.335853484005477	0.575711901452535	0.42647181464742	0.653484267264926	0.597447178966986	0.708470166213772
Pcer_002139	0.374131424460766	0.65892805196838	0.52993030137741	0.693354493598665	0.59661202219806	0.449810278688816	0.235781317848582	0	0.303950430432785	0.24424782756837	0.31403988129079	0.480448941473307	0.561143205231034	0.267206313943363	0.220791009658279	0.217094259219003	0.622829664929888	0.7736153004901	0.802379355142548	0.996880042033878	0.792043113246068	0.828292519798714	0.797529354912978	0.898009688152359	0.739074762890637	0.751063615898469	0.74424651854153	1	0.703770578841649	0.857729709319261	0.698452048290079	0.872319260172815	0.667913375744922	0.671451357722669	0.695562258095947	0.953556429543933	0.579734288002023	0.765514279180087	0.590971066671287	0.704217310345987	0.655047427431182	0.886994486552244	0.545461758515651	0.795115182540431	0.723016725892982	0.91192430168812
Pcer_002190	0.0428083453955014	0	0.0470362231960606	0.035197356201875	0.0211444683261803	0.126133340377523	0.138877112486595	0.0939706529131464	0.0185992965505217	0.0123896505147447	0.0110565540605461	0.00758798160792501	0.0128260977332973	0.0977741750630419	0.110100065098601	0.057253390405696	0.729801547058211	0.717930589510105	0.803016445060253	0.786195166504103	0.747795748138013	0.652858723471422	0.743168697730452	0.651246645428977	0.817600008566162	0.813892258330145	0.594013216807335	0.930224020275305	0.831780103975457	0.789174236780384	0.764072125729196	0.938129973090787	0.79849227595663	0.868176822642101	0.974993889611113	1	0.820472502481365	0.801000463236261	0.823861919457024	0.840661643176865	0.842417648333039	0.922134664512809	0.916350300510139	0.840120547926874	0.84902284353705	0.800069217989758
Pcer_002237	0.126232186685431	0.130990322924678	0.0622860473825305	0.124494658975479	0.0240568386747538	0.317541651261595	0.24751378451283	0.238534786106014	0.136260377525804	0.0312779670659251	0.00850435010507966	0.10477014527212	0	0.377375605712345	0.0858363056224202	0.143715282885023	0.295175898809212	0.289834539480289	0.34641678227302	0.130854872174734	0.207321118651288	0.459506188929828	0.521424233399342	0.254540408680081	0.659879234153197	0.662609522852323	0.586237086874211	0.431614734460241	0.830533363397082	0.853829010115026	1	0.780950811458675	0.773859805818272	0.667114869277748	0.522608105835933	0.783171247100999	0.863764135530662	0.918136373751857	0.85008364663	0.450966027154034	0.309498750420723	0.489369186760923	0.414409253755303	0.651094784962314	0.716946844926365	0.597872024401574
Pcer_002558	0.252710807272738	0.146612299428126	0.268342572893704	0.153738506303579	0.345956474144569	0.213467756635436	0.0681187668407525	0	0.360055002744645	0.25204444717149	0.430714820165448	0.041810539534778	0.318280108890108	0.295398326272836	0.132425298379403	0.310524802939642	0.861577369089349	1	0.716348267456815	0.349491098981793	0.630665843145538	0.419408668129642	0.592192853500725	0.79851385749872	0.815776567062085	0.685189672938707	0.523190897143278	0.490431283285653	0.372046890452951	0.509179218142644	0.461337456751027	0.523609743166389	0.641297060512842	0.713707706047543	0.636824376300246	0.488935801656189	0.461048819360225	0.62811237690138	0.573437375965696	0.71496390986037	0.684074281483256	0.393415948960047	0.465841058016007	0.554534006692074	0.610586455256514	0.508502524008154
Pcer_002754	0.273859719755223	0.173751489435834	0.335615626380563	0.0663705667045288	0.0570034974704408	0.218742203428514	0.247015374990444	0.206480671907721	0.138888440945296	0.0899279595979605	0.0955493675736025	0	0.022234278773709	0.20873353986129	0.230575155388364	0.27209933832288	0.596546457130407	0.748528330631673	0.686862727852369	0.90186770507435	0.807752162904016	0.950123287795784	0.879523216700806	1	0.718168109465552	0.69260266882928	0.53712264515977	0.902221664372607	0.894258717551514	0.887048385347773	0.883693397930108	0.635969779116023	0.374768625224848	0.511371202488159	0.669328732376063	0.868830555003042	0.935784651356664	0.917206546806814	0.892140912344894	0.610688728035234	0.586093887989649	0.758096041955101	0.65618438201733	0.88000378542486	0.884632034407904	0.847987157049847
