27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_002184	0.740526374038843	0.587904030827713	0.841476370545275	0.869020994375045	0.842128616772609	0.861869762418543	0.830015716246308	0.691423014757824	0	0.260348484330644	0.277250461227087	0.510847835990088	0.383382169055587	0.444943665600342	0.333329615465195	0.371671973085999	0.671939677411866	0.630764795379395	0.480982897729013	0.7606779869402	0.976050598427785	0.77463300898811	1	0.677277542708346	0.61236481412285	0.671364768679086	0.911409235217849	0.516925538953513	0.581860895660796	0.725433524492995	0.897201287700253	0.836960015627833	0.56527021481583	0.501514060379933	0.855321984371664	0.888685133226837	0.771939352663638	0.791919607493941	0.409632466423458	0.399229151190209	0.50965849913448	0.507572258296245	0.354684181855793	0.502033881855952	0.649562809168171	0.543089714330391
Pcer_003938	0.474463633109851	0.548904658879536	0.496670972822066	0.914955115401697	1	0.374446577475567	0.446657625120815	0.513271602980802	0.223378924011676	0.22447597242502	0.137027453646237	0.251996368690563	0.463845475815161	0.0821914920352439	0.121407063982987	0	0.526057528259297	0.627248966613672	0.765676108962725	0.828842813970931	0.834209974455524	0.421840569892301	0.36766400447711	0.30182153598565	0.752201587320074	0.778878629579657	0.64476761526949	0.868473049671211	0.449918548711669	0.513799254502368	0.440048253614988	0.868576065505896	0.430750233921041	0.614086442478833	0.507667635559029	0.904717680262525	0.535273231390838	0.488759838260609	0.43456711410398	0.592909275094464	0.562937027677249	0.77408050660468	0.719495331933298	0.450356760505977	0.555462134998011	0.514413832667941
Pcer_004225	0.118308982456244	0.410562776959942	0.312512714639618	0.937946683521507	0.773188256794804	0.598306115733564	0.534746036300139	0.53694501936093	0.00043749134794924	0.00146697827942539	0	0.0225004402451899	0.0130544515937305	0.00842044942576977	0.00660916905654169	0.016726259770554	0.630092630456245	0.407240729010295	0.487568007268407	0.960879310250406	0.849494466826095	0.543968226035607	0.530424490737072	0.539082368598483	0.395678060552408	0.383131302199124	0.647720022219939	1	0.533617738467087	0.474407056734099	0.471360784866023	0.198477380894943	0.450521320711631	0.104883011756537	0.797879569967463	0.803952494141477	0.312431195311386	0.432453991236751	0.422773072544036	0.58185001238726	0.317996404284872	0.796233851999095	0.843364734796016	0.362985128134467	0.364744891721325	0.318881335700674
Pcer_024198	0.480575571187406	0.35145451404342	0.425592972149727	0.563782337237575	0.29153634460083	0.64402191452725	0.610260501250131	0.375508240331652	0.221011800871866	0.12710665334664	0	0.155306082004946	0.0542432212868643	0.430255888383668	0.0884406688973622	0.20636119288852	0.476481609083188	0.462344509848066	0.510613014708291	0.622778888622852	0.547206950765961	0.42308444337053	0.469074533359843	0.710784527180922	0.894923812754762	0.988424457449851	0.992265717509234	0.69507472644605	0.767420436695305	1	0.851737728021136	0.465610674812373	0.543468216585759	0.515352446435898	0.179214940264934	0.499480005697976	0.555788425883023	0.440068232694146	0.558264878499581	0.498918374194825	0.282688599391529	0.584593479786362	0.376675424858554	0.537245194512195	0.553499170640553	0.718230272571922
Pcer_025493	0.974709345913179	0.920600670240715	0.926996455175579	0.932858586202605	0.922903674232826	0.952052833221311	1	0.938081939297994	0.00939750405841254	0.0110807190821826	0.0109556729081159	0	0.103306469392172	0.120579105632446	0.01744375037267	0.0991441415241344	0.554760402415882	0.53242931133675	0.619443034081971	0.725738814805177	0.645648433205472	0.655921367506411	0.618795410467028	0.568014089428596	0.655418586747531	0.704251468426331	0.589736707934097	0.698008648625827	0.640890590923205	0.659101164376597	0.644912929349555	0.640345540028001	0.552671023692832	0.521464488769698	0.736547061864837	0.821378720168079	0.708214830749747	0.736004185050557	0.660979984926755	0.674819299832332	0.700780710669354	0.772135700827058	0.832530171033806	0.739359352660382	0.648257605345908	0.876522719805955
Pcer_025521	0.30127434504752	0.429382152360659	0.481919194393799	0.667191519252837	0.511358901790542	0.452841968825422	0.363873532236754	0.46841276393489	0.146835085638308	0.0500203881509836	0.0711282126107155	0	0.0263632866390882	0.127926993304762	0.108591111801257	0.151898588441296	0.281471019289073	0.444012368280327	0.572228260570044	0.409313056723552	0.531617425326293	0.561950669188914	0.598155763413998	0.34875306416765	0.976508599908412	0.98689207899383	0.919212194845533	0.987273222935514	0.895741123950156	0.96389366857378	1	0.450091943701803	0.590394436745889	0.479976994949535	0.637215189592855	0.581048229725277	0.6840996104189	0.5447604712042	0.689222072702808	0.628926134061598	0.576953278823464	0.564088531426761	0.498135559270761	0.585208153109914	0.740545548038208	0.565518622695435
Pcer_037435	0.616033529829056	0.539296353627847	0.680077112027282	0.7643481035467	0.766926730597785	0.5453608230238	0.695572281135168	0.653973205356726	0.127402243509057	0.091822063481273	0.23811887469375	0.0836174928227477	0	0.132765618735915	0.183799703535895	0.0361359027254589	0.868714915988405	0.559553496228442	1	0.924740077222453	0.902811239143375	0.538697732394364	0.797635644738235	0.494896735517644	0.443059745376413	0.443518527935922	0.639428895751791	0.606362780276964	0.469502536845735	0.470040951406757	0.370797985674287	0.0974488071940989	0.261675133523983	0.269651960359956	0.490963615421365	0.276571889417405	0.3353242247719	0.126273141140484	0.260160072283082	0.393768599261343	0.383896369101807	0.335618671232968	0.278281774603413	0.445875552038368	0.442271552496935	0.41080492716031
Pcer_037802	0.637499035098637	0.724470342640274	0.676348502125108	0.705509187495282	0.573800105527293	0.542982635205722	0.493572617460071	0.642187027528144	0.0856359605880215	0.0704213042275192	0.132565427157491	0.315409675178675	0.246850937284518	0.236801538320316	0.14653884139201	0.250979225133796	0.263989766836764	0.250730932300335	0.68755261258285	0.5476382013222	0.806348059154449	1	0.948947354653631	0.414297137780087	0.587201670235244	0.432906978319681	0.694018550346492	0.831845531079862	0.826771822808855	0.829518762362183	0.70366314903116	0.233605495477064	0.194826241731086	0.318237934435849	0.558893979276641	0.506435687375429	0.420160527740257	0.300950929765456	0.297757656640961	0.0502820921705292	0	0.442883558193028	0.239101940140667	0.193310169377149	0.115992942361869	0.284583950663275
Pcer_053437	0.456271917114927	0.564863034066902	0.682212952422568	0.731706650646355	0.71992894660944	0.420558072490779	0.604786082715604	0.594755118411724	0	0.0108661177999707	0.181608081503687	0.17414497795172	0.168883382835622	0.0329411601794037	0.0931935939073553	0.129875538943341	0.847609537953723	0.831366378333295	0.796895829062758	1	0.996933712831928	0.786802946630263	0.890164608529028	0.857325274131637	0.687061584230787	0.743927900615172	0.833167028916332	0.907217461657869	0.619006317298156	0.725686133491593	0.763133631707224	0.628174280145543	0.730222392926148	0.920201387585765	0.993815587650593	0.787539480005665	0.7321336672482	0.71924114124242	0.756776797957639	0.628444345417386	0.700083433573702	0.624892943937633	0.548741893756421	0.482168068954301	0.565428784650976	0.541632808131202
Pcer_053574	0.834599952057802	0.794276283267622	0.786783172284132	0.851148188047303	0.765271488114902	0.954877997164054	0.863294638717933	0.87494366473459	0.190330586046349	0.210794865551963	0.194024013453268	0.1925953994556	0.199505377573068	0.133435040140913	0	0.176578567703221	0.506836240095391	0.376141557719296	0.475503795727939	0.49292451292506	0.577792435081938	0.528802794174557	0.484706887611609	0.516121577499354	0.892076638725551	0.880174585511054	1	0.804719874722593	0.913696617005229	0.953516003811257	0.972967249162336	0.531911986443636	0.515721605429947	0.633129710804583	0.471962507397138	0.545151718119641	0.518837484716108	0.509121587079847	0.533138742565466	0.65703551138387	0.671580671533984	0.697252742029255	0.693347089546109	0.884156430814957	0.845613041897199	0.89645108161742
