27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_001106	0.687915659094137	0.20510436763581	0.449902637317004	0.051851579357096	0.290750857855016	0.532181359582617	0.0803542576945865	0	0.0768552698571178	0.139182610891304	0.268524207555563	0.205065542565093	0.291029108734124	0.19739001525494	0.0982830454811687	0.0814413906789093	0.283340818948526	0.416032083009885	0.276933729785533	0.121328000648988	0.104855765788173	0.370386645386565	0.509462395976545	0.181859522478058	0.464388687867842	0.183454045218091	0.303422522403744	0.407383175233776	0.138828145025694	0.269612759445005	0.053709875217965	0.291693774573637	0.485598803566398	0.370144176586334	0.104629407167072	0.2237753181073	0.0863901059398696	0.151248778244063	0.191792057021054	0.493790925167849	1	0.156449702291733	0.271024317603513	0.313180926662216	0.348246305888307	0.427966210935709
Pcer_004526	0.885703376488816	0.706682247130671	0.636479087147295	0.546522668251558	0.372864812776648	0.664945780729836	0.483678300397704	0.635419780684653	0.345492942970192	0.222059783920293	0.222747440492609	0.38523446013065	0.0550035566139369	0.18704994690043	0.323986871915511	0.331695927617721	0.618824246311877	0.770501710122076	0.612500424271077	0.479069523554483	0.305461564200297	0.552020406928379	0.455702985832977	0.769801675523913	0.547105990978644	0.496919340056183	0.696624419791307	0.876239883981253	0.551598393564662	0.555292479091802	0.399701940741973	0.0921858493455347	0.32496554183779	0.548073142388731	0	0.0994433882721122	0.185244324100956	0.327571770828309	0.360805204181657	0.674909735986398	1	0.457033802701393	0.357694398949227	0.714347335685857	0.706979028869572	0.927613453434979
Pcer_004529	0.539900356279817	0.38816505735316	0.479659772560454	0.316205995870258	0.255347863452987	0.397874263602535	0.309645115455667	0.460345254906787	0.226010968409213	0.122018618359459	0.148333964338657	0.234218436945902	0.0530401295055323	0.210773141803015	0.12718599952344	0.136167195006871	0.338349186673637	0.47299489714598	0.328552808559634	0.293875078840168	0.194999091637003	0.301618690849413	0.303619766485458	0.428731516904116	0.247371344348802	0.256520213310248	0.475575683728452	0.510202107856182	0.110283009431388	0.308425797497615	0.235653691646545	0.127983740835195	0.186430754495578	0.291402404365689	0.00934606432216624	0	0.0947406775766324	0.143870573636454	0.127342551696513	0.618458605118853	1	0.471790370717236	0.452079327939756	0.562477832255155	0.634323183216739	0.768319026690453
Pcer_004530	0.422051759292778	0.446755538671411	0.282004114281313	0.295131113078514	0.170413927832655	0.199418069544877	0.134387351904888	0.0715264652311096	0.20607979818975	0.175932839636442	0.12718713783744	0.13070702876592	0.087061530036507	0.0327508176439376	0.117522112673283	0.0821194040146146	0.132921157084643	0.328393275506839	0.393469255348454	0.244284465237046	0.0222543711797803	0.0945912093762505	0.144928015301737	0.306344128397601	0.226448197016452	0.157880745057905	0.324620271793575	0.471566546538973	0.138937911769668	0.258088843453261	0.124838445654859	0.341826991687278	0.342632443880439	0.40061322684805	0.213378570982138	0.193463892606337	0	0.0762617957937707	0.0908067859088754	0.684901329258639	1	0.699455078899125	0.700763521018063	0.680335213375261	0.782301501703517	0.940611361890788
Pcer_004532	0.424440245960667	0.31653548327107	0.22216122593625	0.265538274688915	0.158431855072012	0.183158468338869	0.147444934224562	0.118006610284006	0.450788395772003	0.450002207923928	0.317454998816343	0.498561451136044	0.330945265249567	0.241180958043537	0.218788073629287	0.258249546028934	0.211035052736626	0.3769420976257	0.254846150283732	0.168057080800345	0.18553641139278	0.0668525665900293	0.227955877431008	0.242282352616034	0.107539229083513	0.146952911467742	0.261426908833346	0.268037608844037	0.0808519090937855	0.199876760437308	0.111790031777064	0.28790212954007	0.224377155761348	0.371246110016337	0.189898169013269	0.101971444332985	0.0803623099192411	0.164241932781722	0	0.733003822472001	1	0.615701297436789	0.545663281132377	0.628964555430561	0.710999790989422	0.837666963502729
Pcer_004751	0.116760950427259	0.128927973758712	0.0473065137130268	0.28406999289784	0.27372940061986	0.315427447745861	0.228914141202429	0.227959971387168	0.293115258638577	0.0541692937956497	0.131566491871078	0.235893895254192	0.496275477460402	0.418044217670347	0.442031044342138	0.333299913466237	0.215252871446053	0.325131100218455	0.203844951212459	0.29743587476532	0.558351906689721	0.518489544498182	0.490511640240322	0.554439737642814	0.108644629802594	0.235767021820764	0	0.0346397588945151	0.34108814032078	0.347276144514874	0.356633860646161	0.316013873364057	0.0437442474542748	0.0627603279522364	0.107529697997618	0.525344898161154	0.29159751216282	0.231677273608672	0.242216525629248	0.533479922242914	0.582078015378358	0.996965199143112	1	0.89940374279745	0.922587418585307	0.885157569567002
Pcer_004896	0.0799709128261797	0.0571066508741903	0	0.0615333086662146	0.13034412375622	0.0172723700960668	0.0396098550106253	0.1068422771919	0.100746905464624	0.162797167805533	0.0625773961645214	0.190141311973648	0.214866830980353	0.101043516329773	0.110870172883486	0.0677692828919153	0.154286165771448	0.119827346269986	0.120226440943391	0.176118117247243	0.249484508988356	0.00922989648577491	0.117039543202241	0.02026677480575	0.140853071883505	0.0966303752898466	0.087590652457661	0.066837118257064	0.112718267007258	0.0222754991231013	0.118142953287526	0.226690131886192	0.148908013355483	0.118398851436396	0.0966525099188126	0.198595583985775	0.157255837434115	0.250510370841408	0.202395329466491	0.803648818220927	0.855364486543284	0.919540326524041	1	0.816873742711129	0.804431382739746	0.871920094852809
Pcer_004897	0.108104673362673	0.119331199445424	0.116233280977242	0.18515956234737	0.196644367501756	0.166027412457243	0.11706046875082	0.120494030026667	0.328329712934643	0.354670740708028	0.202281025564809	0.391988099989042	0.467973217942493	0.190075111372233	0.0341358327375751	0.0926838595111201	0.397290870083971	0.206708569641116	0.0905712781330622	0.283423448326582	0.42676522196715	0.0940152103387375	0	0.193898278902723	0.264505212902443	0.303884005610932	0.199467466874502	0.116843957326104	0.276895977690638	0.130085849154706	0.274555043662074	0.501800116383647	0.335286719650299	0.178334723317917	0.218111187370361	0.473412715360364	0.369085935698948	0.434471444747474	0.400526823716683	0.582684263762941	0.78350541164543	0.788206103833828	0.862496128432942	1	0.963446306317636	0.986237378636909
Pcer_004943	0.223262848358481	0.056355528273121	0.244552554050511	0.196341570087894	0.135651750153692	0.188958345874503	0.237562125450048	0.349805469635417	0.140256617243623	0	0.244848374245398	0.018441673187878	0.0218632726632683	0.281509265156195	0.216447967441458	0.0232758882298389	0.447199006882299	0.406821713391615	0.414150153205188	0.331906895143008	0.255259339208618	0.230150595122614	0.32427351325746	0.483709915217041	0.356486341268024	0.320967450611161	0.420783118898436	0.196398960249454	0.218909088850391	0.332616690379656	0.29496116380572	0.300271121451922	0.287957270726837	0.248985783527552	0.0833951282026703	0.231449574079033	0.319094790284285	0.294763772673567	0.326506786779488	0.508368198484405	0.608714293702388	0.599861493978007	0.582701839748515	0.9874060013621	1	0.830313625663557
Pcer_005100	0.0937800282353177	0.0294487716889516	0.103973531163576	0.103636550648585	0.0961574859918465	0.0427967492697542	0.0820645673801594	0.125306655534083	0.0430312981706854	0.0266269553950481	0.089517133757608	0.116528065937518	0.0607114246822959	0.118626225607357	0.0708657628584549	0.0960979275915817	0.0967389387794615	0.0946530835017582	0.106771188494275	0.104396047538808	0.103005127149156	0.0831795766874535	0.139280313617804	0.0170010904631235	0.00746674483845532	0.0115744947320585	0.00262184883218611	0	0.0107926149610743	0.0282736313597274	0.0365673757380408	0.119603402888352	0.0574514200313292	0.103280569314702	0.0810923002417185	0.101009549408254	0.0863911649931236	0.0688666248817136	0.0932445779006747	0.846932456309635	0.81111177531782	0.896305127604365	0.913406057888034	0.945230034801548	1	0.976480457746588
