27_02_19_6_12_19_R1	27_02_19_6_12_19_R2	27_02_19_6_12_19_R3	27_02_19_6_29_19_R2	27_02_19_6_29_19_R3	27_02_19_7_18_19_R1	27_02_19_7_18_19_R2	27_02_19_7_18_19_R3	27_03_08_6_12_19_R1	27_03_08_6_12_19_R2	27_03_08_6_12_19_R3	27_03_08_6_29_19_R2	27_03_08_6_29_19_R3	27_03_08_7_18_19_R1	27_03_08_7_18_19_R2	27_03_08_7_18_19_R3	27_03_25_6_12_19_R1	27_03_25_6_12_19_R2	27_03_25_6_12_19_R3	27_03_25_6_29_19_R2	27_03_25_6_29_19_R3	27_03_25_7_18_19_R1	27_03_25_7_18_19_R2	27_03_25_7_18_19_R3	27_03_46_6_12_19_R1	27_03_46_6_12_19_R2	27_03_46_6_12_19_R3	27_03_46_6_29_19_R2	27_03_46_7_18_19_R1	27_03_46_7_18_19_R2	27_03_46_7_18_19_R3	27_04_12_6_12_19_R1	27_04_12_6_12_19_R2	27_04_12_6_12_19_R3	27_04_12_6_29_19_R2	27_04_12_6_29_19_R3	27_04_12_7_18_19_R1	27_04_12_7_18_19_R2	27_04_12_7_18_19_R3	27_04_34_6_12_19_R1	27_04_34_6_12_19_R3	27_04_34_6_29_19_R2	27_04_34_6_29_19_R3	27_04_34_7_18_19_R1	27_04_34_7_18_19_R2	27_04_34_7_18_19_R3
Pcer_000118	0.367290461207269	0.0564449613219754	0	0.215325873117394	0.0994390388302047	0.524599301496748	0.752891250852289	0.713457989443753	0.263410298076769	0.620719416491113	0.491987738700614	0.206389258595568	0.474402856662802	0.416969626685003	0.719321577660896	0.787796465609129	0.52011791494938	0.651558346128989	0.574291864179169	0.253890122014889	0.312848992198159	1	0.91241422635007	0.850633041951852	0.478996057253303	0.658167918028917	0.21318152713151	0.166744723304355	0.782046735447674	0.665295578744944	0.689411229893743	0.622337404328802	0.323661192749774	0.498707973123129	0.386477153127494	0.433579573385486	0.531243002041272	0.506252406631432	0.602033277925409	0.327482961062034	0.300935590801862	0.24515553251019	0.244330016867425	0.581555652092467	0.539193596338279	0.728154458611015
Pcer_000125	0.249594907674974	0.337861717743614	0.409160930574949	0.323027331565143	0.46290392253399	0.981553179414639	0.88733767216714	0.762292816234266	0.176100424723949	0.13394527101979	0.141567607621424	0.475182905698698	0.313383710659377	0.795084842114025	0.783494014549602	0.809261985252766	0.0531853512958862	0	0.173980785600564	0.239287177415771	0.00262152654403038	0.181398740968216	0.114592549999448	0.161916082851406	0.292779191643494	0.241017271206345	0.19565971312163	0.302902626507471	0.543840943425473	0.679333596627737	0.591272233975385	0.543797145463557	0.480312413166543	0.328199256177754	0.700359198344041	0.689426318190495	0.842907982316769	1	0.944139755741132	0.336262049224701	0.439213942156812	0.484105478602381	0.505954546838911	0.841440098532998	0.754925415214941	0.857011413207107
Pcer_000142	0.206048970688525	0.0589159702994047	0.0757237636298174	0	0.0481978447657363	0.457503820773524	0.441150324365295	0.410194950593363	0.296105780550665	0.375003796167121	0.161490056631171	0.221375240401569	0.152627203357203	0.37005076884538	0.439891567032682	0.457004415790665	0.148089305743727	0.257352828492878	0.155318720405479	0.339175383254963	0.283255761583711	0.553371150117059	0.721132922440395	0.615457222850274	0.560118414259686	0.515243469205372	0.615608965723098	0.42542051314365	0.852745111365227	0.822159710600847	0.895356422596936	0.351262122019239	0.147094305821978	0.224855730940979	0.0820592487621325	0.240282734610137	0.661416048404608	0.760527583649829	0.637138369968948	0.452898092952892	0.466277450450352	0.349137068819085	0.35715514124711	0.848944895264489	1	0.847900983421638
Pcer_000152	0.529206299029835	0	0.163766431205313	0.554181615228369	0.234513289732242	0.759682950344966	0	0.721215962930674	0.807383632709024	0.725885052584692	0.211240893370916	0.27687055799078	0.554317573607751	1	0	0	0.514056822283844	0.29402889560496	0.26358500174129	0.927843912399273	0.278843155276602	0.87385491272353	0.336282057945122	0.311619596120364	0.705046379037293	0.701362838239299	0.616493118838899	0.630530822046027	0.894104274161839	0.4104031171069	0.850279816075284	0.582476234559648	0	0	0.748689419858082	0.801346560441046	0.732612778569897	0.452672149466028	0.86955326942853	0.20652254203156	0.65238722615343	0.320606322392228	0.273642171880087	0.408432282144432	0.754775338240203	0.353020063173086
Pcer_000250	0.0998387947821533	0.634004796058385	0.331019467619722	0.162621627587638	0.102187913721875	0.508857402169237	0.6930435204649	0.71334918231264	0.108021279223421	0	0.179249318337056	0.116063797680802	0.335069032204126	0.380417311860328	0.606887390196204	0.439727701081429	0.293397794705083	0.517034112685184	0.664767906872715	0.876372980029763	0.384293618613957	1	0.519429589961062	0.24866194729923	0.163535571704349	0.515940535407016	0.364171608318257	0.277380383806159	0.446536366505477	0.180684816663423	0.178073130162038	0.399319146295031	0.320722021004115	0.361834063323771	0.103366136826356	0.63531546395502	0.727313311263764	0.71249821678337	0.669211953369819	0.163939610109528	0.101053477489458	0.158549739744003	0.29884508021624	0.569090046722731	0.363833594335425	0.390466944181226
Pcer_000351	0.325047622248412	0.12094574131222	0.119890794279662	0.439307946494728	0.343482902711578	0.69822719978484	0.770670119264633	0.657671443148716	0.235559441466954	0.249651561491446	0.227571200446998	0.367923742622274	0.3828389533426	0.88862302381248	0.792874739019864	0.789953956646978	0.499613210950089	0.58547825245433	0.359620072916041	0.626060662697384	0.570447003472096	0.857414439068357	0.734892657995887	1	0.398349570217114	0.262007569932615	0.19592718595314	0.349412370751515	0.750902597999754	0.699927626685502	0.727079503249943	0.0422712017400625	0.205939190253856	0	0.318511548462533	0.461113393154429	0.72783652455903	0.600087332471341	0.774338318081939	0.305722200521236	0.355666211114606	0.35985641512647	0.527722687718735	0.521392403647343	0.676723769211043	0.656683714008669
Pcer_000375	0.509405618525542	0.433627269409799	0.231492633067987	0.428577162396768	0	0.573036544250092	0.485364968178505	0.356881954761016	0.099003919122809	0.340496514988241	0.100364531515991	0.530454891612248	0.248106730457044	0.535405875455073	0.456746724239037	0.54436719485224	0.264646194239675	0.315212558020808	0.292564856048658	0.588548405355534	0.254010426822559	0.788865153648979	0.72096969172187	0.514238401969663	0.642433452113224	0.700214107837111	0.638449278505692	0.654756976905787	0.875289484100687	0.985280108185888	1	0.361918099297863	0.637989012870173	0.528456327211702	0.453035315085349	0.569816134382112	0.69288655458407	0.781604404922	0.72560691570651	0.405032889278382	0.371605445686213	0.416819259609829	0.633027559672804	0.659714553858005	0.863505097677604	0.956473163528362
Pcer_000379	0.339299431122673	0.173792058311924	0.326833484698058	0.318675134415111	0.326905184456135	0.633677951744029	0.412777369297935	0.448798613742427	0.237569615573312	0.209396345771153	0.154721430721187	0.299388905154137	0	0.381565117122761	0.310168588588842	0.312905119702076	0.431045548319837	0.48001689249747	0.425843181923598	0.35034847719759	0.295369965937365	0.59059970616722	0.479022589280909	0.468068229910185	0.43922999569261	0.518480114959055	0.503986574701374	0.823943284645552	0.757908130547583	0.846767402589499	0.664340939122034	0.481891033627604	0.48188273495686	0.348885107051635	0.56121966275681	0.580439510405324	0.399165126123106	0.471486819491195	0.662030064676855	0.333247754760074	0.517186370290029	0.605051780905687	0.548613573153606	0.934685929546669	0.865467457700748	1
Pcer_000428	0.0220846595795634	0	0.1265567689627	0.0392370915816309	0.238660738161533	0.551292410356271	0.569589254951776	0.372890054264633	0.503215604458279	0.549434984422041	0.47795267324313	0.620957333445964	0.688860554406019	0.898817231483709	0.920410559841683	0.924444672549246	0.00987397843205306	0.0704624659852112	0.148201652703213	0.341696978814498	0.240873283608033	0.41491994102661	0.591335307529173	0.490791363821106	0.284587986299271	0.227578526391737	0.258020055659278	0.289064059211091	0.742618982853641	0.645047306535732	0.667984861077145	0.577246196583255	0.579867448758568	0.4357637003864	0.812456570549808	0.728389974370666	0.931171893003917	1	0.935638798006798	0.320356474717824	0.254725915103978	0.3117874310375	0.442306833298181	0.585101601209062	0.592818226210916	0.596834079560159
Pcer_000471	0.198672977389823	0.329578481385737	0.279981912449275	0.253697171220751	0.246445421859558	0.395501489169276	0.445274492548649	0.426550846512029	0.178250918701274	0.23070003750927	0.111842931573973	0.172303987041978	0.0465519400990017	0.0433952216027696	0.0953317165576279	0.185554355089198	0	0.0693575358894164	0.169254895447234	0.130198220065979	0.0591001777986424	0.366741636589218	0.633495276222558	0.317741099214275	0.173978974068392	0.342072225935666	0.315498317935721	0.219853762995006	1	0.967839870319819	0.825798842678437	0.563110140222657	0.37454918929228	0.289505786212212	0.210585098826095	0.410200905994508	0.847824831934129	0.884466505578204	0.927762021424704	0.38313904055219	0.0697756138489757	0.0546152769434757	0.217925944645026	0.431914826634533	0.738749519668864	0.633463678783023
