year	date	julian_day	Julian_days_since_Jun_1st	source	stage	bloom_group	individual
2018-19	6/14/18	165	13	6_14_18_27-02-19_0095B_bud1_slide_1_1_scale	1	late	2
2018-19	6/14/18	165	13	6_14_18_27-02-19_0095C_bud1_slide_1_1_scale	1	late	2
2018-19	6/14/18	165	13	0088A_6_14_18_27-04-12_slide_3_3_scale	1	late	3
2018-19	6/14/18	165	13	0088B_6_14_18_27-04-12_slide_2_3_scale	1	late	3
2018-19	6/14/18	165	13	0089A_6_14_18_27-03-46_bud_2_slide_1_2_scale	1	early	2
2018-19	6/14/18	165	13	0089A_6_14_18_27-03-46_slide_4_3_scale	1	early	2
2018-19	6/14/18	165	13	6_14_18_27-04-34_0094B_bud1_slide_1_2_scale	1	early	3
2018-19	6/14/18	165	13	6_14_18_27-04-34_0094B_bud2_slide_2_1_scale	1	early	3
2018-19	8/8/18	220	68	8_8_18_27-02-19_0100B_bud1_slide_2_2_scale	5	late	2
2018-19	8/8/18	220	68	8_8_18_27-02-19_0100C_bud1_slide_1_1_scale	5	late	2
2018-19	8/8/18	220	68	0091A_8_8_18_27-04-12_slide_2_2_scale	6	late	3
2018-19	8/8/18	220	68	0091B_8_8_18_27-04-12_slide_3_1_scale	6	late	3
2018-19	8/8/18	220	68	0092A_8_8_18_27-03-46_bud_2_slide_1_1_scale	8	early	2
2018-19	8/8/18	220	68	0092A_8_8_18_27-03-46_slide_1_2_scale	8	early	2
2018-19	8/8/18	220	68	8_8_18_27-04-34_0099A_bud1_slide_1_1_scale	9	early	3
2018-19	8/8/18	220	68	8_8_18_27-04-34_0099C_bud1_slide_1_1_scale	7	early	3
2018-19	9/20/18	263	111	9_20_18_27-03-08_0107B_bud1_slide_5_2_scale	10	late	1
2018-19	9/20/18	263	111	9_20_18_27-03-08_0107C_bud1_slide_6_1_scale	10	late	1
2018-19	9/20/18	263	111	9_20_18_27-02-19_0106A_bud1_slide_2_1_scale	9	late	2
2018-19	9/20/18	263	111	9_20_18_27-02-19_0106C_bud2_slide_6_2_scale	10	late	2
2018-19	9/20/18	263	111	0103A_9_20_18_27-04-12_slide_2_1_scale2	10	late	3
2018-19	9/20/18	263	111	0103C_9_20_18_27-04-12_slide_1_1_scale	10	late	3
2018-19	9/20/18	263	111	9_20_18_27-03-25_0108C_bud1_slide_4_1_scale	11	early	1
2018-19	9/20/18	263	111	9_20_18_27-03-25_0108C_bud2_slide_8_1_scale	10	early	1
2018-19	9/20/18	263	111	0104A_9_20_18_27-03-46_slide_1_2_scale	11	early	2
2018-19	9/20/18	263	111	0104B_9_20_18_27-03-46_slide_3_1_scale	11	early	2
2018-19	9/20/18	263	111	9_20_18_27-04-34_0105A_bud1_slide_3_1_scale	11	early	3
2018-19	9/20/18	263	111	9_20_18_27-04-34_0105B_bud1_slide_3_1_scale	11	early	3
2018-19	10/30/18	303	151	10_30_18_27-02-19_0117A_bud1_slide_3_2_scale	11	late	2
2018-19	10/30/18	303	151	10_30_18_27-02-19_0117B_bud1_slide_2_1_scale	11	late	2
2018-19	10/30/18	303	151	0114A_10_30_18_27-04-12_slide_1_1_scale	11	late	3
2018-19	10/30/18	303	151	0114B_10_30_18_27-04-12_slide_1_2_scale	11	late	3
2018-19	10/30/18	303	151	10_30_18_27-03-25_0119B_bud1_slide_7_1_scale	12	early	1
2018-19	10/30/18	303	151	10_30_18_27-03-25_0119A_bud1_slide_2_2_scale	12	early	1
2018-19	10/30/18	303	151	0115A_10_30_18_27-03-46_slide_1_1_scale	12	early	2
2018-19	10/30/18	303	151	0115B_10_30_18_27-03-46_slide_2_1_scale	12	early	2
2018-19	10/30/18	303	151	10_30_18_27-04-34_0116B_bud1_slide_3_1_scale	13	early	3
2018-19	10/30/18	303	151	10_30_18_27-04-34_0116B_bud2_slide_3_2_scale	13	early	3
2018-19	11/28/18	332	180	11_28_18_27-03-08_0126A_bud1_slide1_2_scale	12	late	1
2018-19	11/28/18	332	180	11_28_18_27-03-08_0126B_bud1_slide1_3_scale	11	late	1
2018-19	11/28/18	332	180	11_28_18_27-02-19_0125B_bud1_slide2_1_scale	11	late	2
2018-19	11/28/18	332	180	11_28_18_27-02-19_0125B_bud2_slide1_2_scale	12	late	2
2018-19	11/28/18	332	180	0122A_11_28_18_27-04-12_slide_1_1_scale	11	late	3
2018-19	11/28/18	332	180	0122B_11_28_18_27-04-12_slide_1_1_scale	11	late	3
2018-19	11/28/18	332	180	0123B_11_28_18_27-03-46_slide_1_1_scale2	13	early	2
2018-19	11/28/18	332	180	0123C_11_28_18_27-03-46_slide_2_1_scale	12	early	2
2018-19	11/28/18	332	180	11_28_18_27-04-34_0124A_bud1_slide1_1_scale	13	early	3
2018-19	11/28/18	332	180	11_28_18_27-04-34_0124B_bud1_slide1_1_scale	12	early	3
2018-19	12/27/18	361	209	12_27_18_27-03-08_0295A_bud1_slide3_1_scale	12	late	1
2018-19	12/27/18	361	209	12_27_18_27-03-08_0295B_bud1_slide3_1_scale	11	late	1
2018-19	12/27/18	361	209	12_27_18_27-02-19_0294A_bud1_slide3_1_scale	11	late	2
2018-19	12/27/18	361	209	12_27_18_27-02-19_0294B_bud1_slide4_1_scale	12	late	2
2018-19	12/27/18	361	209	12_27_18_27-04-12_0130B_bud2_slide2_2_scale	12	late	3
2018-19	12/27/18	361	209	0130B_12_27_18_27-04-12_slide1_2_scale	12	late	3
2018-19	12/27/18	361	209	12_27_18_27-03-25_0296A_bud1_slide6_1_scale	13	early	1
2018-19	12/27/18	361	209	12_27_18_27-03-25_0296B_bud1_slide8_1_scale	13	early	1
2018-19	12/27/18	361	209	12_27_18_27-03-46_0131A_bud1_slide11_2_scale	13	early	2
2018-19	12/27/18	361	209	0131B_12_27_18_27-03-46_slide2_1_scale	13	early	2
2018-19	12/27/18	361	209	12_27_18_27-04-34_0132B_bud1_slide7_2_scale	13	early	3
2018-19	12/27/18	361	209	12_27_18_27-04-34_0132B_bud2_slide10_1_scale	13	early	3
2018-19	2/21/19	416	264	2_21_19_27-03-08_0284B_bud1_slide2_1_scale	11	late	1
2018-19	2/21/19	416	264	2_21_19_27-03-08_0284B_bud2_slide4_1_scale	11	late	1
2018-19	2/21/19	416	264	2_21_19_27-02-19_0283A_bud1_slide3_1_scale	11	late	2
2018-19	2/21/19	416	264	2_21_19_27-02-19_0283B_bud1_slide4_1_scale	11	late	2
2018-19	2/21/19	416	264	0134B_2_21_19_27-04-12_slide1_1_scale	12	late	3
2018-19	2/21/19	416	264	2_21_19_27-03-25_0285A_bud1_slide12_1_scale	13	early	1
2018-19	2/21/19	416	264	2_21_19_27-03-25_0285B_bud1_slide1_1_scale	13	early	1
2018-19	2/21/19	416	264	0135B_2_21_19_27-03-46_slide1_1_scale	13	early	2
2018-19	2/21/19	416	264	0135A_2_21_19_27-03-46_slide4_1_scale	13	early	2
2018-19	2/21/19	416	264	2_21_19_27-04-34_0282B_bud1_slide5_1_scale	13	early	3
2018-19	3/18/19	442	290	3_18_19_27-03-08_0288A_bud1_slide3_1_scale	10	late	1
2018-19	3/18/19	442	290	3_18_19_27-03-08_0288B_bud1_slide4_1_scale	10	late	1
2018-19	3/18/19	442	290	3_18_19_27-02-19_0287A_bud1_slide5_1_scale	11	late	2
2018-19	3/18/19	442	290	3_18_19_27-02-19_0287B_bud1_slide5_1_scale	10	late	2
2018-19	3/18/19	442	290	3_18_19_27-04-12_0137B_bud1_slide1_1_scale	12	late	3
2018-19	3/18/19	442	290	0137A_3_18_19_27-04-12_slide1_1_scale	13	late	3
2018-19	3/18/19	442	290	3_18_19_27-03-25_0289A_bud2_slide3_1_scale	13	early	1
2018-19	3/18/19	442	290	3_18_19_27-03-25_0289B_bud2_slide14_2_scale	13	early	1
2018-19	3/18/19	442	290	3_18_19_27-03-46_0138B_bud1_slide3_2_scale	12	early	2
2018-19	3/18/19	442	290	0138A_3_18_19_27-03-46_slide1_1_scale	13	early	2
2018-19	3/18/19	442	290	3_18_19_27-04-34_0286A_bud1_slide4_1_scale	13	early	3
2018-19	3/18/19	442	290	3_18_19_27-04-34_0286B_bud1_slide4_1_scale	13	early	3
2018-19	4/5/18	460	308	4_5_19_27-03-08_0301A_bud1_slide5_1_scale	13	late	1
2018-19	4/5/18	460	308	4_5_19_27-03-08_0301B_bud1_slide6_1_scale	13	late	1
2018-19	4/5/18	460	308	4_5_19_27-02-19_0297A_bud1_slide6_1_scale	12	late	2
2018-19	4/5/18	460	308	4_5_19_27-02-19_0297C_bud1_slide4_1_scale	11	late	2
2018-19	4/5/18	460	308	4_5_19_27-04-12_0298A_bud1_slide6_1_scale	13	late	3
2018-19	4/5/18	460	308	4_5_19_27-04-12_0298B_bud1_slide4_2_scale	13	late	3
2018-19	4/5/18	460	308	4_5_19_27-03-25_0302A_bud1_slide5_1_scale	14	early	1
2018-19	4/5/18	460	308	4_5_19_27-03-25_0302B_bud1_slide17_1_flower_2_scale	14	early	1
2018-19	4/5/18	460	308	4_5_19_27-03-46_0299A_bud1_slide4_3_scale	14	early	2
2018-19	4/5/18	460	308	4_5_19_27-03-46_0299B_bud1_slide7_1_scale	14	early	2
2018-19	4/5/18	460	308	4_5_19_27-04-34_0300A_bud1_slide7_1_scale	14	early	3
2018-19	4/5/18	460	308	4_5_19_27-04-34_0300B_bud1_slide4_1_scale	14	early	3
2018-19	4/15/18	470	318	4_15_19_27-03-08_0292B_bud1_slide5_2_scale	14	late	1
2018-19	4/15/18	470	318	4_15_19_27-03-08_0292C_bud1_slide5_1_scale	14	late	1
2018-19	4/15/18	470	318	4_15_19_27-02-19_0290A_bud1_slide13_1_scale	14	late	2
2018-19	4/15/18	470	318	4_15_19_27-02-19_0290B_bud1_slide4_1_scale	10	late	2
2018-19	4/15/18	470	318	4_15_19_27-04-12_0143C_bud1_slide2_1_scale	14	late	3
2018-19	4/15/18	470	318	0143B_4_15_19_27-04-12_slide2_1_scale	14	late	3
2018-19	4/15/18	470	318	4_15_19_27-03-25_0293A_bud1_slide8_2_scale	17	early	1
2018-19	4/15/18	470	318	4_15_19_27-03-25_0293C_bud1_slide5_1_scale	17	early	1
2018-19	4/15/18	470	318	4_15_19_27-03-46_0144B_bud1_slide6_1_scale	16	early	2
2018-19	4/15/18	470	318	0144C_4_15_19_27-03-46_slide4_1_scale	16	early	2
2018-19	4/15/18	470	318	4_15_19_27-04-34_0291A_bud1_slide5_1_scale	16	early	3
2018-19	4/15/18	470	318	4_15_19_27-04-34_0291C_bud1_slide11_1_scale	15	early	3
2019-20	6/7/19	158	6	27-03-08_6_7_2019_0173A_bud2_slide4_2_scale	1	late	1
