bloom,tree,Source,Length,Comment,Collection,Days_from_Jan_1st,GDDs_from_Jan_1st_2018_C,Days_from_bloom_date_2018,GDDs_from_bloom_date_2018_C
early,27-03-25,bud10_flower.tif,0.030899103,p,20_Sep,262,2295,137,2111
early,27-03-25,bud1_flower.tif,0.02380196,p,20_Sep,262,2295,137,2111
early,27-03-25,bud2_flower.tif,0.027619997,p,20_Sep,262,2295,137,2111
early,27-03-25,bud3_flower.tif,0.030018813,p,20_Sep,262,2295,137,2111
early,27-03-25,bud4_flower.tif,0.036408414,p,20_Sep,262,2295,137,2111
early,27-03-25,bud5_flower.tif,0.027080031,p,20_Sep,262,2295,137,2111
early,27-03-25,bud6_flower.tif,0.032987593,p,20_Sep,262,2295,137,2111
early,27-03-25,bud7_flower.tif,0.034669557,p,20_Sep,262,2295,137,2111
early,27-03-25,bud8_flower.tif,0.02519739,p,20_Sep,262,2295,137,2111
early,27-03-25,bud9_flower.tif,0.027096582,p,20_Sep,262,2295,137,2111
early,27-03-46,bud10_flower.tif,0.016856672,p,20_Sep,262,2295,137,2111
early,27-03-46,bud1_flower.tif,0.027701207,p,20_Sep,262,2295,137,2111
early,27-03-46,bud2_flower.tif,0.019169098,p,20_Sep,262,2295,137,2111
early,27-03-46,bud3_flower'.tif,0.02833141,p,20_Sep,262,2295,137,2111
early,27-03-46,bud3_flower.tif,0.023197356,p,20_Sep,262,2295,137,2111
early,27-03-46,bud5_flower.tif,0.022723443,p,20_Sep,262,2295,137,2111
early,27-03-46,bud6_flower.tif,0.018860718,p,20_Sep,262,2295,137,2111
early,27-03-46,bud7_flower.tif,0.018940544,p,20_Sep,262,2295,137,2111
early,27-03-46,bud8_flower.tif,0.0202312,p,20_Sep,262,2295,137,2111
early,27-03-46,bud9_flower.tif,0.024683795,p,20_Sep,262,2295,137,2111
early,27-04-34,bud10_flower.tif,0.022859322,p,20_Sep,262,2295,136,2105
early,27-04-34,bud11_flower.tif,0.018954671,p,20_Sep,262,2295,136,2105
early,27-04-34,bud1_flower.tif,0.016215549,p,20_Sep,262,2295,136,2105
early,27-04-34,bud2_flower.tif,0.017971578,p,20_Sep,262,2295,136,2105
early,27-04-34,bud3_flower.tif,0.019384653,p,20_Sep,262,2295,136,2105
early,27-04-34,bud4_flower.tif,0.014389253,p,20_Sep,262,2295,136,2105
early,27-04-34,bud5_flower.tif,0.012784072,p,20_Sep,262,2295,136,2105
early,27-04-34,bud6_flower.tif,0.017585432,p,20_Sep,262,2295,136,2105
early,27-04-34,bud7_flower.tif,0.013731065,p,20_Sep,262,2295,136,2105
early,27-04-34,bud8_flower.tif,0.017340465,p,20_Sep,262,2295,136,2105
early,27-04-34,bud9_flower.tif,0.017930965,p,20_Sep,262,2295,136,2105
late,27-02-19,bud10_flower.tif,0.019481598,p,20_Sep,262,2295,127,2021
late,27-02-19,bud1_flower.tif,0.021782272,p,20_Sep,262,2295,127,2021
late,27-02-19,bud2_flower.tif,0.024254261,p,20_Sep,262,2295,127,2021
late,27-02-19,bud3_flower.tif,0.020184429,p,20_Sep,262,2295,127,2021
late,27-02-19,bud4_flower.tif,0.024590302,p,20_Sep,262,2295,127,2021
late,27-02-19,bud5_flower.tif,0.021869028,p,20_Sep,262,2295,127,2021
late,27-02-19,bud6_flower.tif,0.024947208,p,20_Sep,262,2295,127,2021
late,27-02-19,bud7_flower.tif,0.023109964,p,20_Sep,262,2295,127,2021
late,27-02-19,bud8_flower.tif,0.018868818,p,20_Sep,262,2295,127,2021
late,27-02-19,bud9_flower2.tif,0.021277112,p,20_Sep,262,2295,127,2021
late,27-03-08,bud10_flower.tif,0.016683941,p,20_Sep,262,2295,130,2055
late,27-03-08,bud1_flower.tif,0.011838255,p,20_Sep,262,2295,130,2055
late,27-03-08,bud2_flower.tif,0.010089505,p,20_Sep,262,2295,130,2055
late,27-03-08,bud3_flower.tif,0.01685839,p,20_Sep,262,2295,130,2055
late,27-03-08,bud4_flower.tif,0.011102771,p,20_Sep,262,2295,130,2055
late,27-03-08,bud5_flower.tif,0.010356954,p,20_Sep,262,2295,130,2055
late,27-03-08,bud6_flower.tif,0.015445167,p,20_Sep,262,2295,130,2055
late,27-03-08,bud7_flower.tif,0.012156155,p,20_Sep,262,2295,130,2055
late,27-03-08,bud8_flower.tif,0.009553392,p,20_Sep,262,2295,130,2055
late,27-03-08,bud9_flower.tif,0.009699881,p,20_Sep,262,2295,130,2055
late,27-04-12,bud8_flower.tif,0.012412951,p,20_Sep,262,2295,128,2033
late,27-04-12,bud10_flower.tif,0.013599595,p,20_Sep,262,2295,128,2033
late,27-04-12,bud9_flower.tif,0.014516101,p,20_Sep,262,2295,128,2033
late,27-04-12,bud3_flower.tif,0.014950282,p,20_Sep,262,2295,128,2033
late,27-04-12,bud5_flower.tif,0.016563083,p,20_Sep,262,2295,128,2033
late,27-04-12,bud7_flower.tif,0.017799653,p,20_Sep,262,2295,128,2033
late,27-04-12,bud6_flower.tif,0.018050177,p,20_Sep,262,2295,128,2033
late,27-04-12,bud4_flower.tif,0.018166077,p,20_Sep,262,2295,128,2033
