tree,date,Source,Length [µm],Comment
27-02-08,12_20_19,bud10_flower_e.tif,489.77,
27-02-08,12_20_19,bud9_flower_e.tif,569.78,
27-02-08,12_20_19,bud8_flower_e.tif,465.21,
27-02-08,12_20_19,bud7_flower_e.tif,511.14,
27-02-08,12_20_19,bud6_flower_e.tif,416.41,
27-02-08,12_20_19,bud5_flower_e.tif,512.53,
27-02-08,12_20_19,bud4_flower_e.tif,425.53,
27-02-08,12_20_19,bud3_flower_e.tif,445.01,
27-02-08,12_20_19,bud2_flower_e.tif,429.58,
27-02-08,12_20_19,bud1_flower_e.tif,510.06,
27-02-19,12_20_19,bud10_flower_w.tif,381.1,
27-02-19,12_20_19,bud9_flower_w.tif,330.27,
27-02-19,12_20_19,bud8_flower_w.tif,351.24,
27-02-19,12_20_19,bud7_flower_w.tif,371.05,
27-02-19,12_20_19,bud6_flower_w.tif,446.06,
27-02-19,12_20_19,bud5_flower_e.tif,377.76,
27-02-19,12_20_19,bud4_flower_e.tif,339.75,
27-02-19,12_20_19,bud3_flower_e.tif,382.99,
27-02-19,12_20_19,bud2_flower_e.tif,287.6,
27-02-19,12_20_19,bud1_flower_e.tif,379.59,
27-02-65,12_20_19,bud10_flower_w.tif,338.53,
27-02-65,12_20_19,bud9_flower_w.tif,495.03,
27-02-65,12_20_19,bud8_flower_w.tif,531.49,
27-02-65,12_20_19,bud7_flower_w.tif,494.57,
27-02-65,12_20_19,bud6_flower_w.tif,485.81,
27-02-65,12_20_19,bud5_flower_e.tif,465.54,
27-02-65,12_20_19,bud4_flower_e.tif,545.36,
27-02-65,12_20_19,bud3_flower_e.tif,406.36,
27-02-65,12_20_19,bud2_flower_e.tif,461.65,
27-02-65,12_20_19,bud1_flower_e.tif,523.03,
27-03-08,12_20_19,bud10_flower_w.tif,449.72,
27-03-08,12_20_19,bud9_flower_w.tif,405.96,
27-03-08,12_20_19,bud8_flower_w.tif,348.28,
27-03-08,12_20_19,bud7_flower_w.tif,382.79,
27-03-08,12_20_19,bud6_flower_w.tif,403.22,
27-03-08,12_20_19,bud5_flower_e.tif,425.28,
27-03-08,12_20_19,bud4_flower_e.tif,406.71,
27-03-08,12_20_19,bud3_flower_e.tif,398.11,
27-03-08,12_20_19,bud2_flower_e.tif,442.1,
27-03-08,12_20_19,bud1_flower_e.tif,351.04,
27-03-25,12_20_19,bud10_flower_w.tif,413.74,
27-03-25,12_20_19,bud9_flower_w.tif,502.76,
27-03-25,12_20_19,bud8_flower_w.tif,485.38,
27-03-25,12_20_19,bud7_flower_w.tif,433.47,
27-03-25,12_20_19,bud6_flower_w.tif,495.57,
27-03-25,12_20_19,bud5_flower_e.tif,649.87,
27-03-25,12_20_19,bud4_flower_e.tif,518.49,
27-03-25,12_20_19,bud3_flower_e.tif,441.03,
27-03-25,12_20_19,bud2_flower_e.tif,502.71,
27-03-25,12_20_19,bud1_flower_e.tif,462.65,
27-03-27,12_20_19,bud10_flower_e.tif,452.84,
27-03-27,12_20_19,bud9_flower_e.tif,434,
27-03-27,12_20_19,bud8_flower_e.tif,461.03,
27-03-27,12_20_19,bud7_flower_e.tif,458.06,
27-03-27,12_20_19,bud6_flower_e.tif,428.1,
27-03-27,12_20_19,bud5_flower_e.tif,472.47,
27-03-27,12_20_19,bud4_flower_e.tif,519.26,
27-03-27,12_20_19,bud3_flower_e.tif,472.27,
27-03-27,12_20_19,bud2_flower_e.tif,492.17,
27-03-27,12_20_19,bud1_flower_e.tif,524.55,
27-03-28,12_20_19,bud10_flower_e.tif,474.17,
27-03-28,12_20_19,bud9_flower_e.tif,433.84,
27-03-28,12_20_19,bud8_flower_e.tif,427.57,
27-03-28,12_20_19,bud7_flower_e.tif,406.57,
27-03-28,12_20_19,bud6_flower_e.tif,439.98,
27-03-28,12_20_19,bud5_flower_e.tif,432.26,
27-03-28,12_20_19,bud4_flower_e.tif,493,
27-03-28,12_20_19,bud3_flower_e.tif,488.54,
27-03-28,12_20_19,bud2_flower_e.tif,518.52,
27-03-28,12_20_19,bud1_flower_e.tif,499.71,
27-03-46,12_20_19,bud10_flower_w.tif,381.76,
27-03-46,12_20_19,bud9_flower_w.tif,501.99,
27-03-46,12_20_19,bud8_flower_w.tif,505.27,
27-03-46,12_20_19,bud7_flower_w.tif,484.93,
27-03-46,12_20_19,bud6_flower_w.tif,546.17,
27-03-46,12_20_19,bud5_flower_e.tif,594.93,
27-03-46,12_20_19,bud4_flower_e.tif,526.18,
27-03-46,12_20_19,bud3_flower_e.tif,509.37,
27-03-46,12_20_19,bud2_flower_e.tif,513.37,
27-03-46,12_20_19,bud1_flower_e.tif,524.32,
27-04-12,12_20_19,bud10_flower_e.tif,383.32,
27-04-12,12_20_19,bud9_flower_e.tif,436.14,
27-04-12,12_20_19,bud8_flower_e.tif,355.82,
27-04-12,12_20_19,bud7_flower_e.tif,438.39,
27-04-12,12_20_19,bud6_flower_e.tif,402.45,
27-04-12,12_20_19,bud5_flower_e.tif,392.33,
27-04-12,12_20_19,bud4_flower_e.tif,389.8,
27-04-12,12_20_19,bud3_flower_e.tif,388.89,
27-04-12,12_20_19,bud2_flower_e.tif,370.6,
27-04-12,12_20_19,bud1_flower_e.tif,288.02,
27-04-34,12_20_19,bud10_flower_w.tif,587.04,
27-04-34,12_20_19,bud9_flower_w.tif,490.01,
27-04-34,12_20_19,bud8_flower_w.tif,579.87,
27-04-34,12_20_19,bud7_flower_w.tif,601.18,
27-04-34,12_20_19,bud6_flower_w.tif,480.37,
27-04-34,12_20_19,bud5_flower_e.tif,589.93,
27-04-34,12_20_19,bud4_flower_e.tif,564.88,
27-04-34,12_20_19,bud3_flower_e.tif,503.38,
27-04-34,12_20_19,bud2_flower_e.tif,490.55,
27-04-34,12_20_19,bud1_flower_e.tif,634.95,
