tree,date,Source,Length [µm],Comment
27-03-08,5_16_20,bud30_flower_w.tif,17064.04,FIELD
27-03-08,5_16_20,bud29_flower_w.tif,17022.57,FIELD
27-03-08,5_16_20,bud28_flower_w.tif,17046.27,FIELD
27-03-08,5_16_20,bud27_flower_w.tif,16834.58,FIELD
27-03-08,5_16_20,bud26_flower_w.tif,17223.21,FIELD
27-03-08,5_16_20,bud25_flower_w.tif,17733.33,FIELD
27-03-08,5_16_20,bud24_flower_w.tif,17466.22,FIELD
27-03-08,5_16_20,bud23_flower_w.tif,17180.37,FIELD
27-03-08,5_16_20,bud22_flower_w.tif,17835.53,FIELD
27-03-08,5_16_20,bud21_flower_w.tif,18153.46,FIELD
27-03-08,5_16_20,bud20_flower_w.tif,16105.17,FIELD
27-03-08,5_16_20,bud19_flower_w.tif,17365.41,FIELD
27-03-08,5_16_20,bud18_flower_w.tif,17414.69,FIELD
27-03-08,5_16_20,bud17_flower_w.tif,17088.04,FIELD
27-03-08,5_16_20,bud16_flower_w.tif,17562.15,FIELD
27-03-08,5_16_20,bud15_flower_e.tif,16982.7,FIELD
27-03-08,5_16_20,bud14_flower_e.tif,17867.12,FIELD
27-03-08,5_16_20,bud13_flower_e.tif,16982.96,FIELD
27-03-08,5_16_20,bud12_flower_e.tif,16720.59,FIELD
27-03-08,5_16_20,bud11_flower_e.tif,17843.58,FIELD
27-03-08,5_16_20,bud10_flower_e.tif,17096.9,FIELD
27-03-08,5_16_20,bud9_flower_e.tif,16558.83,FIELD
27-03-08,5_16_20,bud8_flower_e.tif,17985.71,FIELD
27-03-08,5_16_20,bud7_flower_e.tif,17364.6,FIELD
27-03-08,5_16_20,bud6_flower_e.tif,16423.7,FIELD
27-03-08,5_16_20,bud5_flower_e.tif,18404.44,FIELD
27-03-08,5_16_20,bud4_flower_e.tif,17639.39,FIELD
27-03-08,5_16_20,bud3_flower_e.tif,17356.22,FIELD
27-03-08,5_16_20,bud2_flower_e.tif,17108,FIELD
27-03-08,5_16_20,bud1_flower_e.tif,17153.43,FIELD
