Genotype,Source,Length_uM,bloom,GDDs_since_Jan1_2021,Date,normalized_Length
27-02-08,bud10_flower_w.tif,454.57,late,2877,12_29_2021,
27-02-08,bud9_flower_w.tif,533.34,late,2877,12_29_2021,
27-02-08,bud8_flower_w.tif,426.05,late,2877,12_29_2021,
27-02-08,bud7_flower_w.tif,525.77,late,2877,12_29_2021,
27-02-08,bud6_flower_w.tif,499.3,late,2877,12_29_2021,
27-02-08,bud5_flower_e.tif,484.35,late,2877,12_29_2021,
27-02-08,bud4_flower_e.tif,517.88,late,2877,12_29_2021,
27-02-08,bud3_flower_e.tif,493.74,late,2877,12_29_2021,
27-02-08,bud2_flower_e.tif,558.95,late,2877,12_29_2021,
27-02-08,bud1_flower_e.tif,534.37,late,2877,12_29_2021,
27-02-19,bud10_flower_w.tif,414.7,late,2877,12_29_2021,
27-02-19,bud9_flower_w.tif,310.21,late,2877,12_29_2021,
27-02-19,bud8_flower_w.tif,348.42,late,2877,12_29_2021,
27-02-19,bud7_flower_w.tif,394.95,late,2877,12_29_2021,
27-02-19,bud6_flower_w.tif,334.57,late,2877,12_29_2021,
27-02-19,bud5_flower_e.tif,332.75,late,2877,12_29_2021,
27-02-19,bud4_flower_e.tif,446.69,late,2877,12_29_2021,
27-02-19,bud3_flower_e.tif,436.36,late,2877,12_29_2021,
27-02-19,bud2_flower_e.tif,398.42,late,2877,12_29_2021,
27-02-19,bud1_flower_e_scale_corrected.tif,397.34,late,2877,12_29_2021,
27-02-51,bud10_flower_e.tif,518.03,early,2877,12_29_2021,
27-02-51,bud9_flower_e.tif,564.41,early,2877,12_29_2021,
27-02-51,bud8_flower_e.tif,605.28,early,2877,12_29_2021,
27-02-51,bud7_flower_e.tif,616.52,early,2877,12_29_2021,
27-02-51,bud6_flower_e.tif,588.96,early,2877,12_29_2021,
27-02-51,bud5_flower_w.tif,518.22,early,2877,12_29_2021,
27-02-51,bud4_flower_w.tif,611.26,early,2877,12_29_2021,
27-02-51,bud3_flower_w.tif,523.37,early,2877,12_29_2021,
27-02-51,bud2_flower_w.tif,550.92,early,2877,12_29_2021,
27-02-51,bud1_flower_w.tif,568.17,early,2877,12_29_2021,
27-03-08,bud10_flower_w.tif,480.74,late,2877,12_29_2021,
27-03-08,bud9_flower_w.tif,427.13,late,2877,12_29_2021,
27-03-08,bud8_flower_w.tif,399.19,late,2877,12_29_2021,
27-03-08,bud7_flower_w.tif,490.39,late,2877,12_29_2021,
27-03-08,bud6_flower_w.tif,522.1,late,2877,12_29_2021,
27-03-08,bud5_flower_e.tif,472.07,late,2877,12_29_2021,
27-03-08,bud4_flower_e.tif,496.48,late,2877,12_29_2021,
27-03-08,bud3_flower_e.tif,505.87,late,2877,12_29_2021,
27-03-08,bud2_flower_e.tif,493.56,late,2877,12_29_2021,
27-03-08,bud1_flower_e.tif,482.87,late,2877,12_29_2021,
27-03-24,bud10_flower_w.tif,704.05,early,2877,12_29_2021,
27-03-24,bud9_flower_w.tif,772.2,early,2877,12_29_2021,
27-03-24,bud8_flower_w.tif,697.39,early,2877,12_29_2021,
27-03-24,bud7_flower_w.tif,746.73,early,2877,12_29_2021,
27-03-24,bud6_flower_w.tif,766.43,early,2877,12_29_2021,
27-03-24,bud5_flower_e.tif,776.24,early,2877,12_29_2021,
27-03-24,bud4_flower_e.tif,750.55,early,2877,12_29_2021,
27-03-24,bud3_flower_e.tif,721.37,early,2877,12_29_2021,
27-03-24,bud2_flower_e.tif,768.28,early,2877,12_29_2021,
27-03-24,bud1_flower_e.tif,672.77,early,2877,12_29_2021,
27-03-25,bud10_flower_e_scale_corrected.tif,526.84,early,2877,12_29_2021,
27-03-25,bud9_flower_e.tif,550.56,early,2877,12_29_2021,
27-03-25,bud8_flower_e.tif,488.35,early,2877,12_29_2021,
27-03-25,bud7_flower_e.tif,550.16,early,2877,12_29_2021,
27-03-25,bud6_flower_e.tif,505.65,early,2877,12_29_2021,
27-03-25,bud5_flower_e.tif,547.69,early,2877,12_29_2021,
