tree,date,Source,Length [µm],Comment
27-02-08,4_24_20,bud10_flower_w.tif,2902.28,
27-02-08,4_24_20,bud9_flower_w.tif,1629.79,
27-02-08,4_24_20,bud8_flower_w.tif,2058.97,
27-02-08,4_24_20,bud7_flower_w.tif,2061.26,
27-02-08,4_24_20,bud6_flower_w.tif,2058.68,
27-02-08,4_24_20,bud5_flower_e.tif,2407.71,
27-02-08,4_24_20,bud4_flower_e.tif,1654.93,
27-02-08,4_24_20,bud3_flower_e.tif,2219.85,
27-02-08,4_24_20,bud2_flower_e.tif,2195.59,
27-02-08,4_24_20,bud1_flower_e.tif,1957.11,
27-02-19,4_24_20,bud10_flower_w.tif,1098.35,
27-02-19,4_24_20,bud9_flower_w.tif,1635.42,
27-02-19,4_24_20,bud8_flower_w.tif,1505.99,
27-02-19,4_24_20,bud7_flower_w.tif,1384.53,
27-02-19,4_24_20,bud6_flower_w.tif,1916.58,
27-02-19,4_24_20,bud5_flower_e.tif,1367.53,
27-02-19,4_24_20,bud4_flower_e.tif,1159.31,
27-02-19,4_24_20,bud3_flower_e.tif,1682.36,
27-02-19,4_24_20,bud2_flower_e.tif,1597.58,
27-02-19,4_24_20,bud1_flower_e.tif,1411.87,
27-02-65,4_24_20,bud10_flower_w.tif,2774.77,
27-02-65,4_24_20,bud9_flower_w.tif,3383.23,
27-02-65,4_24_20,bud8_flower_w.tif,2625.3,
27-02-65,4_24_20,bud7_flower_w.tif,3839.75,
27-02-65,4_24_20,bud6_flower_w.tif,3019.29,
27-02-65,4_24_20,bud5_flower_e.tif,3433.48,
27-02-65,4_24_20,bud4_flower_e.tif,2773.89,
27-02-65,4_24_20,bud3_flower_e.tif,2775.58,
27-02-65,4_24_20,bud2_flower_e.tif,3226.38,
27-02-65,4_24_20,bud1_flower_e.tif,2309.73,
27-03-08,4_24_20,bud10_flower_w.tif,2275.57,
27-03-08,4_24_20,bud9_flower_w.tif,2221.09,
27-03-08,4_24_20,bud8_flower_w.tif,2046.91,
27-03-08,4_24_20,bud7_flower_w.tif,2473.88,
27-03-08,4_24_20,bud6_flower_w.tif,2232.37,
27-03-08,4_24_20,bud5_flower_e.tif,2014.61,
27-03-08,4_24_20,bud4_flower_e.tif,2417.32,
27-03-08,4_24_20,bud3_flower_e.tif,2357.29,
27-03-08,4_24_20,bud2_flower_e.tif,2163.32,
27-03-08,4_24_20,bud1_flower_e.tif,1936.67,
27-03-25,4_24_20,bud10_flower_w.tif,3530.22,
27-03-25,4_24_20,bud9_flower_w.tif,2605.2,
27-03-25,4_24_20,bud8_flower_w.tif,2820.67,
27-03-25,4_24_20,bud7_flower_w.tif,2990.36,
27-03-25,4_24_20,bud6_flower_w.tif,2362.86,
27-03-25,4_24_20,bud5_flower_e.tif,2756.57,
27-03-25,4_24_20,bud4_flower_e.tif,3385.44,
27-03-25,4_24_20,bud3_flower_e.tif,1991.93,
27-03-25,4_24_20,bud2_flower_e.tif,2641.02,
27-03-25,4_24_20,bud1_flower_e.tif,3386.61,
27-03-27,4_24_20,bud10_flower_w.tif,3040.7,
27-03-27,4_24_20,bud9_flower_w.tif,2805.01,
27-03-27,4_24_20,bud8_flower_w.tif,2528.04,
27-03-27,4_24_20,bud7_flower_w.tif,2534.84,
27-03-27,4_24_20,bud6_flower_w.tif,3010.01,
27-03-27,4_24_20,bud5_flower_e.tif,3213.58,
27-03-27,4_24_20,bud4_flower_e.tif,2709.09,
27-03-27,4_24_20,bud3_flower_e.tif,2443.11,
27-03-27,4_24_20,bud2_flower_e.tif,2674.96,
27-03-27,4_24_20,bud1_flower_e.tif,2750.85,
27-03-28,4_24_20,bud10_flower_w.tif,2829.99,
27-03-28,4_24_20,bud9_flower_w.tif,2683.37,
27-03-28,4_24_20,bud8_flower_w.tif,2867.32,
27-03-28,4_24_20,bud7_flower_w.tif,3089.41,
27-03-28,4_24_20,bud6_flower_w.tif,3071.92,
27-03-28,4_24_20,bud5_flower_e.tif,2832.8,
27-03-28,4_24_20,bud4_flower_e.tif,3008.17,
27-03-28,4_24_20,bud3_flower_e.tif,2957.38,
27-03-28,4_24_20,bud2_flower_e.tif,3279.02,
27-03-28,4_24_20,bud1_flower_e.tif,3087.36,
27-03-46,4_24_20,bud10_flower_w.tif,3586.64,
27-03-46,4_24_20,bud9_flower_w.tif,3291.75,
27-03-46,4_24_20,bud8_flower_w.tif,3085.94,
27-03-46,4_24_20,bud7_flower_w.tif,3187.08,
27-03-46,4_24_20,bud6_flower_w.tif,3223.54,
27-03-46,4_24_20,bud5_flower_e.tif,2950.59,
27-03-46,4_24_20,bud4_flower_e.tif,3085.46,
27-03-46,4_24_20,bud3_flower_e.tif,3584.51,
27-03-46,4_24_20,bud2_flower_e.tif,3518.54,
27-03-46,4_24_20,bud1_flower_e.tif,3027.34,
27-04-12,4_24_20,bud10_flower_w.tif,1491.36,
27-04-12,4_24_20,bud9_flower_w.tif,1287.12,
27-04-12,4_24_20,bud8_flower_w.tif,1534.9,
27-04-12,4_24_20,bud7_flower_w.tif,1346.26,
27-04-12,4_24_20,bud6_flower_w.tif,1238.89,
27-04-12,4_24_20,bud5_flower_e.tif,1347.55,
27-04-12,4_24_20,bud4_flower_e.tif,1416.72,
27-04-12,4_24_20,bud3_flower_e.tif,1465.73,
27-04-12,4_24_20,bud2_flower_e.tif,1365.54,
27-04-12,4_24_20,bud1_flower_e.tif,1386.8,
27-04-34,4_24_20,bud10_flower_w.tif,2485.51,
27-04-34,4_24_20,bud9_flower_w.tif,3486.01,
27-04-34,4_24_20,bud8_flower_w.tif,3462.42,
27-04-34,4_24_20,bud7_flower_w.tif,3300.36,
27-04-34,4_24_20,bud6_flower_w.tif,4004.52,
27-04-34,4_24_20,bud5_flower_e.tif,3826.2,
27-04-34,4_24_20,bud4_flower_e.tif,3705.54,
27-04-34,4_24_20,bud3_flower_e.tif,3468.12,
27-04-34,4_24_20,bud2_flower_e.tif,4028.66,
27-04-34,4_24_20,bud1_flower_e.tif,3045.68,
