tree,date,Source,Length,Comment
27-03-27,5_4_20,bud30_flower_w.tif,11263.31,
27-03-27,5_4_20,bud29_flower_w.tif,11282.16,
27-03-27,5_4_20,bud28_flower_w.tif,11736.77,
27-03-27,5_4_20,bud27_flower_w.tif,11662.78,
27-03-27,5_4_20,bud26_flower_w.tif,11045.89,
27-03-27,5_4_20,bud25_flower_w.tif,11299.89,
27-03-27,5_4_20,bud24_flower_w.tif,11641.69,
27-03-27,5_4_20,bud23_flower_w.tif,12165.33,
27-03-27,5_4_20,bud22_flower_w.tif,12233.49,
27-03-27,5_4_20,bud21_flower_w.tif,11663.91,
27-03-27,5_4_20,bud20_flower_w.tif,11485.6,
27-03-27,5_4_20,bud19_flower_w.tif,11478.83,
27-03-27,5_4_20,bud18_flower_w.tif,11878.41,
27-03-27,5_4_20,bud17_flower_w.tif,11377.67,
27-03-27,5_4_20,bud16_flower_w.tif,11540.27,
27-03-27,5_4_20,bud15_flower_e.tif,11453.81,
27-03-27,5_4_20,bud14_flower_e.tif,10948.18,
27-03-27,5_4_20,bud13_flower_e.tif,11872.16,
27-03-27,5_4_20,bud12_flower_e.tif,10957.44,
27-03-27,5_4_20,bud11_flower_e.tif,11592.47,
27-03-27,5_4_20,bud10_flower_e.tif,10949.58,
27-03-27,5_4_20,bud9_flower_e.tif,11400.7,
27-03-27,5_4_20,bud8_flower_e.tif,11194.82,
27-03-27,5_4_20,bud7_flower_e.tif,11252.38,
27-03-27,5_4_20,bud6_flower_e.tif,11339.69,
27-03-27,5_4_20,bud5_flower_e.tif,11417.98,
27-03-27,5_4_20,bud4_flower_e.tif,12067.33,
27-03-27,5_4_20,bud3_flower_e.tif,10613.84,
27-03-27,5_4_20,bud2_flower_e.tif,11623.85,
27-03-27,5_4_20,bud1_flower_e.tif,11144.46,
