tree,date,Source,Length [µm],Comment
27-03-28,5_4_20,bud30_flower_w.tif,11612.81,
27-03-28,5_4_20,bud29_flower_w.tif,11477.32,
27-03-28,5_4_20,bud28_flower_w.tif,11052.29,
27-03-28,5_4_20,bud27_flower_w.tif,11384.63,
27-03-28,5_4_20,bud26_flower_w.tif,10816.15,
27-03-28,5_4_20,bud25_flower_w.tif,11222.06,
27-03-28,5_4_20,bud24_flower_w.tif,11539.06,
27-03-28,5_4_20,bud23_flower_w.tif,11465.37,
27-03-28,5_4_20,bud22_flower_w.tif,11256.25,
27-03-28,5_4_20,bud21_flower_w.tif,10321.65,
27-03-28,5_4_20,bud20_flower_w.tif,10870.74,
27-03-28,5_4_20,bud19_flower_w.tif,10351.09,
27-03-28,5_4_20,bud18_flower_w.tif,11328.61,
27-03-28,5_4_20,bud17_flower_w.tif,11291.65,
27-03-28,5_4_20,bud16_flower_w.tif,11222.17,
27-03-28,5_4_20,bud15_flower_e.tif,11310.36,
27-03-28,5_4_20,bud14_flower_e.tif,11204.44,
27-03-28,5_4_20,bud13_flower_e.tif,11368.08,
27-03-28,5_4_20,bud12_flower_e.tif,11719.17,
27-03-28,5_4_20,bud11_flower_e.tif,11561.56,
27-03-28,5_4_20,bud10_flower_e.tif,11942.33,
27-03-28,5_4_20,bud9_flower_e.tif,11192.89,
27-03-28,5_4_20,bud8_flower_e.tif,11318.4,
27-03-28,5_4_20,bud7_flower_e.tif,11073.74,
27-03-28,5_4_20,bud6_flower_e.tif,11156.63,
27-03-28,5_4_20,bud5_flower_e.tif,11849.14,
27-03-28,5_4_20,bud4_flower_e.tif,11645.66,
27-03-28,5_4_20,bud3_flower_e.tif,11186.25,
27-03-28,5_4_20,bud2_flower_e.tif,11507.03,
27-03-28,5_4_20,bud1_flower_e.tif,11273.67,
