START	Gene_ID
6188	Pcer_022906-RA
9043	Pcer_022907-RA
10976	Pcer_022908-RA
17965	Pcer_022909-RA
23486	Pcer_022910-RA
25061	Pcer_022911-RA
32341	Pcer_022912-RA
37874	Pcer_022913-RA
44879	Pcer_022914-RA
46368	Pcer_022915-RA
53847	Pcer_022916-RA
62584	Pcer_022917-RA
119163	Pcer_022918-RA
124756	Pcer_022919-RA
133009	Pcer_022920-RA
140265	Pcer_022921-RA
147525	Pcer_022922-RA
156358	Pcer_022923-RA
162077	Pcer_022924-RA
167636	Pcer_022925-RA
173979	Pcer_022926-RA
178291	Pcer_022927-RA
185157	Pcer_022928-RA
187612	Pcer_022929-RA
193414	Pcer_022930-RA
196707	Pcer_022931-RA
203395	Pcer_022932-RA
228295	Pcer_022933-RA
232346	Pcer_022934-RA
235728	Pcer_022935-RA
237386	Pcer_022936-RA
241014	Pcer_022937-RA
249541	Pcer_022938-RA
252466	Pcer_022939-RA
261181	Pcer_022940-RA
267105	Pcer_022941-RA
275372	Pcer_022942-RA
280126	Pcer_022943-RA
282949	Pcer_022944-RA
287249	Pcer_022945-RA
290626	Pcer_022946-RA
295471	Pcer_022947-RA
297495	Pcer_022948-RA
301889	Pcer_022949-RA
316026	Pcer_022950-RA
321132	Pcer_022951-RA
324808	Pcer_022952-RA
326805	Pcer_022953-RA
329937	Pcer_022954-RA
333216	Pcer_022955-RA
336346	Pcer_022956-RA
338837	Pcer_022957-RA
341093	Pcer_022958-RA
345357	Pcer_022959-RA
354212	Pcer_022960-RA
367280	Pcer_022961-RA
372133	Pcer_022962-RA
375959	Pcer_022963-RA
379086	Pcer_022964-RA
382264	Pcer_022965-RA
382987	Pcer_022966-RA
395810	Pcer_022967-RA
399504	Pcer_022968-RA
403178	Pcer_022969-RA
407694	Pcer_022970-RA
415811	Pcer_022971-RA
424081	Pcer_022972-RA
428733	Pcer_022973-RA
441311	Pcer_022974-RA
444816	Pcer_022975-RA
446637	Pcer_022976-RA
447952	Pcer_022977-RA
452854	Pcer_022978-RA
456326	Pcer_022979-RA
463133	Pcer_022980-RA
465883	Pcer_022981-RA
466843	Pcer_022982-RA
473138	Pcer_022983-RA
476397	Pcer_022984-RA
485434	Pcer_022985-RA
491039	Pcer_022986-RA
502546	Pcer_022987-RA
512257	Pcer_022988-RA
514508	Pcer_022989-RA
518683	Pcer_022990-RA
523568	Pcer_022991-RA
526530	Pcer_022992-RA
531366	Pcer_022993-RA
533442	Pcer_022994-RA
538487	Pcer_022995-RA
542634	Pcer_022996-RA
545656	Pcer_022997-RA
557468	Pcer_022998-RA
559873	Pcer_022999-RA
563889	Pcer_023000-RA
577104	Pcer_023001-RA
579822	Pcer_023002-RA
583096	Pcer_023003-RA
585461	Pcer_023004-RA
590957	Pcer_023005-RA
594997	Pcer_023006-RA
602700	Pcer_023007-RA
608502	Pcer_023008-RA
615182	Pcer_023009-RA
615941	Pcer_023010-RA
621625	Pcer_023011-RA
624724	Pcer_023012-RA
629131	Pcer_023013-RA
634200	Pcer_023014-RA
636521	Pcer_023015-RA
643116	Pcer_023016-RA
645073	Pcer_023017-RA
647736	Pcer_023018-RA
648404	Pcer_023019-RA
649249	Pcer_023020-RA
654880	Pcer_023021-RA
659584	Pcer_023022-RA
663347	Pcer_023023-RA
663984	Pcer_023024-RA
667801	Pcer_023025-RA
673075	Pcer_023026-RA
678879	Pcer_023027-RA
684129	Pcer_023028-RA
687030	Pcer_023029-RA
689960	Pcer_023030-RA
695298	Pcer_023031-RA
697993	Pcer_023032-RA
701171	Pcer_023033-RA
703893	Pcer_023034-RA
718084	Pcer_023035-RA
722427	Pcer_023036-RA
725952	Pcer_023037-RA
728575	Pcer_023038-RA
733860	Pcer_023039-RA
738416	Pcer_023040-RA
