chr	pos	cov
Pcer_chr1A	250000	19.7962
Pcer_chr1A	750000	32.2007
Pcer_chr1A	1.25e+06	37.47
Pcer_chr1A	1.75e+06	36.398
Pcer_chr1A	2.25e+06	33.1081
Pcer_chr1A	2.75e+06	32.9366
Pcer_chr1A	3.25e+06	34.6254
Pcer_chr1A	3.75e+06	29.2708
Pcer_chr1A	4.25e+06	36.4063
Pcer_chr1A	4.75e+06	33.271
Pcer_chr1A	5.25e+06	31.1024
Pcer_chr1A	5.75e+06	31.6444
Pcer_chr1A	6.25e+06	44.8944
Pcer_chr1A	6.75e+06	26.5208
Pcer_chr1A	7.25e+06	33.5133
Pcer_chr1A	7.75e+06	32.5592
Pcer_chr1A	8.25e+06	30
Pcer_chr1A	8.75e+06	33.7709
Pcer_chr1A	9.25e+06	34.486
Pcer_chr1A	9.75e+06	35.1778
Pcer_chr1A	1.025e+07	34.5653
Pcer_chr1A	1.075e+07	31.0533
Pcer_chr1A	1.125e+07	32.4444
Pcer_chr1A	1.175e+07	35.6003
Pcer_chr1A	1.225e+07	35.1703
Pcer_chr1A	1.275e+07	24.4631
Pcer_chr1A	1.325e+07	35.8415
Pcer_chr1A	1.375e+07	28.9712
Pcer_chr1A	1.425e+07	17.8041
Pcer_chr1A	1.475e+07	16.6303
Pcer_chr1A	1.525e+07	33.0494
Pcer_chr1A	1.575e+07	33.4514
Pcer_chr1A	1.625e+07	28.968
Pcer_chr1A	1.675e+07	34.3159
Pcer_chr1A	1.725e+07	26.4592
Pcer_chr1A	1.775e+07	30.0651
Pcer_chr1A	1.825e+07	30.5344
Pcer_chr1A	1.875e+07	33.6759
Pcer_chr1A	1.925e+07	24.9206
Pcer_chr1A	1.975e+07	19.0126
Pcer_chr1A	2.025e+07	32.8447
Pcer_chr1A	2.075e+07	31.8906
Pcer_chr1A	2.125e+07	32.1827
Pcer_chr1A	2.175e+07	33.9674
Pcer_chr1A	2.225e+07	32.9481
Pcer_chr1A	2.275e+07	28.2212
Pcer_chr1A	2.325e+07	15.6702
Pcer_chr1A	2.375e+07	16.365
Pcer_chr1A	2.425e+07	15.3318
Pcer_chr1A	2.475e+07	29.121
Pcer_chr1A	2.525e+07	30.5302
Pcer_chr1A	2.575e+07	31.3987
Pcer_chr1A	2.625e+07	32.8569
Pcer_chr1A	2.675e+07	30.8039
Pcer_chr1A	2.725e+07	35.0498
Pcer_chr1A	2.775e+07	32.999
Pcer_chr1A	2.825e+07	31.756
Pcer_chr1A	2.875e+07	30.5207
Pcer_chr1A	2.925e+07	36.7173
